번호,시간,회사명,종목코드,공시제목,제출인
99,2022-03-16 16:44,까뮤이앤씨,13700,[투자주의]투자경고종목 지정예고,시장감시위원회
98,2022-03-16 16:44,일동제약,249420,[투자주의]투자경고종목 지정해제 및 재지정 예고,시장감시위원회
97,2022-03-16 16:44,삼부토건,1470,[투자주의]스팸관여과다종목,시장감시위원회
96,2022-03-16 16:15,신원종합개발,17000,[투자주의]투자경고종목 지정예고,시장감시위원회
95,2022-03-16 16:15,서울리거,43710,[투자주의]투자경고종목 지정예고,시장감시위원회
94,2022-03-16 16:15,중앙디앤엠,51980,[투자주의]투자경고종목 지정예고,시장감시위원회
93,2022-03-16 16:15,지티지웰니스,219750,[투자주의]투자경고종목 지정예고,시장감시위원회
92,2022-03-16 16:15,보성파워텍,6910,[투자주의]스팸관여과다종목,시장감시위원회
91,2022-03-16 16:15,줌인터넷,239340,[투자주의]스팸관여과다종목,시장감시위원회
90,2022-03-16 16:15,덕우전자,263600,[투자주의]스팸관여과다종목,시장감시위원회
89,2022-03-15 16:35,케어젠,214370,[투자주의]종가급변종목,시장감시위원회
88,2022-03-15 16:35,나노스,151910,[투자주의]종가급변종목,시장감시위원회
87,2022-03-15 16:35,큐라클,365270,[투자주의]투자경고종목 지정예고,시장감시위원회
86,2022-03-15 16:35,하나금융17호스팩,363260,[투자주의]단일계좌 거래량 상위종목,시장감시위원회
85,2022-03-15 16:35,이스트아시아홀딩스,900110,[투자주의]투자경고종목 지정해제 및 재지정 예고,시장감시위원회
84,2022-03-15 16:35,스튜디오산타클로스,204630,[투자주의]특정계좌(군) 매매관여 과다종목,시장감시위원회
83,2022-03-15 16:35,엔에스엔,31860,[투자주의]투자경고종목 지정해제 및 재지정 예고,시장감시위원회
82,2022-03-15 16:35,보성파워텍,6910,[투자주의]스팸관여과다종목,시장감시위원회
81,2022-03-15 16:35,일진파워,94820,[투자주의]스팸관여과다종목,시장감시위원회
80,2022-03-14 16:23,노블엠앤비,106520,[투자주의]소수계좌 거래집중 종목,시장감시위원회
79,2022-03-14 16:23,안랩,53800,[투자주의]단일계좌 거래량 상위종목,시장감시위원회
78,2022-03-14 16:23,엔시트론,101400,[투자주의]단일계좌 거래량 상위종목,시장감시위원회
77,2022-03-14 16:23,에이티세미콘,89530,[투자주의]투자경고종목 지정예고,시장감시위원회
76,2022-03-14 16:23,지에스이,53050,[투자주의]투자경고종목 지정해제 및 재지정 예고,시장감시위원회
75,2022-03-14 16:23,덕신하우징,90410,[투자주의]스팸관여과다종목,시장감시위원회
74,2022-03-14 16:23,일진파워,94820,[투자주의]스팸관여과다종목,시장감시위원회
73,2022-03-14 16:23,화신정공,126640,[투자주의]스팸관여과다종목,시장감시위원회
72,2022-03-14 16:19,하이트론씨스템즈,19490,[투자주의]소수계좌 거래집중 종목,시장감시위원회
71,2022-03-14 16:19,두산,150,[투자주의]15일간 상승종목의 당일 소수계좌 매수관여 과다종목(두산2우B),시장감시위원회
70,2022-03-14 16:19,두산중공업,34020,[투자주의]스팸관여과다종목,시장감시위원회
69,2022-03-11 16:09,지티지웰니스,219750,[투자주의]소수계좌 거래집중 종목,시장감시위원회
68,2022-03-11 16:09,헬릭스미스,84990,[투자주의]특정계좌(군) 매매관여 과다종목,시장감시위원회
67,2022-03-11 16:09,보성파워텍,6910,[투자주의]스팸관여과다종목,시장감시위원회
66,2022-03-10 17:31,삼성에스디에스,18260,[투자주의]종가급변 종목,시장감시위원회
65,2022-03-10 16:05,지티지웰니스,219750,[투자주의]소수계좌 거래집중 종목,시장감시위원회
64,2022-03-10 16:05,케이씨티,89150,[투자주의]단일계좌 거래량 상위종목,시장감시위원회
63,2022-03-10 16:05,모아데이타,288980,[투자주의]단일계좌 거래량 상위종목,시장감시위원회
62,2022-03-10 16:05,보성파워텍,6910,[투자주의]투자경고종목 지정예고,시장감시위원회
61,2022-03-10 16:05,보성파워텍,6910,[투자주의]스팸관여과다종목,시장감시위원회
60,2022-03-08 16:21,현대비앤지스틸,4560,[투자주의]종가급변 종목(현대비앤지스틸우),시장감시위원회
