일자,공매도 수량_거래량_전체,공매도 수량_거래량_업틱룰적용,공매도 수량_거래량_업틱룰예외,공매도 수량_잔고수량,공매도 금액_거래대금_전체,공매도 금액_거래대금_업틱룰적용,공매도 금액_거래대금_업틱룰예외,공매도 금액_잔고금액
"2022/03/16","146856","145882","974","5268513","4620562300","4590127700","30434600","170436395550"
"2022/03/15","47437","39996","7441","5313138","1462327850","1240118800","222209050","166035562500"
"2022/03/14","25882","7036","18846","5324078","754915650","204615600","550300050","153865854200"
"2022/03/11","33983","26295","7688","5135268","1022444850","790775950","231668900","154571566800"
"2022/03/10","63677","45984","17693","5216925","1949209850","1405244500","543965350","159637905000"
"2022/03/08","55516","34610","20906","5292818","1620651000","1013181550","607469450","155344208300"
"2022/03/07","90747","51040","39707","5247080","2696515550","1513672250","1182843300","154526506000"
"2022/03/04","61779","14160","47619","5199324","1895401050","434816750","1460584300","159619246800"
"2022/03/03","39417","18802","20615","5258506","1217972100","584008350","633963750","164591237800"
"2022/03/02","66923","56387","10536","5298011","2050274900","1727547750","322727150","162119136600"
"2022/02/28","74249","33199","41050","5263182","2294093600","1028237850","1265855750","163684960200"
"2022/02/25","52586","46519","6067","5036423","1617683350","1433454600","184228750","155373649550"
"2022/02/24","64418","26664","37754","5213972","1868105350","769448150","1098657200","150423092200"
"2022/02/23","58862","30106","28756","5351441","1753604350","897432400","856171950","160008085900"
"2022/02/22","90303","42913","47390","5373704","2670205900","1265995900","1404210000","159599008800"
"2022/02/21","40294","20054","20240","5351658","1223594400","608963650","614630750","163760734800"
"2022/02/18","112838","80880","31958","5353436","3417133200","2459597400","957535800","166224187800"
"2022/02/17","57104","23990","33114","5347373","1751068000","737025400","1014042600","162560139200"
"2022/02/16","45858","20132","25726","5431385","1374344450","610704700","763639750","167558227250"
"2022/02/15","52619","47513","5106","5549349","1513480550","1362860050","150620500","158156446500"
"2022/02/14","44856","31489","13367","5566789","1343014500","943900300","399114200","165333633300"
"2022/02/11","73921","35834","38087","5607406","2309812550","1118051900","1191760650","172988475100"
"2022/02/10","113761","78646","35115","5629363","3619349900","2502827150","1116522750","180139616000"
"2022/02/09","37770","31603","6167","5682567","1196669600","1002031200","194638400","180989758950"
"2022/02/08","104659","86797","17862","5727802","3291876700","2729264700","562612000","180139372900"
"2022/02/07","56755","30486","26269","5794644","1822107900","978406100","843701800","184269679200"
"2022/02/04","28056","10559","17497","5760908","920687250","346763800","573923450","190109964000"
"2022/02/03","58184","48057","10127","5766358","1890278550","1562081150","328197400","186829999200"
"2022/01/28","64697","41363","23334","5761404","2020498700","1290759300","729739400","182636506800"
"2022/01/27","84276","64259","20017","5861625","2544598550","1941050100","603548450","174383343750"
"2022/01/26","22325","7767","14558","5861982","699556300","243433050","456123250","182600739300"
"2022/01/25","119347","101652","17695","5925138","3763583450","3199126050","564457400","184568048700"
"2022/01/24","42953","39088","3865","5889874","1407743550","1281018150","126725400","192598879800"
"2022/01/21","29843","9069","20774","5914114","1009166100","306245450","702920650","199897053200"
"2022/01/20","66653","55232","11421","5960723","2248348850","1863062900","385285950","203856726600"
"2022/01/19","111534","94776","16758","6064263","3685841700","3131550100","554291600","199211039550"
"2022/01/18","61238","46667","14571","5968288","2080089200","1579219700","500869500","201429720000"
"2022/01/17","43279","41372","1907","5948406","1472596700","1407629550","64967150","204625166400"
"2022/01/14","58938","42230","16708","5957461","2044031600","1463300150","580731450","206426023650"
"2022/01/13","110997","91644","19353","5929560","3908468950","3226177850","682291100","211092336000"
"2022/01/12","36640","26195","10445","5825911","1313683400","940058600","373624800","210315387100"
"2022/01/11","117439","108564","8875","5945612","4166227700","3851452000","314775700","208690981200"
"2022/01/10","113515","93690","19825","5867124","3998679400","3312251550","686427850","208282902000"
"2022/01/07","66272","46633","19639","5740596","2315175850","1629727150","685448700","200920860000"
"2022/01/06","53546","40683","12863","5752085","1868799700","1418261150","450538550","198446932500"
"2022/01/05","65747","58049","7698","5742539","2355584000","2079646650","275937350","204721515350"
"2022/01/04","37180","28567","8613","5718512","1341385950","1030334350","311051600","205294580800"
"2022/01/03","88344","84021","4323","5654274","3188713400","3035489650","153223750","205250146200"
"2021/12/30","101282","60599","40683","5616112","3498448150","2096350600","1402097550","195440697600"
"2021/12/29","124263","78724","45539","5419810","4297428350","2719691100","1577737250","187254435500"
"2021/12/28","44993","44417","576","5496937","1485837650","1467245150","18592500","179474993050"
"2021/12/27","44009","44006","3","5596937","1457967550","1457869000","98550","183579533600"
"2021/12/24","10030","9986","44","5722947","336682000","335203600","1478400","192004871850"
"2021/12/23","61056","60891","165","5767312","2059016550","2053472000","5544550","193781683200"
"2021/12/22","68903","60441","8462","5772774","2386479400","2093047050","293432350","199160703000"
"2021/12/21","42073","40207","1866","5732692","1463033900","1397951100","65082800","200644220000"
"2021/12/20","229787","219931","9856","5706825","8110087050","7763497600","346589450","199168192500"
"2021/12/17","30323","8863","21460","5049629","1036492750","304217450","732275300","172444830350"
"2021/12/16","24547","22391","2156","5122889","855008200","779887600","75120600","176995814950"
"2021/12/15","23028","17040","5988","5150668","806870250","597359150","209511100","179758313200"
"2021/12/14","61510","56437","5073","5131682","2167963300","1988914400","179048900","180122038200"
"2021/12/13","81439","71854","9585","5140781","2917343600","2575675850","341667750","181212530250"
"2021/12/10","59744","20444","39300","5019817","2204968300","753744150","1451224150","183725302200"
"2021/12/09","96234","88765","7469","4993546","3580093950","3304154700","275939250","187257975000"
"2021/12/08","55871","51090","4781","4976693","2054114200","1878831450","175282750","181151625200"
"2021/12/07","35175","32440","2735","4960746","1285023100","1185128450","99894650","181067229000"
"2021/12/06","125362","96630","28732","4933836","4586736350","3537227100","1049509250","179838322200"
"2021/12/03","113305","107585","5720","4839725","4266266350","4055762700","210503650","182941605000"
"2021/12/02","38453","30296","8157","4861074","1398175950","1101778300","296397650","178158362100"
"2021/12/01","48284","42376","5908","4991927","1757613050","1543246100","214366950","181206950100"
"2021/11/30","41800","34265","7535","4986873","1535117100","1258229350","276887750","179527428000"
"2021/11/29","40958","32914","8044","4971050","1526385650","1227336150","299049500","185171612500"
"2021/11/26","114063","84324","29739","4963357","4296970400","3172166850","1124803550","185133216100"
"2021/11/25","62887","42157","20730","4940538","2400824450","1610910150","789914300","190951793700"
"2021/11/24","88670","76708","11962","5012204","3448907850","2979998150","468909700","193471074400"
"2021/11/23","50167","29368","20799","4967678","1976358100","1158264800","818093300","196968432700"
"2021/11/22","77336","72446","4890","4995466","3131491950","2931944950","199547000","199818640000"
"2021/11/19","141871","129643","12228","4884224","5774471200","5291666850","482804350","203916352000"
"2021/11/18","54043","47526","6517","4804755","2122035650","1867172300","254863350","187145207250"
"2021/11/17","87302","74230","13072","4837467","3487757850","2960431200","527326650","193014933300"
"2021/11/16","119315","99712","19603","4761433","4879058000","4075378750","803679250","195932967950"
"2021/11/15","94022","82832","11190","4733179","3709884450","3266993500","442890950","187433888400"
"2021/11/12","60174","50068","10106","4652879","2343643350","1953204650","390438700","180996993100"
"2021/11/11","78568","56787","21781","4669223","3069763200","2217432250","852330950","181165852400"
"2021/11/10","68492","28018","40474","4746442","2743677500","1122300900","1621376600","188908391600"
"2021/11/09","37879","29272","8607","4804178","1546423400","1193762900","352660500","193848582300"
"2021/11/08","145120","126564","18556","4917233","5925792250","5165061750","760730500","201606553000"
