주문일자,체결시간,종목명,매수가,수익률,매매기법,종목코드,매수등락률,고가등락률,시가등락률,뉴스기사
2022-03-29,09:09:07,고려시멘트,5230,2.87,,198440,16.22,24.44,6.22,1
2022-03-29,09:28:09,고려시멘트,5410,1.85,,198440,20.22,24.44,6.22,1
2022-03-29,10:38:18,고려시멘트,5441,0.15,,198440,20.91,24.44,6.22,1
2022-03-29,09:51:11,영진약품,5490,0.66,,003520,6.6,10.1,0.19,1
2022-03-29,09:58:16,버킷스튜디오,5060,-0.59,,066410,11.58,18.85,3.09,1
2022-03-29,10:08:51,버킷스튜디오,5150,2.14,,066410,13.56,18.85,3.09,1
2022-03-29,10:31:49,버킷스튜디오,5260,-1.33,,066410,15.99,18.85,3.09,1
2022-03-29,10:00:40,우리바이오,4390,-0.57,,082850,10.86,29.8,4.17,1
2022-03-29,10:01:03,우리바이오,4435,-1.01,,082850,11.99,29.8,4.17,1
2022-03-29,10:29:39,우리바이오,4565,0.11,,082850,15.28,29.8,4.17,1
2022-03-29,10:32:57,우리바이오,4604,-1.19,,082850,16.26,29.8,4.17,1
2022-03-29,10:52:48,우리바이오,4670,4.18,,082850,17.93,29.8,4.17,1
2022-03-29,14:53:28,우리바이오,5000,0.4,,082850,26.26,29.8,4.17,1
2022-03-31,09:34:20,우리바이오,5310,-2.26,,082850,7.49,8.3,-0.91,0
2022-03-29,10:51:59,파루,1320,-1.14,,043200,27.54,29.47,0.0,0
2022-03-29,13:58:41,룽투코리아,6580,17.02,상따,060240,27.52,29.84,0.19,1
2022-03-30,09:12:07,룽투코리아,7540,2.39,,060240,12.54,21.34,-0.45,1
2022-03-30,09:25:45,룽투코리아,8000,0.0,,060240,19.4,21.34,-0.45,1
2022-03-31,09:07:18,룽투코리아,8040,-4.23,,060240,5.37,10.88,2.23,1
2022-03-30,09:11:01,오리콤,9290,-0.75,,010470,18.8,26.47,9.97,1
2022-03-30,09:45:26,티비씨,1695,-3.54,,033830,15.31,17.01,2.72,0
2022-03-30,09:50:49,제주반도체,6360,0.16,,080220,13.37,17.83,8.73,1
2022-03-30,10:01:12,와토스코리아,9894,1.07,,079000,27.99,29.37,1.29,0
2022-03-30,10:05:41,일동제약,67200,0.0,,249420,8.91,22.2,2.43,0
2022-04-04,14:06:17,일동제약,76400,-1.7,,249420,16.64,18.02,0.0,1
2022-03-30,12:05:02,시공테크,9950,-0.3,,020710,26.43,29.61,6.1,0
2022-03-30,12:11:34,자연과환경,2295,0.22,,043910,4.56,6.15,-5.47,0
2022-03-30,12:16:56,아이스크림에듀,8830,0.23,,289010,22.98,23.96,10.03,0
2022-03-30,12:18:29,바이오에프디엔씨,22150,0.9,,251120,15.36,22.66,-0.26,0
2022-03-30,14:40:36,남선알미늄,4355,-0.8,,008350,21.99,23.81,6.86,0
2022-03-30,15:17:09,유니크,6940,3.6,,011320,20.91,29.97,0.87,1
2022-03-31,09:10:38,효성오앤비,14450,0.0,,097870,9.47,14.02,6.44,0
2022-03-31,09:44:12,큐캐피탈,847,-1.77,,016600,7.22,10.13,0.89,0
2022-03-31,09:51:36,TJ미디어,8330,1.47,,032540,16.67,26.47,2.66,1
2022-03-31,14:09:05,TJ미디어,8540,3.51,,032540,19.61,26.47,2.66,1
2022-03-31,14:16:33,TJ미디어,8810,0.0,,032540,23.39,26.47,2.66,1
2022-04-01,09:23:36,TJ미디어,9330,-0.21,,032540,5.42,18.08,-1.69,1
2022-04-01,09:46:42,TJ미디어,9900,-0.4,,032540,11.86,18.08,-1.69,1
2022-04-01,09:48:38,TJ미디어,10000,2.5,,032540,12.99,18.08,-1.69,1
2022-04-01,10:01:43,TJ미디어,10000,-1.2,,032540,12.99,18.08,-1.69,1
2022-03-31,10:31:38,대한전선,1645,4.86,,001440,15.44,29.82,1.05,1
2022-03-31,13:31:27,대한전선,1795,-0.84,,001440,25.96,29.82,1.05,1
2022-03-31,14:19:59,대한전선,1810,7.73,상따,001440,27.02,29.82,1.05,1
2022-04-01,09:11:41,대한전선,2035,-1.72,,001440,10.0,15.95,5.68,1
2022-03-31,13:13:20,대신정보통신,2300,-0.22,,020180,15.29,19.8,-4.01,1
2022-03-31,13:15:51,코리아에프티,3555,1.55,,123410,10.06,13.78,0.77,0
2022-04-01,09:06:45,IHQ,1440,-2.43,,003560,11.63,12.4,3.88,1
2022-04-01,09:28:04,KH 필룩스,2730,0.0,,033180,28.17,29.58,16.9,1
2022-04-06,09:31:50,KH 필룩스,3055,-1.96,,033180,16.16,19.01,-2.66,1
2022-04-01,09:30:13,하림,3545,2.4,,136480,9.58,13.91,0.0,1
2022-04-01,10:36:17,에스엠,89600,-0.78,,041510,9.8,10.29,-0.61,1
2022-04-01,10:52:40,미래산업,18200,1.92,,025560,25.95,29.76,23.88,1
2022-04-01,10:59:57,금강철강,8850,0.0,,053260,15.23,16.93,1.17,0
2022-04-01,13:05:00,아이오케이,1570,1.91,,078860,27.13,29.96,25.91,1
2022-04-01,14:35:08,이수앱지스,8550,-0.12,,086890,26.67,28.89,0.0,1
2022-04-01,14:38:58,이수앱지스,8530,0.0,,086890,26.37,28.89,0.0,1
2022-04-01,14:37:13,네오셈,3975,-4.53,,253590,7.43,7.57,-2.03,0
2022-04-01,14:47:04,잇츠한불,25050,4.99,,226320,21.31,28.09,-0.48,1
2022-04-01,15:04:41,잇츠한불,25750,-1.17,,226320,24.7,28.09,-0.48,1
2022-04-01,15:11:53,지에스이,5970,-5.03,,053050,13.07,14.77,6.06,0
2022-04-04,09:18:52,SG세계물산,794,-1.01,,004060,6.15,7.89,3.88,1
2022-04-04,09:21:02,KEC,3463,-0.24,,092220,14.67,21.52,2.32,1
2022-04-04,09:27:24,KEC,3460,2.31,,092220,14.57,21.52,2.32,1
2022-04-04,09:54:31,KEC,3580,-1.96,,092220,18.54,21.52,2.32,1
2022-04-04,09:59:08,KEC,3520,0.0,,092220,16.56,21.52,2.32,1
2022-04-04,10:25:37,미래아이앤지,574,1.92,,007120,27.56,30.0,1.33,1
2022-04-04,10:30:48,한신기계,9500,1.89,,011700,12.16,22.2,0.94,0
2022-04-04,13:19:24,한신기계,10250,-3.61,,011700,21.02,22.2,0.94,0
2022-04-04,14:39:06,한신기계,10150,-1.67,,011700,19.83,22.2,0.94,0
2022-04-06,09:20:23,한신기계,10600,0.0,,011700,10.42,11.46,0.52,1
2022-04-04,13:32:18,동양철관,1440,-0.35,,008970,19.5,21.99,0.41,1
2022-04-04,13:46:32,정산애강,2445,2.15,,022220,16.43,20.48,-0.24,1
2022-04-04,13:58:24,정산애강,2415,-2.07,,022220,15.0,20.48,-0.24,1
2022-04-04,14:20:00,정산애강,2375,-3.58,,022220,13.1,20.48,-0.24,1
2022-04-04,14:33:08,정산애강,2335,-1.28,,022220,11.19,20.48,-0.24,1
2022-04-04,13:57:15,한국종합기술,8260,-1.56,,023350,15.04,16.16,-0.14,0
2022-04-04,14:03:36,화성밸브,7170,-0.7,,039610,21.53,25.25,0.85,0
2022-04-04,14:11:21,화성밸브,7290,-0.82,,039610,23.56,25.25,0.85,0
2022-04-04,14:29:19,패션플랫폼,2530,-0.99,,225590,18.5,23.65,0.94,0
