날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-12,15:30:00,3925,3925,3925,3925,3896,3909,3927.5,3960.167,3983.292,198663,97482.2,53696.1,28601.22,26821.92
2022-04-12,15:19:00,3895,3895,3885,3890,3893,3907.5,3930.5,3961.5,3983.75,35906,67650.4,43971.15,25367.97,26145.47
2022-04-12,15:18:00,3880,3895,3875,3890,3899,3910.5,3934.75,3963.5,3984.25,33401,64843.8,43203.1,24880.72,27720.74
2022-04-12,15:17:00,3895,3900,3840,3880,3908,3913,3939.25,3965.333,3985.125,147128,63366.6,42231.4,24436.05,29852.11
2022-04-12,15:16:00,3905,3910,3895,3895,3919,3920.5,3944.5,3967.417,3986.667,72313,41392,35262.65,22100.58,28873.96
2022-04-12,15:15:00,3915,3920,3905,3910,3922,3926,3949,3969.083,3988.125,49504,41942.6,32161.65,21027.45,28431.5
2022-04-12,15:14:00,3935,3935,3910,3920,3922,3930,3952,3970.667,3989.458,21873,44157.2,30508.45,20674.6,28233.85
2022-04-12,15:13:00,3935,3945,3920,3935,3922,3934,3954.25,3971.833,3990.792,26015,47961.8,30806.85,20548.33,28233.87
2022-04-12,15:12:00,3905,3935,3905,3935,3918,3936.5,3956.75,3972.833,3992.083,37255,60719.2,29701.35,20192.7,28141.12
2022-04-12,15:11:00,3910,3915,3905,3910,3922,3939.5,3959.25,3973.833,3993.417,75066,58133.2,28029.05,19648.55,28152.17
2022-04-12,15:10:00,3925,3925,3910,3910,3930,3946,3963,3975.333,3994.917,60577,51628.2,24509.3,18477.67,27721.94
2022-04-12,15:09:00,3920,3940,3910,3920,3938,3953.5,3966.75,3976.917,3996.417,40896,43204,21966.8,17588.87,27559.43
2022-04-12,15:08:00,3955,3955,3915,3915,3946,3959,3970.25,3978.417,3997.708,89802,40121.4,20085.15,16944.18,27387.94
2022-04-12,15:07:00,3950,3955,3945,3955,3955,3965.5,3974,3980,3999,24325,28859.8,16226.7,15553.38,27062.91
2022-04-12,15:06:00,3950,3960,3950,3950,3957,3968.5,3975,3980.667,4000,42541,30356.6,15615.6,15516.98,27333.73
