날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-08,15:35:00,16850,16850,16850,16850,16870,16865,16810,16786.67,16771.67,3569,20125.8,9657.3,4970.783,5006.158
2022-04-08,15:30:00,16850,16850,16850,16850,16880,16865,16802.5,16784.17,16771.67,41412,21728.6,9653.65,4919.217,5034.258
2022-04-08,15:19:00,16900,16950,16850,16850,16870,16860,16800,16781.67,16772.08,24614,15253.6,7890.45,4244.967,4736.55
2022-04-08,15:18:00,16900,16900,16800,16900,16880,16855,16800,16780,16772.92,20789,11042.4,6692.8,4049.983,4549.75
2022-04-08,15:17:00,16950,16950,16900,16900,16870,16845,16797.5,16777.5,16773.33,10245,9319,5688.9,3751.467,4393.708
2022-04-08,15:16:00,16800,16950,16800,16900,16860,16830,16797.5,16775,16774.17,11583,8411,5214.3,3597.517,4340.025
2022-04-08,15:15:00,16900,16900,16800,16800,16850,16820,16795,16773.33,16775.42,9037,8759.4,4893.25,3479.617,4274.833
2022-04-08,15:14:00,16850,16900,16850,16900,16850,16810,16795,16771.67,16777.08,3558,7274.2,4459.85,3345,4221.725
2022-04-08,15:13:00,16850,16900,16800,16850,16830,16785,16790,16769.17,16777.5,12172,6866.8,4337.55,3312.167,4204.442
2022-04-08,15:12:00,16900,16900,16800,16850,16820,16770,16787.5,16766.67,16778.33,5705,5057.2,3828.2,3135.933,4115.875
2022-04-08,15:11:00,16750,16900,16750,16850,16800,16755,16785,16764.17,16778.75,13325,4712.4,3662.65,3066.967,4092.417
2022-04-08,15:10:00,16750,16800,16750,16800,16790,16740,16780,16762.5,16779.17,1611,2891.6,3057.9,2880.85,4028.075
2022-04-08,15:09:00,16800,16800,16750,16800,16770,16740,16777.5,16761.67,16780,1521,3211,3079.6,2872.833,4046.867
2022-04-08,15:08:00,16750,16800,16700,16800,16740,16745,16777.5,16761.67,16780.83,3124,5189.6,3023.25,2875.533,4064.508
2022-04-08,15:07:00,16800,16800,16750,16750,16720,16750,16775,16762.5,16781.67,3981,5658.2,3073.3,2827.267,4066.525
2022-04-08,15:06:00,16750,16800,16700,16800,16710,16765,16777.5,16763.33,16783.33,4221,5380,2965.05,2784.167,4155.708
2022-04-08,15:05:00,16650,16750,16650,16700,16690,16770,16775,16763.33,16784.17,3208,5235,2909.4,2761.833,4207.442
2022-04-08,15:04:00,16700,16700,16650,16650,16710,16780,16782.5,16765,16786.67,11414,5823,2850.05,2827.333,4194.192
2022-04-08,15:03:00,16700,16750,16700,16700,16750,16795,16792.5,16768.33,16789.58,5467,3672.4,2332.45,2760.683,4119.167
2022-04-08,15:02:00,16700,16750,16700,16700,16780,16805,16800,16769.17,16792.5,2590,2721.2,2369.4,2695.617,4093.55
2022-04-08,15:01:00,16800,16800,16700,16700,16820,16815,16810,16770,16794.58,3496,2353.8,3061.35,2701.133,4154.867
2022-04-08,15:00:00,16850,16850,16750,16800,16850,16820,16815,16770,16797.08,6148,2687,3067.1,2690.167,4167.575
2022-04-08,14:59:00,16900,16900,16850,16850,16850,16815,16810,16767.5,16799.17,661,1531.2,2895.85,2609.7,4162.1
2022-04-08,14:58:00,16900,16900,16850,16850,16840,16810,16802.5,16764.17,16800.42,711,1621.4,2948.7,2628.7,4281.333
2022-04-08,14:57:00,16850,16900,16850,16900,16830,16800,16797.5,16760,16802.92,753,1876.2,3056.1,2664.517,4370.025
2022-04-08,14:56:00,16800,16850,16800,16850,16810,16790,16790,16756.67,16805.42,5162,2204.4,3090.65,2729.467,4395.217
2022-04-08,14:55:00,16800,16850,16800,16800,16790,16780,16782.5,16754.17,16808.33,369,1418,2994.05,2685.267,4438.7
2022-04-08,14:54:00,16800,16850,16750,16800,16780,16785,16777.5,16751.67,16812.92,1112,1753.2,3071.25,2711.667,4527.108
2022-04-08,14:53:00,16800,16850,16750,16800,16780,16790,16772.5,16748.33,16815.83,1985,1609.6,3122.25,2736.183,4541.433
2022-04-08,14:52:00,16750,16800,16750,16800,16770,16795,16770,16746.67,16819.17,2394,2037.6,3052.7,2819.167,4557.183
2022-04-08,14:51:00,16750,16800,16750,16750,16770,16805,16765,16743.33,16822.92,1230,1922,2943.95,2816.8,4605.233
2022-04-08,14:50:00,16800,16850,16750,16750,16770,16810,16765,16740.83,16826.67,2045,2297.6,3104.3,3039.583,4637.4
2022-04-08,14:49:00,16800,16850,16800,16800,16790,16805,16765,16738.33,16830,394,2292.8,3070.75,3139.9,4650.167
2022-04-08,14:48:00,16800,16850,16750,16750,16800,16795,16762.5,16735,16833.33,4125,2426.4,3113.8,3222.95,4683.975
2022-04-08,14:47:00,16750,16800,16750,16800,16820,16795,16762.5,16732.5,16837.08,1816,2842.6,2998.15,3472.883,4806.967
2022-04-08,14:46:00,16800,16850,16750,16750,16840,16790,16762.5,16730.83,16841.25,3108,5765.2,3170.7,3515.85,4848.45
2022-04-08,14:45:00,16850,16850,16800,16850,16850,16785,16765,16729.17,16845.42,2021,5865.8,3110.4,4150.217,4921.475
2022-04-08,14:44:00,16800,16850,16800,16850,16820,16770,16760,16726.67,16848.75,1062,6006.2,3090.75,4460.05,4991.833
2022-04-08,14:43:00,16900,16950,16800,16850,16790,16755,16752.5,16725.83,16852.5,6206,6137.4,3126.65,4694.417,5085.192
2022-04-08,14:42:00,16750,16950,16750,16900,16770,16745,16747.5,16725,16855.83,16429,5468,2967.4,4664.117,5105.15
2022-04-08,14:41:00,16700,16800,16700,16800,16740,16725,16740,16724.17,16858.75,3611,2471,2193.7,4462.45,5023.958
2022-04-08,14:40:00,16700,16750,16700,16700,16720,16720,16735,16725.83,16861.67,2723,2394.8,2036.9,4434.833,5011.292
2022-04-08,14:39:00,16750,16800,16700,16700,16720,16725,16735,16728.33,16865,1718,2232.8,1948.6,4479.9,5016.567
2022-04-08,14:38:00,16700,16800,16700,16750,16720,16730,16737.5,16730,16867.92,2859,2315.6,2508.45,4482.233,5028.35
2022-04-08,14:37:00,16700,16750,16650,16750,16720,16730,16737.5,16730.83,16870,1444,1862.6,2509.4,4544.083,5021.325
2022-04-08,14:36:00,16700,16700,16700,16700,16710,16735,16737.5,16730.83,16872.08,3230,1617.6,2487.6,4547.7,5073.017
2022-04-08,14:35:00,16700,16750,16700,16700,16720,16745,16742.5,16732.5,16875,1913,1859,2551.55,4590,5057.667
2022-04-08,14:34:00,16700,16750,16700,16700,16730,16750,16742.5,16735,16878.33,2132,1751.2,2503.9,4569.4,5052.467
2022-04-08,14:33:00,16750,16750,16700,16750,16740,16750,16745,16737.5,16881.67,594,1575.8,2476.7,4560.267,5061.383
2022-04-08,14:32:00,16700,16750,16700,16700,16740,16750,16742.5,16738.33,16884.17,219,1819.4,2526.9,4590.85,5095.367
2022-04-08,14:31:00,16750,16750,16700,16750,16760,16755,16742.5,16740,16887.5,4437,2829,2594.3,4642.883,5144.517
2022-04-08,14:30:00,16750,16750,16700,16750,16770,16750,16742.5,16740.83,16890.83,1374,2322,2480.35,4739.75,5129.067
2022-04-08,14:29:00,16800,16800,16750,16750,16770,16745,16742.5,16742.5,16894.17,1255,2372.8,2468.15,4805.317,5159.033
2022-04-08,14:28:00,16800,16800,16750,16750,16760,16745,16745,16744.17,16897.92,1812,2477.8,2489.55,4807,5235.342
2022-04-08,14:27:00,16750,16800,16700,16800,16760,16745,16750,16745.83,16901.67,5267,2719.6,2410.35,4799.283,5374.808
2022-04-08,14:26:00,16750,16800,16750,16800,16750,16740,16750,16746.67,16904.17,1902,1857.2,2216.75,4839.75,5358.458
2022-04-08,14:25:00,16750,16800,16700,16750,16730,16740,16750,16748.33,16906.67,1628,1571.8,2265.7,4828.7,5376.642
2022-04-08,14:24:00,16750,16750,16700,16700,16720,16735,16752.5,16751.67,16909.17,1780,1437.6,2541.2,4876.517,5372.075
2022-04-08,14:23:00,16700,16750,16700,16750,16730,16740,16760,16753.33,16912.08,3021,3664.6,2822.95,4913.85,5415.892
2022-04-08,14:22:00,16700,16750,16700,16750,16730,16735,16760,16755,16914.17,955,3636,2750.05,4899.75,5402.775
2022-04-08,14:21:00,16700,16750,16700,16700,16730,16730,16760,16756.67,16916.25,475,3646.6,2848.35,5041.533,5400.433
