날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-08,15:35:00,4850,4850,4850,4850,4844,4872,4871,4842.083,4818.25,200,5937.4,6124.9,3398.633,2362.567
2022-04-08,15:30:00,4850,4850,4850,4850,4852,4875,4872,4841.417,4817.375,13461,6309.4,6365.9,3409.517,2364.308
2022-04-08,15:19:00,4815,4860,4815,4845,4863,4877.5,4872.75,4840.917,4816.5,3476,4238,6087.45,3199.2,2273.292
2022-04-08,15:18:00,4855,4855,4815,4815,4877,4880,4873,4840.5,4815.542,8633,5825,6018.3,3179.95,2244.333
2022-04-08,15:17:00,4890,4890,4855,4860,4894,4885.5,4874.75,4840.583,4814.792,3917,9199.4,5650.15,3063.367,2179.325
2022-04-08,15:16:00,4905,4905,4890,4890,4900,4886.5,4873.75,4839.75,4813.792,2060,11746,5502.25,3010.533,2152.583
2022-04-08,15:15:00,4915,4915,4905,4905,4898,4883.5,4871.5,4838.333,4812.542,3104,13045,5438.95,2976.717,2164.5
2022-04-08,15:14:00,4915,4920,4910,4915,4892,4880,4869.25,4836.5,4811,11411,13072.4,5342.5,2925.2,2147.5
2022-04-08,15:13:00,4900,4920,4895,4900,4883,4874.5,4866.75,4834.917,4809.333,25505,11807.4,4996.9,2750.55,2065.825
2022-04-08,15:12:00,4880,4900,4880,4890,4877,4872,4864.5,4833.583,4807.792,16650,6772.8,4021.1,2347.267,1854.667
2022-04-08,15:11:00,4875,4880,4875,4880,4873,4870,4861.5,4831.833,4806.333,8555,4112.4,3285.65,2075.4,1721.008
2022-04-08,15:10:00,4870,4875,4865,4875,4869,4869,4859.25,4830.167,4804.917,3241,2843,2982.6,1942.033,1659.292
2022-04-08,15:09:00,4870,4875,4865,4870,4868,4868,4857.5,4828.667,4803.458,5086,2477.6,2849.3,1888.9,1643.842
2022-04-08,15:08:00,4855,4870,4855,4870,4866,4866,4856,4827.167,4802.083,332,2736.8,2635.4,1814.95,1605.625
2022-04-08,15:07:00,4860,4870,4855,4870,4867,4864,4854,4825.667,4800.625,3348,3204.6,2881.9,1828.317,1625.717
2022-04-08,15:06:00,4860,4870,4855,4860,4867,4861,4850.75,4824.333,4799.25,2208,2703.8,2742.85,1831.467,1597.967
2022-04-08,15:05:00,4860,4870,4860,4870,4869,4859.5,4848.25,4823.333,4797.958,1414,3266.2,2690.45,1807.7,1591.842
2022-04-08,15:04:00,4875,4880,4860,4860,4868,4858.5,4845.25,4822.167,4796.625,6382,4561.8,2633.45,1785.183,1585.558
2022-04-08,15:03:00,4865,4875,4865,4875,4866,4859,4842.5,4821.333,4795.292,2671,3704,2387.15,1687.117,1536.3
2022-04-08,15:02:00,4875,4875,4870,4870,4861,4857,4839.25,4820.333,4793.833,844,3423.8,2299.65,1658.867,1528.592
2022-04-08,15:01:00,4870,4875,4865,4870,4855,4853,4835.75,4819.333,4792.542,5020,3446.8,2282.25,1668.4,1525.75
