날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-08,15:35:00,15550,15550,15550,15550,15580,15590,15572.5,15568.33,15557.92,3249,14606.4,6265,3865.967,3562.975
2022-04-08,15:30:00,15550,15550,15550,15550,15590,15590,15572.5,15567.5,15556.67,27231,14331.6,6299.3,3817.417,3543.492
2022-04-08,15:19:00,15600,15650,15500,15650,15600,15590,15570,15566.67,15555.42,19996,9152.4,5037.55,3371.45,3338.65
2022-04-08,15:18:00,15550,15650,15550,15550,15590,15585,15562.5,15565,15552.92,19529,5754.4,4045.85,3057.233,3183.325
2022-04-08,15:17:00,15600,15600,15550,15600,15600,15590,15562.5,15565,15551.67,3027,2431.8,3146.3,2743.05,3036.733
2022-04-08,15:16:00,15600,15600,15550,15600,15600,15590,15557.5,15564.17,15550,1875,2766,3057.85,2699.25,3041.633
2022-04-08,15:15:00,15600,15600,15550,15600,15590,15590,15550,15563.33,15548.33,1335,3974,3169.4,2702.017,3036.092
2022-04-08,15:14:00,15650,15650,15550,15600,15580,15580,15545,15562.5,15546.67,3006,4083.2,3472.45,2720.833,3038.992
2022-04-08,15:13:00,15600,15650,15600,15600,15580,15570,15542.5,15560,15545.42,2916,3636.8,3549.8,2762.933,3029.342
2022-04-08,15:12:00,15600,15600,15550,15600,15580,15565,15537.5,15557.5,15543.75,4698,3350.6,3539.45,2733.25,3007.908
2022-04-08,15:11:00,15550,15650,15550,15550,15580,15555,15532.5,15555.83,15542.5,7915,5031,3914.3,2733.917,2976.25
2022-04-08,15:10:00,15600,15600,15550,15550,15590,15555,15532.5,15555,15542.08,1881,3811.4,3597.2,2634.983,2932.658
2022-04-08,15:09:00,15600,15600,15550,15600,15580,15550,15535,15553.33,15540.83,774,4519.6,3506.65,2679.667,2918.908
2022-04-08,15:08:00,15600,15600,15550,15600,15560,15540,15535,15551.67,15539.17,1485,5108.2,3569.7,2673.2,2920.633
2022-04-08,15:07:00,15600,15650,15550,15600,15550,15535,15535,15550,15537.92,13100,5025.2,3842.25,2689.9,2918.867
2022-04-08,15:06:00,15500,15600,15500,15600,15530,15525,15535,15549.17,15537.08,1817,2656.6,3328.4,2591.283,2818.183
2022-04-08,15:05:00,15500,15600,15500,15500,15520,15510,15532.5,15548.33,15535.83,5422,3080.2,3409.25,2696.333,2810.042
2022-04-08,15:04:00,15550,15550,15500,15500,15520,15510,15540,15548.33,15535.83,3717,2395,3182.95,2628.1,2767.892
2022-04-08,15:03:00,15500,15550,15500,15550,15520,15515,15547.5,15548.33,15535.83,1070,1684,3019.95,2606.483,2767.925
2022-04-08,15:02:00,15550,15550,15500,15500,15520,15510,15552.5,15547.5,15535.42,1257,1777.6,3088.05,2665.933,2759.6
2022-04-08,15:01:00,15500,15600,15450,15550,15520,15510,15557.5,15548.33,15535.42,3935,1777.8,3250.3,2736.967,2760.683
2022-04-08,15:00:00,15500,15550,15450,15500,15500,15510,15562.5,15549.17,15535,1996,1812,3058.4,2682.3,2729.65
2022-04-08,14:59:00,15550,15550,15500,15500,15500,15520,15567.5,15551.67,15535,162,2892,3077.25,2680.283,2717.025
2022-04-08,14:58:00,15500,15550,15450,15550,15510,15530,15572.5,15553.33,15535,1538,3770.2,3369.85,2687.067,2717.867
2022-04-08,14:57:00,15500,15500,15450,15500,15500,15535,15575,15554.17,15534.58,1258,4004.4,3360.5,2671.833,2726.067
2022-04-08,14:56:00,15500,15500,15450,15450,15500,15545,15577.5,15556.67,15535,4106,6191.8,3333.05,2660.317,2725.85
2022-04-08,14:55:00,15500,15550,15450,15500,15520,15555,15582.5,15559.17,15536.25,7396,5685.2,3143.25,2625.983,2711.8
