날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-12,15:30:00,3850,3850,3850,3850,3845,3834.5,3836.75,3865.083333,3912.541667,1080242,343218.6,165718.65,169093.15,150560.0333
2022-04-12,15:19:00,3845,3850,3840,3845,3842,3833.5,3836.5,3867.25,3913.291667,203298,161985.2,115349.2,151536.9333,142736.45
2022-04-12,15:18:00,3845,3850,3840,3845,3837,3831.5,3835.75,3869.416667,3913.958333,107500,137900.4,111100.15,148786.3833,143422.6333
2022-04-12,15:17:00,3840,3850,3835,3845,3832,3829.5,3835.75,3871.333333,3914.625,152581,130695.6,119782.9,147670.4167,143785.7333
2022-04-12,15:16:00,3840,3850,3835,3840,3827,3828,3834.75,3873.25,3915.333333,172472,117193.8,115152.7,147018.4333,144135.0833
2022-04-12,15:15:00,3820,3840,3810,3835,3824,3827,3833.5,3875.5,3916.166667,174075,93364.2,110916.1,145794.0333,144464.0833
2022-04-12,15:14:00,3825,3825,3810,3820,3825,3827.5,3832.75,3877.916667,3916.875,82874,89969.2,107323,145832.05,149464.3083
2022-04-12,15:13:00,3820,3835,3815,3820,3826,3831,3833.25,3880.333333,3917.833333,71476,92051.4,108988.95,146921.4333,153881.025
2022-04-12,15:12:00,3825,3825,3815,3820,3827,3833,3832.5,3883,3919.458333,85072,87095.4,112130.7,147364.1,154345.4583
2022-04-12,15:11:00,3840,3840,3820,3825,3829,3835.5,3831.5,3885.666667,3920.916667,53324,88729.6,115828.8,149108.1167,154527.3833
2022-04-12,15:10:00,3825,3850,3820,3840,3830,3839,3831.25,3888.416667,3922.291667,157100,94410.4,125569.1,154053.2667,155811.0833
2022-04-12,15:09:00,3825,3825,3815,3825,3830,3839.5,3831.25,3890.25,3923.666667,93285,75470,129837.15,152886.5833,157535.7083
2022-04-12,15:08:00,3830,3830,3820,3825,3836,3840,3831.5,3892.083333,3924.916667,46696,69936.4,141939.15,152107.1,158101.9167
2022-04-12,15:07:00,3830,3835,3815,3830,3839,3842,3830.25,3893.833333,3926.166667,93243,70343.6,152704,153017.7167,160512.5667
2022-04-12,15:06:00,3840,3840,3825,3830,3842,3841.5,3829,3895.25,3927.291667,81728,83078.8,183701.2,153145.6,162790.5417
2022-04-12,15:05:00,3855,3855,3835,3840,3848,3840,3829,3896.75,3928.666667,62398,131881.4,199109.6,152837.6833,165522.2333
2022-04-12,15:04:00,3840,3855,3835,3855,3849,3838,3828.5,3898.25,3929.833333,65617,133972.4,210785.25,152247.4833,169290.0167
2022-04-12,15:03:00,3845,3845,3835,3840,3844,3835.5,3828,3899.583333,3930.875,48732,144512.4,212421.7,152048.1167,178137.375
2022-04-12,15:02:00,3860,3860,3840,3845,3845,3832,3828.25,3901.166667,3932.416667,156919,190997,217102.85,152318.5,183691.9333
