주문일자,체결시간,종목명,매수가,수익률,매매기법,매도시간,종목코드,매수등락률,고가등락률,시가등락률,뉴스기사,10이격도,20이격도,최대거래대금(억),최소거래대금(억),최대거래대금 시간
2022-03-29,09:09:07,고려시멘트,5230,2.87,,09:21:27,198440,16.22,24.44,6.22,1,4.38,9.72,113,25,2022-04-20 09:06:00
2022-03-29,09:28:09,고려시멘트,5410,1.85,,09:32:19,198440,20.22,24.44,6.22,1,0.93,1.72,113,16,2022-04-20 09:06:00
2022-03-29,10:38:18,고려시멘트,5441,0.15,,10:51:17,198440,20.91,24.44,6.22,1,0.35,0.09,113,2,2022-04-20 09:06:00
2022-03-29,09:51:11,영진약품,5490,0.66,,09:55:24,003520,6.6,10.1,0.19,1,1.57,1.94,62,0,2022-04-20 09:50:00
2022-03-29,09:58:16,버킷스튜디오,5060,-0.59,,09:59:56,066410,11.58,18.85,3.09,1,0.87,2.06,72,3,2022-04-20 09:22:00
2022-03-29,10:08:51,버킷스튜디오,5150,2.14,,10:22:59,066410,13.56,18.85,3.09,1,1.29,2.1,72,3,2022-04-20 09:22:00
2022-03-29,10:31:49,버킷스튜디오,5260,-1.33,,10:32:35,066410,15.99,18.85,3.09,1,1.52,0.38,87,3,2022-04-20 10:10:00
2022-03-29,10:00:40,우리바이오,4390,-0.57,,10:00:50,082850,10.86,29.8,4.17,1,3.56,4.06,43,0,2022-04-20 09:59:00
2022-03-29,10:01:03,우리바이오,4435,-1.01,,10:07:10,082850,11.99,29.8,4.17,1,4.13,4.85,44,0,2022-04-20 10:00:00
2022-03-29,10:29:39,우리바이오,4565,0.11,,10:31:11,082850,15.28,29.8,4.17,1,3.39,4.5,44,0,2022-04-20 10:00:00
2022-03-29,10:32:57,우리바이오,4604,-1.19,,10:33:11,082850,16.26,29.8,4.17,1,2.62,4.58,44,0,2022-04-20 10:00:00
2022-03-29,10:52:48,우리바이오,4670,4.18,,10:56:07,082850,17.93,29.8,4.17,1,1.57,2.2,44,0,2022-04-20 10:00:00
2022-03-29,14:53:28,우리바이오,5000,0.4,,14:53:58,082850,26.26,29.8,4.17,1,1.38,2.25,44,0,2022-04-20 10:00:00
2022-03-31,09:34:20,우리바이오,5310,-2.26,,09:42:37,082850,7.49,8.3,-0.91,0,3.05,5.17,63,0,2022-04-20 09:27:00
2022-03-29,10:51:59,파루,1320,-1.14,,10:52:38,043200,27.54,29.47,0.0,0,5.31,6.17,9,0,2022-04-20 10:36:00
2022-03-29,13:58:41,룽투코리아,6580,17.02,상따,09:05:58,060240,27.52,29.84,0.19,1,3.98,4.99,42,0,2022-04-20 13:27:00
2022-03-30,09:12:07,룽투코리아,7540,2.39,,09:13:09,060240,12.54,21.34,-0.45,1,-1.62,4.48,67,17,2022-04-20 09:00:00
2022-03-30,09:25:45,룽투코리아,8000,0.0,,09:25:56,060240,19.4,21.34,-0.45,1,3.16,3.53,67,3,2022-04-20 09:00:00
2022-03-31,09:07:18,룽투코리아,8040,-4.23,,09:09:31,060240,5.37,10.88,2.23,1,3.68,5.1,18,4,2022-04-20 09:00:00
2022-03-30,09:11:01,오리콤,9290,-0.75,,09:11:18,010470,18.8,26.47,9.97,1,3.64,9.33,55,9,2022-04-20 09:00:00
2022-03-30,09:45:26,티비씨,1695,-3.54,,09:50:14,033830,15.31,17.01,2.72,0,2.91,2.48,32,2,2022-04-20 09:07:00
2022-03-30,09:50:49,제주반도체,6360,0.16,,09:59:49,080220,13.37,17.83,8.73,1,2.71,3.02,134,1,2022-04-20 09:00:00
