주문일자,종목명,매수가격,매수시간,매도시간,수익률,매매횟수
2022-03-29,고려시멘트,5230,09:09:07,09:21:27,2.87,1
2022-03-29,고려시멘트,5410,09:28:09,09:32:19,1.85,2
2022-03-29,영진약품,5490,09:51:11,09:55:24,0.66,3
2022-03-29,버킷스튜디오,5060,09:58:16,09:59:56,-0.59,4
2022-03-29,우리바이오,4390,10:00:40,10:00:50,-0.57,5
2022-03-29,우리바이오,4435,10:01:03,10:07:10,-1.01,6
2022-03-29,버킷스튜디오,5150,10:08:51,10:22:59,2.14,7
2022-03-29,우리바이오,4565,10:29:39,10:31:11,0.11,8
2022-03-29,버킷스튜디오,5260,10:31:49,10:32:35,-1.33,9
2022-03-29,우리바이오,4600,10:32:57,10:33:11,-1.19,10
2022-03-29,고려시멘트,5440,10:38:18,10:51:17,0.15,11
2022-03-29,파루,1320,10:51:59,10:52:38,-1.14,12
2022-03-29,우리바이오,4670,10:52:48,10:56:07,4.18,13
2022-03-29,룽투코리아,6580,13:58:41,09:05:58,17.02,14
2022-03-29,우리바이오,5000,14:53:28,14:53:58,0.4,15
2022-03-30,오리콤,9290,09:11:01,09:11:18,-0.75,1
2022-03-30,룽투코리아,7540,09:12:07,09:13:09,2.39,2
2022-03-30,룽투코리아,8000,09:25:45,09:25:56,0.0,3
2022-03-30,티비씨,1695,09:45:26,09:50:14,-3.54,4
2022-03-30,제주반도체,6360,09:50:49,09:59:49,0.16,5
2022-03-30,와토스코리아,9880,10:01:12,10:01:16,1.07,6
2022-03-30,일동제약,67200,10:05:41,10:06:21,0.0,7
2022-03-30,시공테크,9950,12:05:02,12:08:57,-0.3,8
2022-03-30,자연과환경,2295,12:11:34,12:16:21,0.22,9
2022-03-30,아이스크림에듀,8830,12:16:56,12:17:46,0.23,10
2022-03-30,바이오에프디엔씨,22150,12:18:29,12:19:34,0.9,11
2022-03-30,남선알미늄,4355,14:40:36,14:46:57,-0.8,12
2022-03-30,유니크,6940,15:17:09,15:17:19,3.6,13
2022-03-31,룽투코리아,8040,09:07:18,09:09:31,-4.23,1
2022-03-31,효성오앤비,14450,09:10:38,09:34:09,0.0,2
2022-03-31,우리바이오,5310,09:34:20,09:42:37,-2.26,3
2022-03-31,큐캐피탈,847,09:44:12,09:51:17,-1.77,4
