날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-29,15:35:00,5090,5090,5090,5090,5082,5068,5043.75,5011.667,5058.75,37134,188670.4,104647.5,87611.38,82089.93
2022-03-29,15:30:00,5090,5090,5090,5090,5076,5064,5038.75,5011.833,5059,407799,198766,105884,88337.77,85438
2022-03-29,15:19:00,5080,5090,5070,5090,5070,5059,5033.75,5011.667,5060.083,182428,128182,87319.05,83187.48,82428.02
2022-03-29,15:18:00,5070,5090,5060,5080,5060,5053,5028.75,5011.5,5061.083,161683,107055.4,79688.35,80869.27,81484.14
2022-03-29,15:17:00,5060,5080,5060,5060,5054,5048,5024,5011.667,5062.167,154308,98743.2,76215.75,78556.47,81216.53
2022-03-29,15:16:00,5050,5060,5050,5060,5054,5044,5019.25,5012.167,5063.833,87612,85684.2,69895,76317.32,80264.55
2022-03-29,15:15:00,5060,5060,5050,5060,5052,5040,5014.75,5012.667,5065.667,54879,82123.4,66763.3,75611.68,79721.59
2022-03-29,15:14:00,5040,5060,5040,5040,5048,5036,5009.75,5013.5,5067.5,76795,100087.8,65767.25,75172.62,79699.78
2022-03-29,15:13:00,5050,5060,5020,5050,5046,5032,5005.75,5014.667,5069.333,120122,90508.6,65336.95,74067.67,79560.68
2022-03-29,15:12:00,5040,5060,5040,5060,5042,5026,5001.5,5015.5,5071.25,89013,74928,64133.65,72462.37,78835.19
2022-03-29,15:11:00,5040,5050,5030,5050,5034,5019.5,4998,5016.167,5073.083,69808,67118,61429.65,71258.38,78245.83
2022-03-29,15:10:00,5030,5050,5020,5040,5028,5013.5,4995,5016.833,5075,144701,63428.2,59623.95,70336.75,78110.46
2022-03-29,15:09:00,5030,5030,5020,5030,5024,5008.5,4992,5017.667,5077.167,28899,75865.6,53288.85,68150.4,77382.84
2022-03-29,15:08:00,5020,5030,5010,5030,5018,5004.5,4989.25,5018.833,5079.083,42219,78498.2,53787.8,68503.98,77635.28
2022-03-29,15:07:00,5030,5030,5010,5020,5010,5000,4987.25,5020,5081,49963,79456.6,54510.55,68341.22,78671.08
2022-03-29,15:06:00,5020,5030,5010,5020,5005,4994.5,4984.5,5021,5083,51359,77117.2,53900.1,69454.97,78725.73
2022-03-29,15:05:00,5000,5030,4995,5020,4999,4989.5,4981.75,5022.667,5085.167,206888,79218.4,53955.35,69857.92,78566.53
2022-03-29,15:04:00,4990,5000,4985,5000,4993,4983.5,4979.25,5024.333,5087.417,42062,45140.8,45644.55,67629.4,77283.23
2022-03-29,15:03:00,4995,4995,4985,4990,4991,4979.5,4977.5,5026.333,5089.833,47011,42691.2,45542.35,68940.93,77573.84
2022-03-29,15:02:00,4990,5000,4990,4995,4990,4977,4976.25,5028.5,5092.167,38266,51735.2,50069.55,70247.28,78455.64
