날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-29,15:35:00,1180,1180,1180,1180,1162,1153,1158,1173.333,1180,8745,31745.2,21356.3,13347.92,8903.675
2022-03-29,15:30:00,1180,1180,1180,1180,1154,1149.5,1158.75,1173.583,1180.083,80268,32267,21319.8,13246.17,8918.833
2022-03-29,15:19:00,1145,1160,1145,1160,1148,1146.5,1158.75,1173.833,1180.125,31890,17755.2,17653,11953.77,8277.525
2022-03-29,15:18:00,1135,1145,1135,1145,1145,1145,1159.75,1174.333,1180.417,14691,11965.2,16134.35,11451.85,8157.725
2022-03-29,15:17:00,1145,1145,1135,1145,1145,1146,1161.5,1175,1180.792,23132,11872.2,15726.9,11253.58,8160.567
2022-03-29,15:16:00,1145,1150,1140,1140,1144,1147,1163.5,1175.75,1181.208,11354,12425.6,15520.6,10901.23,7987.817
2022-03-29,15:15:00,1145,1150,1140,1150,1145,1149.5,1166,1176.583,1181.708,7709,10312,15198.5,10903.93,7973.375
2022-03-29,15:14:00,1145,1145,1140,1145,1145,1151.5,1168,1177.25,1182.167,2940,10313.2,14937.5,10798.78,7960.033
2022-03-29,15:13:00,1140,1145,1140,1145,1145,1154.5,1170.25,1178,1182.708,14226,23040.2,14995.4,10877.27,7972.533
2022-03-29,15:12:00,1150,1150,1135,1140,1147,1158,1172,1178.75,1183.25,25899,26232.6,15158.55,10724.2,7990.992
2022-03-29,15:11:00,1145,1150,1145,1145,1150,1163,1174,1179.417,1183.75,786,34775.6,14286.05,10321.62,7899.167
2022-03-29,15:10:00,1145,1150,1140,1150,1154,1168,1175.5,1180,1184.25,7715,37570.2,14807.3,10348.92,7932.35
2022-03-29,15:09:00,1155,1160,1135,1145,1158,1171,1177,1180.583,1184.667,66575,36262.6,14500.35,10256.18,7910.317
2022-03-29,15:08:00,1155,1160,1150,1155,1164,1174.5,1178.75,1181.167,1185.125,30188,23662.6,11825.85,9221.717,7396.425
2022-03-29,15:05:00,1165,1165,1155,1155,1169,1177,1179.75,1181.583,1185.542,68614,19316.8,11187.45,8725.967,7194.6
2022-03-29,15:04:00,1170,1180,1165,1165,1176,1180,1180.75,1182.083,1185.958,14759,6478.8,8296.5,7600.967,6643.85
2022-03-29,15:03:00,1175,1180,1170,1170,1182,1182.5,1181,1182.417,1186.25,1177,5130,7914.75,7404.25,6564.642
2022-03-29,15:02:00,1180,1180,1170,1175,1184,1184.5,1181,1182.667,1186.458,3575,6281,8126.05,7401.317,6568.833
2022-03-29,15:01:00,1185,1185,1180,1180,1185,1186,1180.75,1182.833,1186.667,8459,5869.4,8072.2,7365.3,6595.017
2022-03-29,15:00:00,1180,1195,1180,1190,1185,1186,1180.25,1182.917,1186.75,4424,5486,7849.2,7224.35,6576.308
2022-03-29,14:59:00,1185,1195,1180,1195,1184,1185,1179.5,1182.833,1186.792,8015,8402.4,7665.1,7238.75,6542.3
2022-03-29,14:58:00,1185,1190,1180,1180,1183,1183,1178.5,1182.583,1186.833,6932,7781.8,7685.45,7152.383,6481.717
2022-03-29,14:57:00,1185,1185,1180,1180,1185,1183,1178,1182.667,1187,1517,6893.2,7550.75,7116.483,6640.267
2022-03-29,14:56:00,1185,1185,1175,1180,1187,1183,1178,1182.75,1187.125,6542,7409.4,7627.55,7132.283,6751.492
2022-03-29,14:55:00,1190,1190,1175,1185,1187,1182.5,1177.75,1182.833,1187.25,19006,9598.8,9098.15,7054.15,6785.583
2022-03-29,14:54:00,1190,1190,1190,1190,1186,1181.5,1177,1182.833,1187.333,4912,7487.4,9379.05,6754.85,6658.842
2022-03-29,14:53:00,1190,1190,1185,1190,1183,1179.5,1176,1182.583,1187.417,2489,8747.2,9450.2,6717.517,6674.858
2022-03-29,14:52:00,1180,1190,1180,1190,1181,1177.5,1175,1182.583,1187.458,4098,8564.6,10597.25,6731.283,6684.75
2022-03-29,14:51:00,1180,1180,1175,1180,1179,1175.5,1174.5,1182.5,1187.542,17489,10362,10432.85,6746.767,6668.017
2022-03-29,14:50:00,1175,1180,1175,1180,1178,1174.5,1174.5,1182.583,1187.708,8449,10348.2,9655.15,6493.033,6564.833
2022-03-29,14:49:00,1175,1180,1170,1175,1177,1174,1174.5,1182.667,1187.833,11211,10817.4,9439.25,6368.2,6603.967
2022-03-29,14:48:00,1180,1180,1175,1180,1176,1174,1175,1182.75,1187.958,1576,10000,9947.8,6499.283,6550.983
2022-03-29,14:47:00,1170,1180,1170,1180,1174,1173,1175.5,1182.75,1188.083,13085,10765.4,10243.7,6511.767,6550.058
2022-03-29,14:46:00,1170,1175,1170,1175,1172,1173,1176.25,1182.667,1188.25,17420,8648,9799.6,6698.533,6519.975
2022-03-29,14:45:00,1175,1175,1165,1175,1171,1173,1177.25,1182.667,1188.375,10795,5963.8,10197.1,6630.717,6765.167
