날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-30,15:35:00,4220,4220,4220,4220,4209,4177.5,4165.5,4258.917,4274.75,451878,908643.8,841460.4,640101.6,875604
2022-03-30,15:30:00,4220,4220,4220,4220,4194,4169,4167,4260.5,4274.667,1335864,866853.4,847657,648152.7,878941.5
2022-03-30,15:19:00,4210,4210,4180,4190,4182,4162,4167,4262.417,4274.917,961169,744777.8,811521.4,637345.8,881665.8
2022-03-30,15:18:00,4205,4220,4190,4205,4167,4156.5,4171.5,4265.083,4274.958,807381,624919.8,777481.3,648271.3,882956.7
2022-03-30,15:17:00,4145,4215,4135,4210,4156,4141.5,4175.75,4267,4275.083,986927,515591.8,747672.9,646252.9,889164.1
2022-03-30,15:16:00,4155,4160,4125,4145,4146,4136.5,4180.5,4268.667,4274.833,242926,423517.2,713685.7,653334.7,905391.8
2022-03-30,15:15:00,4115,4160,4090,4160,4144,4138.5,4187.75,4270.167,4275.583,725486,486563.4,712774.7,658666.1,927705.8
2022-03-30,15:14:00,4150,4155,4115,4115,4142,4139.5,4195.25,4272.167,4276.25,361879,524772.2,695526,655708.9,953223.9
2022-03-30,15:13:00,4155,4165,4145,4150,4146,4147.5,4204.5,4274.5,4276.917,260741,686060.2,703232.8,665065.4,963596.9
2022-03-30,15:12:00,4140,4160,4135,4160,4127,4152.5,4210,4276.667,4277.125,526554,1118915,746627,693517.5,972054.7
2022-03-30,15:11:00,4150,4155,4105,4135,4127,4153.5,4217.5,4278.5,4277.167,558157,1128218,733234.2,703402.9,977022.5
2022-03-30,15:10:00,4135,4170,4130,4150,4133,4165,4226.25,4279.917,4277.083,916530,1198775,722068.9,701848.3,988722.3
2022-03-30,15:09:00,4060,4150,4050,4135,4137,4172,4235.5,4280.833,4277.042,1168319,1115718,697896.2,690226.1,1005747
2022-03-30,15:08:00,4160,4165,4050,4055,4149,4186.5,4244,4281.917,4276.583,2425015,978985.8,657164.3,678399.5,1001027
2022-03-30,15:07:00,4165,4175,4150,4160,4178,4210,4257.25,4284.333,4276.833,573070,716336,577460.4,642268.8,993289.8
2022-03-30,15:06:00,4170,4180,4145,4165,4180,4224.5,4265.75,4285.333,4275.792,910939,905462.4,566597.8,639254,990481.6
2022-03-30,15:05:00,4200,4205,4170,4170,4197,4237,4273.5,4286.417,4274.792,501247,838436.6,551819.7,635851.4,985541.7
2022-03-30,15:04:00,4200,4220,4195,4195,4207,4251,4282.5,4287.417,4273.667,484658,860817.4,545958.9,635463.8,985364
2022-03-30,15:03:00,4165,4210,4155,4200,4224,4261.5,4289.5,4287.583,4272.5,1111766,819959.2,558721.3,650860.4,986920.1
2022-03-30,15:02:00,4250,4255,4150,4170,4242,4267.5,4296,4288,4271.333,1518702,639848.8,522477.2,657991.1,985645.3
2022-03-30,15:01:00,4230,4275,4220,4250,4269,4281.5,4304.75,4288,4270.083,575810,397544.8,471203.4,650585.9,988365.9
2022-03-30,15:00:00,4280,4290,4215,4220,4277,4287.5,4308.5,4286.083,4268,613151,327324,481078.7,669729.5,988753.3
2022-03-30,14:59:00,4295,4300,4275,4280,4295,4299,4315.75,4284.333,4265.917,280367,280796.4,542858.6,698804.1,988506.7
