날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-30,15:35:00,7630,7630,7630,7630,7592,7568,7526,7496.333,7434.667,22851,53798.8,31153.8,29466.1,25631.53
2022-03-30,15:30:00,7630,7630,7630,7630,7584,7555,7521.5,7496.5,7433.083,124097,57290.6,30752.4,31443.23,25586.12
2022-03-30,15:19:00,7580,7580,7540,7570,7572,7544,7516.5,7498.5,7431.833,41545,57594,25002.3,35695.28,25025.07
2022-03-30,15:18:00,7560,7620,7560,7570,7564,7535,7515,7497.5,7431.333,52709,51620.6,23486,42084.25,25070.48
2022-03-30,15:17:00,7600,7610,7550,7560,7554,7525,7511.5,7494.5,7430.083,27792,43861,21187.05,41457.78,24656.16
2022-03-30,15:16:00,7580,7620,7580,7590,7544,7517,7509,7490.833,7428.833,40310,42853,20686.3,41369.82,24473.96
2022-03-30,15:15:00,7530,7640,7530,7570,7526,7502,7502.5,7486.667,7427.583,125614,36958.8,19197.7,40828.58,24403.66
2022-03-30,15:14:00,7520,7540,7520,7530,7516,7489,7497,7482.5,7426.417,11678,15440.8,13799.1,38860.07,23447.58
2022-03-30,15:13:00,7540,7550,7510,7520,7506,7482,7493.5,7479.167,7425.417,13911,14515.2,13901.65,38687,23403.27
2022-03-30,15:12:00,7510,7540,7490,7510,7496,7482,7493,7476.167,7424.417,22752,12716.4,14120.8,38515.3,23307.73
2022-03-30,15:11:00,7520,7520,7500,7500,7490,7484,7494.5,7473.333,7423.583,10839,9914.8,14776.9,38330.55,23156.09
2022-03-30,15:10:00,7480,7520,7470,7520,7478,7488,7498,7471.167,7422.833,18024,11252.8,15659.8,38228.13,23108.26
2022-03-30,15:09:00,7470,7480,7470,7480,7462,7489,7496.5,7468.667,7421.833,7050,14207.4,15272.1,37967.08,22972.82
2022-03-30,15:08:00,7480,7490,7460,7470,7458,7495,7496.5,7467,7421.25,4917,16733.8,15269.3,37898.03,22928.04
