날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-30,15:35:00,21900,21900,21900,21900,22130,22160,22102.5,22130.83,22083.33,3929,6960.4,4210.6,3599.533,4586.008
2022-03-30,15:30:00,21900,21900,21900,21900,22190,22185,22097.5,22136.67,22090,16976,6633,4080.35,3568.7,4587.692
2022-03-30,15:19:00,22300,22450,22250,22250,22270,22205,22102.5,22143.33,22097.92,9512,3617.8,3256.75,3361.9,4473.658
2022-03-30,15:18:00,22250,22350,22200,22350,22280,22190,22085,22144.17,22102.5,3779,3246.2,2843.25,3271.85,4422.192
2022-03-30,15:17:00,22250,22300,22200,22250,22220,22170,22067.5,22140.83,22105.42,606,2896.6,2747.4,3254.533,4450.267
2022-03-30,15:16:00,22300,22350,22200,22200,22190,22165,22052.5,22138.33,22110.83,2292,3089.6,2817.4,3309.4,4530.417
2022-03-30,15:15:00,22300,22300,22250,22300,22180,22145,22032.5,22139.17,22116.67,1900,3076,3101.05,3467.083,4645.483
2022-03-30,15:14:00,22100,22350,22050,22300,22140,22110,22012.5,22140.83,22120.83,7654,3329,3131.6,3680.4,4672.4
2022-03-30,15:13:00,22150,22150,22000,22050,22100,22085,21997.5,22137.5,22124.17,2031,2231.8,2784.05,3630.517,4641.933
2022-03-30,15:12:00,22150,22150,22000,22100,22120,22070,21992.5,22135.83,22129.58,1571,2242.6,3057.5,3630.283,4701.683
2022-03-30,15:11:00,22150,22200,22100,22150,22140,22045,21990,22130.83,22135.42,2224,3118,3232.75,3608.95,4754.625
2022-03-30,15:10:00,22150,22200,22100,22100,22110,22010,21985,22125,22138.75,3165,3052.2,3932.95,3616.2,4787.008
2022-03-30,15:09:00,22150,22200,22050,22100,22080,22000,21992.5,22121.67,22142.08,2168,3001.4,4844.3,3573.767,4844.933
2022-03-30,15:08:00,22200,22200,22000,22150,22070,21980,22007.5,22119.17,22146.67,2085,3438,4864.05,3543.717,4941.45
2022-03-30,15:07:00,22000,22250,22000,22200,22020,21965,22015,22115.83,22148.75,5948,3377,4838.35,3569.35,4944.792
2022-03-30,15:06:00,22050,22100,22000,22000,21950,21940,22025,22110,22150,1895,3674.4,4688.3,3510.517,4916.5
2022-03-30,15:05:00,22050,22100,21950,21950,21910,21920,22042.5,22110.83,22151.67,2911,3560.2,4877.2,3518.383,4926.567
2022-03-30,15:04:00,21950,22100,21850,22050,21920,21915,22050,22110.83,22155,4351,3078.8,4798.65,3499.05,4933.975
2022-03-30,15:03:00,21850,21950,21750,21900,21890,21910,22052.5,22107.5,22156.67,1780,2457,4670.7,3543.3,4940.9
2022-03-30,15:02:00,21850,21950,21600,21850,21910,21915,22072.5,22105.83,22161.25,7435,2473.4,4602.6,3542.833,5015.542
2022-03-30,15:01:00,22000,22050,21800,21800,21930,21935,22095,22105.83,22165.83,1324,1387.6,4332.45,3437.417,5015.192
2022-03-30,15:00:00,21900,22000,21850,22000,21930,21960,22115,22106.67,22167.92,504,2715.8,4350.45,3466.8,5063.167
2022-03-30,14:59:00,21950,22000,21850,21900,21910,21985,22122.5,22103.33,22168.33,1242,3117.2,4369.2,3513.4,5159.425
2022-03-30,14:58:00,22000,22000,21950,22000,21930,22035,22135,22104.17,22170.83,1862,3009.4,4354.3,3669.583,5173.633
2022-03-30,14:57:00,21850,22000,21800,21950,21920,22065,22145,22101.67,22173.33,2006,4137,4309.95,3931.05,5179.242
2022-03-30,14:56:00,21900,21900,21700,21800,21940,22110,22147.5,22094.17,22176.25,7965,4751,4312.4,3931.233,5194.192
2022-03-30,14:55:00,22000,22000,21900,21900,21990,22165,22160,22087.5,22180.42,2511,6403.6,4093.3,3994.633,5148.742
2022-03-30,14:54:00,21950,22000,21900,22000,22060,22185,22167.5,22082.5,22184.17,703,10179.8,4044,4004.65,5222.817
2022-03-30,14:53:00,22050,22050,21800,21950,22140,22195,22170,22076.67,22187.5,7500,10551.8,4174.15,4053.867,5293.95
2022-03-30,14:52:00,22000,22100,21850,22050,22210,22230,22187.5,22070,22190,5076,9366,3909.25,4026.733,5358.65
2022-03-30,14:51:00,22150,22250,21800,22050,22280,22255,22200,22062.5,22190.42,16228,8940.2,3751.8,4008.25,5339.342
2022-03-30,14:50:00,22450,22750,22200,22250,22340,22270,22212.5,22055,22191.67,21392,6829.2,3025.7,3835.833,5229.4
2022-03-30,14:49:00,22300,22450,22300,22400,22310,22260,22215,22047.5,22191.25,2563,2818.8,2232.3,3518.117,5102.883
2022-03-30,14:48:00,22350,22400,22300,22300,22250,22235,22207.5,22037.5,22189.58,1571,2664.6,2176.15,3605,5168.175
2022-03-30,14:47:00,22350,22400,22200,22400,22250,22225,22205,22025.83,22188.33,2947,2434,2180,3679.55,5437.483
2022-03-30,14:46:00,22100,22400,22100,22350,22230,22185,22197.5,22012.5,22187.5,5673,2251,2112.6,3911.867,5732.892
2022-03-30,14:45:00,22100,22150,22050,22100,22200,22155,22195,21999.17,22189.58,1340,1453.2,1897.3,4173.5,5841.317
2022-03-30,14:44:00,22300,22300,22100,22100,22210,22150,22205,21995,22195.42,1792,1361,1942.3,4393.717,5892.158
2022-03-30,14:43:00,22300,22300,22250,22300,22220,22145,22217.5,21994.17,22201.25,418,1191.4,2097.85,4410.2,5929.233
2022-03-30,14:42:00,22150,22300,22100,22300,22200,22145,22210,21992.5,22205.83,2032,1302.8,2169.4,4440.033,6016.508
