날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-30,15:35:00,9710,9710,9710,9710,9904,9978,10044,10049,10032.75,71374,111215,59055.6,39329.72,30399.69
2022-03-30,15:30:00,9710,9710,9710,9710,9962,10017,10066,10052.67,10035.17,241935,109076,57061.1,39112.22,30038.68
2022-03-30,15:19:00,10000,10050,9820,10050,10012,10051,10088,10055.33,10037.33,162405,93615.8,45586.8,38017.05,28086.24
2022-03-30,15:18:00,10000,10050,10000,10050,10022,10056,10090.5,10054.5,10036.67,34563,63792.6,40371.9,35512.35,26837.14
2022-03-30,15:17:00,10000,10100,10000,10000,10032,10056,10095.5,10053.67,10035.75,45798,60833.8,46614.7,35074.57,26606.46
2022-03-30,15:16:00,9960,10050,9960,10000,10052,10066,10103,10053.67,10035.25,60679,57373.2,46134.6,34369.4,26263.51
2022-03-30,15:15:00,10100,10100,9830,9960,10072,10071,10110.5,10054.5,10034.67,164634,48058.4,45544,33380.97,26001.9
2022-03-30,15:14:00,10100,10100,10050,10100,10090,10095,10115,10056,10034.42,13289,16528,38164.85,30827.17,24695.4
2022-03-30,15:13:00,10150,10150,10050,10100,10090,10105,10112.5,10054.17,10033.08,19769,19187.8,38154.55,30682.37,24698.08
2022-03-30,15:12:00,10050,10150,10050,10100,10080,10110,10112.5,10052.33,10031.75,28495,22175,37726.9,30600.57,24852.15
2022-03-30,15:11:00,10100,10100,10050,10100,10080,10110,10110,10050.33,10030.33,14105,20528.6,36672.3,30853.77,24853.19
2022-03-30,15:10:00,10100,10100,10050,10050,10070,10115,10110,10049.5,10029.33,6982,43194.8,36866.95,30689.42,24824.85
2022-03-30,15:09:00,10000,10100,10000,10100,10100,10125,10110,10049.5,10028.83,26588,43988.2,36803,30800.22,24919.02
2022-03-30,15:08:00,10100,10100,10000,10050,10120,10125,10105,10047.83,10027.75,34705,49600.4,36374.25,30630.67,24835.96
2022-03-30,15:07:00,10000,10100,10000,10100,10140,10135,10107.5,10047.83,10027.25,20263,47773.2,34922,30170.87,24726.23
2022-03-30,15:06:00,10150,10200,10000,10050,10140,10140,10102.5,10046.17,10026.42,127436,47105.6,35772.95,30056.1,24708.65
2022-03-30,15:05:00,10200,10200,10150,10200,10160,10150,10107.5,10045.17,10026,10949,27915.2,32975.7,28043.07,23854.55
2022-03-30,15:04:00,10150,10200,10100,10200,10150,10135,10102.5,10041.67,10024.25,54649,28215.2,34503.1,28062.42,24575.46
2022-03-30,15:03:00,10150,10150,10100,10150,10130,10120,10097.5,10038.17,10022.58,25569,28906.8,32696.65,27441.9,24528.32
2022-03-30,15:02:00,10100,10150,10100,10100,10130,10115,10092.5,10035.5,10021.33,16925,55676.8,33586.05,27714.5,24653.53
2022-03-30,15:01:00,10150,10150,10100,10150,10140,10110,10090,10034.67,10020.42,31484,59531,33081.7,27668.08,24782.75
2022-03-30,15:00:00,10100,10150,10100,10150,10140,10105,10087.5,10033,10018.58,12449,63007.6,33636.1,27551.47,24659.65
2022-03-30,14:59:00,10150,10200,10100,10100,10120,10095,10085,10032.17,10016.5,58107,63928,34235.55,27427.23,24858.9
2022-03-30,14:58:00,10150,10200,10100,10150,10110,10085,10082.5,10032.17,10014.75,159419,54923.2,31734.6,26957.07,24909.05
