날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-30,15:35:00,8050,8050,8050,8050,8100,8150,8240,8343.333,8396.833,10481,51566.2,43821.25,31464.9,41191.33
2022-03-30,15:30:00,8050,8050,8050,8050,8126,8175,8258,8347.167,8399,106008,64375.4,44080.95,32021.92,41314.88
2022-03-30,15:19:00,8150,8170,8050,8090,8126,8198,8274.5,8350.167,8401.083,84204,69265.8,41294.8,31723.9,40607.98
2022-03-30,15:18:00,8170,8180,8130,8140,8154,8218,8293,8355,8402.667,27160,60376.2,38976.45,30891.72,40087.97
2022-03-30,15:17:00,8180,8200,8150,8170,8174,8225,8313,8359.333,8403.583,29978,61059.6,43411.6,30668.2,39956.81
2022-03-30,15:16:00,8050,8250,8020,8180,8200,8238,8327,8363.5,8404,74527,58028.4,42821.85,30299.57,39973.33
2022-03-30,15:15:00,8240,8240,8020,8050,8224,8247,8339,8367.5,8404.167,130460,45865.4,40444.15,29242.6,40000.16
2022-03-30,15:14:00,8240,8250,8200,8230,8270,8286,8357,8374,8406.083,39756,22739.6,34267.3,27349.97,39109.38
2022-03-30,15:13:00,8300,8320,8230,8240,8282,8307,8366,8376.667,8406.667,30577,18327.6,32666.95,26981.82,38963.33
2022-03-30,15:12:00,8300,8300,8280,8300,8276,8321,8373.5,8379.5,8407.25,14822,26749.6,31507.7,26824.4,39043.61
2022-03-30,15:11:00,8280,8310,8280,8300,8276,8330,8377.5,8380.5,8407.417,13712,31381.8,31078.95,27342.3,39155.14
2022-03-30,15:10:00,8280,8300,8270,8280,8270,8341,8383.5,8382.833,8407.75,14831,42610.2,31005.95,27331.38,39164.12
2022-03-30,15:09:00,8210,8290,8200,8290,8302,8351,8388,8386.5,8408.417,17696,44575.4,30652.75,27302.82,39182.77
2022-03-30,15:08:00,8290,8300,8200,8210,8332,8368,8391.5,8389.167,8408.667,72687,46666.2,30503.3,27325.08,39348.33
2022-03-30,15:07:00,8270,8300,8240,8300,8366,8401,8401,8393.667,8409.917,37983,36680.2,27416.95,26546.52,39004.76
2022-03-30,15:06:00,8440,8450,8240,8270,8384,8416,8405,8396.833,8411.083,69854,34308.6,26581.55,26490.03,38881.58
2022-03-30,15:05:00,8440,8450,8400,8440,8412,8431,8415,8398.833,8412.25,24657,23472.8,24070.7,25930.63,38620.8
2022-03-30,15:04:00,8380,8450,8380,8440,8400,8428,8415,8398,8411.833,28150,28598.4,24452.75,26399.35,39045.55
2022-03-30,15:03:00,8370,8390,8350,8380,8404,8425,8412.5,8397.833,8412.417,22757,30535.8,23640.8,28221.48,40119.93
2022-03-30,15:02:00,8400,8410,8370,8390,8436,8426,8412.5,8400,8412.917,26125,49157,24472.5,29103.82,40806.1
2022-03-30,15:01:00,8380,8410,8380,8410,8448,8425,8414.5,8403.833,8412.583,15675,47568.6,23695.35,29359.28,41098.07
2022-03-30,15:00:00,8440,8450,8370,8380,8450,8426,8416.5,8407.833,8411.167,50285,49828.2,24041.65,30710.77,41227.47
2022-03-30,14:59:00,8540,8540,8400,8460,8456,8425,8418,8411.667,8409.417,37837,41155.8,22624.25,30521.72,41439.14
2022-03-30,14:58:00,8450,8550,8440,8540,8446,8415,8417.5,8414.167,8407.5,115863,35138.2,21251.85,31125.63,41536.21
2022-03-30,14:57:00,8430,8460,8410,8450,8416,8401,8414,8415.833,8405,18183,13444,18010.7,30057.57,40811.73
2022-03-30,14:56:00,8400,8470,8400,8420,8402,8394,8417,8419.167,8403.75,26973,11056.8,18764.25,31631.13,40760.92
2022-03-30,14:55:00,8420,8420,8380,8410,8402,8399,8418,8423.5,8402.583,6923,8112.6,18697.1,33763.38,40628.38
2022-03-30,14:54:00,8380,8420,8380,8410,8394,8402,8419.5,8425.833,8401.75,7749,8281.4,19205.2,34140.45,40757.81
2022-03-30,14:53:00,8380,8390,8370,8390,8384,8400,8421,8427,8401.167,7392,9673,22061.05,34869.77,40771.98
2022-03-30,14:52:00,8410,8410,8370,8380,8386,8399,8420,8429,8400.5,6247,10386.6,22119,35101.57,40799.54
2022-03-30,14:51:00,8380,8420,8370,8420,8386,8404,8419.5,8431.5,8399.917,12252,13392.2,25571.6,35283.95,40864.61
2022-03-30,14:50:00,8360,8380,8350,8370,8396,8407,8419.5,8433.5,8399.083,7767,14869.2,26602.25,35750.07,40991.09
2022-03-30,14:49:00,8390,8400,8360,8360,8410,8411,8415.5,8435.667,8399.333,14707,19775.4,26773.95,36166.68,41330.06
2022-03-30,14:48:00,8400,8410,8380,8400,8416,8420,8412.5,8439.667,8398.75,10960,19216.2,26765.5,36488.52,41431.83
2022-03-30,14:47:00,8470,8490,8380,8380,8412,8427,8406,8442.333,8397.667,21275,24902.4,27143.6,37506.08,41924.18
2022-03-30,14:46:00,8440,8490,8430,8470,8422,8440,8400.5,8446.167,8397.167,19637,22763.8,27349.55,39265.23,41997.19
2022-03-30,14:45:00,8390,8490,8390,8440,8418,8437,8392.5,8448.5,8396,32298,23356.6,26990.45,41134.87,42030.5
2022-03-30,14:44:00,8380,8400,8360,8390,8412,8437,8387,8450.667,8395.5,11911,21284.4,26146.3,41986.6,42250.23
2022-03-30,14:43:00,8430,8440,8290,8380,8424,8442,8384.5,8453.667,8395,39391,20980,26558.2,43206.8,42957.97
2022-03-30,14:42:00,8460,8470,8420,8430,8442,8441,8383,8454.833,8394.917,10582,23309.8,26095.6,42730.47,42995.21
2022-03-30,14:41:00,8410,8480,8400,8450,8458,8435,8375.5,8455.667,8394.667,22601,27844.2,26878.1,43408.13,43170.6
2022-03-30,14:40:00,8430,8450,8350,8410,8456,8432,8367,8456,8394,21937,28450,27943.15,43856.75,43535.44
2022-03-30,14:39:00,8470,8470,8420,8450,8462,8420,8358,8457.5,8393.667,10389,27479.6,31252.65,44000.22,44659.97
2022-03-30,14:38:00,8510,8540,8410,8470,8460,8405,8354.5,8458.167,8393.833,51040,38375,32446.85,44839.65,44971.93
2022-03-30,14:37:00,8450,8530,8440,8510,8440,8385,8351,8459,8394.5,33254,29877.2,30582.3,45272.15,44761
2022-03-30,14:36:00,8440,8450,8400,8440,8412,8361,8346.5,8459.333,8394.917,25630,38286.2,29312.6,47327.98,44613.23
2022-03-30,14:35:00,8440,8470,8430,8440,8408,8348,8345.5,8460.167,8395.667,17085,39733.2,28586.55,49058.07,44703.7
2022-03-30,14:34:00,8370,8510,8370,8440,8378,8337,8345.5,8461.167,8396.333,64866,38556.4,28577.4,51756.72,44860.28
2022-03-30,14:33:00,8380,8390,8350,8370,8350,8327,8343,8460.667,8396.833,8551,28490.8,26217.45,51942.62,44719.23
2022-03-30,14:32:00,8420,8470,8350,8370,8330,8325,8345,8459.833,8398.167,75299,30485,26846.5,52176.85,45150.73
2022-03-30,14:31:00,8300,8420,8300,8420,8310,8316,8344.5,8459,8400,32865,20504,25376.35,51442.17,44932.78
2022-03-30,14:30:00,8300,8310,8290,8290,8288,8302,8345.5,8456,8401.667,11201,16422,24385.95,51239.2,45027.8
2022-03-30,14:29:00,8270,8300,8250,8300,8296,8296,8356,8455,8404.667,14538,17264.8,24481.75,51279.65,45499.53
2022-03-30,14:28:00,8290,8290,8230,8270,8304,8304,8363.5,8453.167,8406.75,18522,18387,24706.45,51481.82,46227.91
2022-03-30,14:27:00,8310,8310,8220,8270,8320,8317,8374,8452.333,8410.083,25394,20710.4,25079,51800.3,46689.96
2022-03-30,14:26:00,8330,8330,8300,8310,8322,8332,8385,8452,8413.667,12455,20878,25539,51698.67,46895.48
2022-03-30,14:25:00,8340,8350,8330,8330,8316,8343,8389,8451.333,8417.167,15415,27167.4,26730.75,51572.83,47396.71
2022-03-30,14:24:00,8350,8360,8320,8340,8296,8354,8392,8450.833,8420.5,20149,41709.8,28599,51457.72,47804.02
2022-03-30,14:23:00,8290,8350,8260,8350,8304,8359,8396.5,8449.667,8424.083,30139,44534.6,34465.45,51322.67,48254.72
2022-03-30,14:22:00,8280,8280,8230,8280,8314,8365,8404.5,8449.333,8427.5,26232,41256.6,36743.35,51145.25,48807.55
2022-03-30,14:21:00,8240,8320,8220,8280,8342,8373,8421.5,8450.333,8431.333,43902,37582.2,37504.4,50917.75,49012.08
2022-03-30,14:20:00,8370,8380,8180,8230,8370,8389,8440,8450.833,8435.083,88127,31023.6,40147.5,50607.85,49325.23
2022-03-30,14:19:00,8400,8410,8350,8380,8412,8416,8459,8452,8439.167,34273,16778.6,37688.25,49492.05,49177.19
2022-03-30,14:18:00,8430,8430,8400,8400,8414,8423,8470.5,8450.333,8442.333,13749,13457.4,39678.2,49284.22,50090.63
2022-03-30,14:17:00,8420,8450,8420,8420,8416,8431,8482.5,8447.833,8444.917,7860,14934,41579.7,49245.42,51657.82
2022-03-30,14:16:00,8440,8450,8410,8420,8404,8438,8494,8444.5,8448.083,11109,22541.2,46816.55,49647.1,55303.54
2022-03-30,14:15:00,8400,8450,8390,8440,8408,8435,8507,8440.833,8451.5,16902,22930.8,54006.5,50757.72,61101.11
2022-03-30,14:14:00,8400,8400,8360,8390,8420,8430,8512.5,8438.167,8452.833,17667,22173.8,54638.75,50868.78,63089.67
2022-03-30,14:13:00,8360,8450,8350,8410,8432,8434,8517,8436.667,8453.5,21132,22446.8,56330.8,50944.85,64063.07
2022-03-30,14:12:00,8440,8460,8350,8360,8446,8444,8522,8435,8453.5,45896,23415,56339.2,51262.82,65359.71
2022-03-30,14:11:00,8500,8500,8430,8440,8472,8470,8530.5,8434.333,8454.167,13057,21154.6,54903.9,50967.98,65678.99
2022-03-30,14:10:00,8450,8500,8450,8500,8462,8491,8535.5,8432.667,8454.833,13117,25801.2,56262,50996.85,66439.51
2022-03-30,14:09:00,8470,8500,8420,8450,8440,8502,8535.5,8430.333,8455,19032,33733.8,57244.35,51062.72,67597.26
2022-03-30,14:08:00,8490,8500,8470,8480,8436,8518,8543,8428.167,8456.167,25973,57423,57993.6,51371.57,69575.42
2022-03-30,14:07:00,8390,8500,8380,8490,8442,8534,8547,8426.167,8456.583,34594,67367.8,60295.65,51463,73005.43
2022-03-30,14:06:00,8390,8400,8320,8390,8468,8550,8553,8425.333,8458.167,36290,68739.6,64907.15,51273.13,76876.76
2022-03-30,14:05:00,8420,8440,8390,8390,8520,8579,8564,8425.667,8458.417,52780,80834.4,69683.4,51310.97,78450.14
2022-03-30,14:04:00,8510,8520,8310,8430,8564,8595,8573,8425.667,8458.167,137478,78066.8,71214.5,51691.75,78915.44
2022-03-30,14:03:00,8610,8640,8510,8510,8600,8600,8580,8427,8457.417,75697,65385.6,68596.75,52018.38,78504.69
2022-03-30,14:02:00,8650,8670,8610,8620,8626,8600,8577,8425.833,8456.5,41453,60602,65352.45,52508.38,80216.9
2022-03-30,14:01:00,8610,8680,8600,8650,8632,8591,8570,8421.333,8455,96764,74830.8,65841.9,52836.85,81233.78
2022-03-30,14:00:00,8620,8620,8570,8610,8638,8580,8561,8414.5,8451.25,38942,86459.6,63479.6,51744.17,80858.63
2022-03-30,13:59:00,8630,8650,8600,8610,8626,8569,8555.5,8407.167,8448.083,74072,84580.6,63059.75,52356.57,80942.48
2022-03-30,13:58:00,8650,8670,8620,8640,8600,8568,8549.5,8400.833,8445.25,51779,80067.8,62393.9,51946.78,80916.48
2022-03-30,13:57:00,8650,8680,8600,8650,8574,8560,8543.5,8394.167,8442.667,112597,73972,63654.45,51565.88,81744.73
2022-03-30,13:56:00,8550,8680,8510,8680,8550,8556,8537.5,8388.333,8439.5,154908,54890.6,65854.8,49890.7,81737.22
