날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-30,15:35:00,8330,8330,8330,8330,8386,8412,8455,8847.333,8488.167,12162,28657.8,32412.05,100339.4,57507.02
2022-03-30,15:30:00,8330,8330,8330,8330,8408,8424,8470,8855,8487.583,83828,28078.8,37067.9,106004.3,57433.18
2022-03-30,15:19:00,8430,8450,8400,8430,8424,8433,8494,8853.167,8487,16228,17130.2,34029.65,104695.4,56849.5
2022-03-30,15:18:00,8400,8450,8380,8440,8416,8437,8514.5,8849.833,8485.667,16115,18363,33683.2,104579.1,56741.73
2022-03-30,15:17:00,8440,8450,8380,8400,8422,8440,8533.5,8845.333,8484.5,14956,19643.8,34551.65,104447.8,56633.35
2022-03-30,15:16:00,8420,8460,8410,8440,8438,8442,8562.5,8841.5,8483.833,9267,18828.4,35128.75,104279.4,56523.26
2022-03-30,15:15:00,8390,8420,8360,8410,8440,8452,8584.5,8836.667,8482.75,29085,19220.4,35821.3,104149.2,56461.19
2022-03-30,15:14:00,8480,8490,8370,8390,8442,8463,8606.5,8832.333,8481.75,22392,21481.4,35593.15,103699.8,56237.25
2022-03-30,15:13:00,8480,8510,8410,8470,8458,8474,8630.5,8828.333,8481.167,22519,19238.2,38151.35,103357.1,56063.96
2022-03-30,15:12:00,8450,8480,8430,8480,8458,8483,8654,8823,8479.75,10879,18923.4,38089.1,103044.6,55893.63
2022-03-30,15:11:00,8410,8470,8410,8450,8446,8498,8676,8817.833,8478.083,11227,25230.6,39296.25,102926.2,55846.98
2022-03-30,15:10:00,8460,8470,8370,8420,8464,8516,8703.5,8813.5,8476.583,40390,28742.2,40910.85,102857.7,55836.51
2022-03-30,15:09:00,8460,8490,8460,8470,8484,8555,8733,8809.333,8475.667,11176,25358.2,41820.85,102278.2,55508
2022-03-30,15:08:00,8420,8500,8400,8470,8490,8592,8762,8804.167,8474.417,20945,34831.6,47565.35,102232.1,55437.48
2022-03-30,15:07:00,8550,8550,8410,8420,8508,8627,8795,8799.5,8473.083,42415,42285.2,53576.65,102109.3,55269.49
2022-03-30,15:06:00,8510,8570,8510,8540,8550,8683,8824,8794,8472.083,28785,56931.4,55683.1,101445.2,54922.32
2022-03-30,15:05:00,8510,8530,8500,8520,8568,8717,8846,8786.333,8470.083,23470,72230.2,60971.8,101049.3,54703.65
2022-03-30,15:04:00,8560,8560,8470,8500,8626,8750,8863.5,8779,8468.333,58543,72148.8,64706.5,100670.6,54513.74
2022-03-30,15:03:00,8620,8630,8510,8560,8694,8787,8881,8772.167,8466.833,58213,62300,64812.4,99699.62,54051.63
2022-03-30,15:02:00,8630,8640,8550,8630,8746,8825,8896.5,8764.333,8464.917,115646,57354.2,65229.45,98804.9,53587
2022-03-30,15:01:00,8810,8810,8610,8630,8816,8854,8914,8755.333,8462.5,105279,39524.6,64874.55,96910.55,52624.02
2022-03-30,15:00:00,8850,8860,8810,8810,8866,8891,8925,8746.667,8460,23063,23092.4,70872.5,95175.17,51762.04
2022-03-30,14:59:00,8820,8870,8810,8840,8874,8911,8939.5,8734.667,8456,9299,23384.2,74109.85,94855.63,51584.95
2022-03-30,14:58:00,8960,8970,8800,8820,8880,8932,8958.5,8722.333,8451.833,33484,36235.6,76794.55,94720.95,51532.53
2022-03-30,14:57:00,8880,8980,8860,8980,8904,8963,8979,8710.167,8447.833,26498,33793.6,77888,94216.53,51269.56
2022-03-30,14:56:00,8850,8890,8820,8880,8892,8965,8992.5,8695.167,8442.333,23118,35498.4,82877.6,93847.7,51056.88
2022-03-30,14:55:00,8870,8890,8850,8850,8916,8975,9007.5,8682.167,8437.5,24522,39578.6,84548.05,93498.4,50874.7
2022-03-30,14:54:00,8930,8940,8790,8870,8948,8977,9025.5,8670,8432.917,73556,46392.2,86682.35,93162.4,50678.06
2022-03-30,14:53:00,8920,8970,8910,8940,8984,8975,9042.5,8658,8428.167,21274,56894.2,85557.4,92001.13,50090.01
2022-03-30,14:52:00,8990,9010,8920,8920,9022,8968,9058,8644.833,8423.25,35022,80873.6,91472.15,91678.07,49923.29
2022-03-30,14:51:00,9000,9030,8970,9000,9038,8974,9072,8632.167,8418.333,43519,90778,97291.55,91301.35,49640.35
2022-03-30,14:50:00,9030,9060,8980,9010,9034,8959,9090,8618.667,8412.583,58590,108986,107603.4,90615.93,49286.44
2022-03-30,14:49:00,9120,9140,8950,9050,9006,8968,9098,8604.833,8406.833,126066,116900.8,115751.2,89672.52,48804.52
2022-03-30,14:48:00,8990,9170,8950,9130,8966,8985,9109,8590.667,8400.583,141171,103819.8,118064.7,87635.02,47759.58
2022-03-30,14:47:00,8980,9030,8920,9000,8914,8995,9117.5,8574.833,8393.667,84544,88896.4,124397,85358.58,46591.18
2022-03-30,14:46:00,8850,9080,8820,8980,8910,9020,9131.5,8561.5,8387.833,134559,93697.2,142565.1,84004.63,45895.75
2022-03-30,14:45:00,8860,8900,8730,8870,8884,9040,9153,8548,8382.083,98164,111833,154252.2,81915.13,44848.03
2022-03-30,14:44:00,8870,8940,8850,8850,8930,9074,9169.5,8536.5,8377.167,60661,109762.2,166052.8,80614.33,44041.56
2022-03-30,14:43:00,8980,8980,8850,8870,9004,9110,9180,8524.833,8372.5,66554,110228.6,182474.7,79899.9,43572.03
2022-03-30,14:42:00,8850,9000,8840,8980,9076,9148,9177,8512.667,8367.5,108548,107988.4,190872.6,79364.72,43036.13
2022-03-30,14:41:00,9100,9110,8770,8850,9130,9170,9173,8497.667,8361.75,225238,111536.8,203731.7,77714.38,42196.03
2022-03-30,14:40:00,9230,9240,9100,9100,9196,9221,9170,8484.167,8357.25,87810,77794.6,210072.6,74065.22,40355.25
2022-03-30,14:39:00,9220,9280,9190,9220,9218,9228,9126,8466.333,8350.667,62993,73674.2,205946.8,72750.68,39666.91
