날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-30,15:35:00,8600,8600,8600,8600,8612,8599,8603,8554.667,8502.25,319,8650,4033.6,2701.883,2161.167
2022-03-30,15:30:00,8600,8600,8600,8600,8608,8598,8605,8552.333,8501.5,23523,9118,4435.7,2700.683,2187.708
2022-03-30,15:19:00,8630,8660,8600,8640,8606,8594,8603,8550,8500.833,3545,5097.8,3385.3,2332.183,2007.067
2022-03-30,15:18:00,8590,8630,8590,8630,8598,8586,8597.5,8547.333,8499.333,9995,4695.4,3307.55,2276.15,1985.458
2022-03-30,15:17:00,8590,8590,8550,8590,8588,8582,8592,8544.833,8497.75,5868,2985.4,2984.8,2111.017,1941.417
2022-03-30,15:16:00,8590,8600,8580,8580,8586,8583,8589.5,8543.167,8496.5,2659,2524.6,2745.9,2013.417,1908.508
2022-03-30,15:15:00,8600,8600,8590,8590,8588,8585,8588,8541.333,8495.583,3422,2514.4,2647.65,1971.317,1901.642
2022-03-30,15:14:00,8590,8600,8580,8600,8582,8589,8588,8539.5,8494.5,1533,2343,2542.75,1926.883,1881.233
2022-03-30,15:13:00,8580,8600,8580,8580,8574,8594,8587.5,8537.167,8493.333,1445,2446.4,2484.3,1903.55,1879.342
2022-03-30,15:12:00,8590,8600,8580,8580,8576,8600,8587,8534.833,8492.5,3564,2477.8,2452.1,1882.817,1873.492
2022-03-30,15:11:00,8570,8590,8560,8590,8580,8607,8586.5,8532.5,8491.5,2608,2248.4,2342,1826.333,1862.875
2022-03-30,15:10:00,8560,8580,8530,8560,8582,8612,8585.5,8530.333,8490.75,2565,2802.6,2240.95,1797.517,1845.867
2022-03-30,15:09:00,8590,8590,8530,8560,8596,8612,8586,8529,8490.667,2050,2722.8,2218.7,1781.05,1837.608
2022-03-30,15:08:00,8600,8610,8590,8590,8614,8609,8586,8528.5,8490.083,1602,2515.4,2171.3,1787.3,1831.767
2022-03-30,15:07:00,8620,8620,8600,8600,8624,8602,8584,8527.5,8488.833,2417,2931,2121.35,1834.683,1882.467
2022-03-30,15:06:00,8630,8650,8600,8600,8634,8596,8580.5,8526.167,8487.917,5379,2711.4,2018.4,1814.133,1879.567
2022-03-30,15:05:00,8650,8670,8630,8630,8642,8591,8578.5,8524.333,8487.083,2166,3307.8,1812.7,1761.35,1844.742
2022-03-30,15:04:00,8640,8660,8630,8650,8628,8587,8575.5,8522,8486,1013,3377.6,1710.85,1737.25,1868.575
2022-03-30,15:03:00,8650,8660,8640,8640,8604,8581,8572,8519,8484.667,3680,3573,1672.5,1747.833,1907.358
2022-03-30,15:02:00,8630,8670,8630,8650,8580,8574,8566.5,8516.167,8483.667,1319,3545,1505,1701.533,1922.683
2022-03-30,15:01:00,8560,8650,8560,8640,8558,8566,8560.5,8512.5,8482.583,8361,3499.2,1441.05,1689.05,1981.075
2022-03-30,15:00:00,8530,8560,8530,8560,8540,8559,8554.5,8509.333,8482.083,2515,1965.8,1077.7,1560.533,1987.883
2022-03-30,14:59:00,8520,8540,8510,8530,8546,8560,8553,8508.333,8483.167,1990,1727.6,1047.6,1535.067,2143.733
2022-03-30,14:58:00,8540,8570,8510,8520,8558,8563,8553,8507.167,8485.083,3540,1402.4,1036.35,1504.883,2316.217
2022-03-30,14:57:00,8570,8570,8540,8540,8568,8566,8556.5,8506.333,8486.833,1090,854.6,1072.05,1447.717,2445.633
2022-03-30,14:56:00,8590,8590,8550,8550,8574,8565,8561,8505.5,8487.75,694,909,1196.85,1436.817,2485.167
