날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-30,15:35:00,1580,1580,1580,1580,1582,1573,1565.5,1551.083,1538.458,14200,132733.6,64708.15,36802.25,26851.02
2022-03-30,15:30:00,1580,1580,1580,1580,1581,1570.5,1564.75,1550.083,1538.125,312922,161471.2,67144.3,36629.48,26896.57
2022-03-30,15:19:00,1585,1585,1570,1580,1578,1568,1564,1549.083,1537.833,123499,110829.8,56876.8,32095.17,24311.48
2022-03-30,15:18:00,1580,1590,1580,1585,1575,1565.5,1562.75,1548.083,1537.542,58872,97836.2,51208.35,30070.17,23314.63
2022-03-30,15:17:00,1575,1585,1570,1585,1570,1563,1561.25,1547.083,1537.208,154175,87247.4,48556.75,29318.97,23017.59
2022-03-30,15:16:00,1560,1580,1560,1575,1564,1560.5,1559.75,1546.167,1536.792,157888,60567.6,41459.75,26756.35,22408.29
2022-03-30,15:15:00,1565,1565,1560,1565,1560,1559.5,1558.75,1545.417,1536.5,59715,33106.8,35956.55,24167.77,21301.28
2022-03-30,15:14:00,1560,1565,1555,1565,1558,1559,1558.25,1544.833,1536.375,58531,31366.8,37433.3,23197.52,20893.15
2022-03-30,15:13:00,1560,1560,1555,1560,1556,1558.5,1557.75,1544.25,1536.25,5928,21311,38773.1,22472.27,20479.82
2022-03-30,15:12:00,1550,1560,1550,1555,1556,1557.5,1557,1543.75,1536.167,20776,22997.4,38688.6,22411.15,20756.17
2022-03-30,15:11:00,1555,1555,1550,1555,1557,1558,1556.75,1543.333,1536.042,20584,36283.4,38454.05,22149.08,20642.21
2022-03-30,15:10:00,1560,1560,1555,1555,1559,1559,1556.25,1542.833,1535.958,51015,37993.2,37798.55,21879.83,20649.03
2022-03-30,15:09:00,1555,1560,1555,1555,1560,1560,1555.75,1542.417,1535.875,8252,32211.4,35435.9,21295.62,20298.78
2022-03-30,15:08:00,1560,1560,1555,1560,1561,1560,1555.25,1541.917,1535.833,14360,34684.8,35318.75,21264.23,20420.78
2022-03-30,15:07:00,1565,1570,1560,1560,1559,1559.5,1554.5,1541.417,1535.75,87206,38274.2,34804.05,21138.38,20355.41
2022-03-30,15:06:00,1560,1565,1555,1565,1559,1559,1553.75,1540.917,1535.708,29133,29248,31025.8,19980.6,19677.98
2022-03-30,15:05:00,1560,1560,1555,1560,1559,1558,1553,1540.333,1535.625,22106,36006,29617.05,19620.35,19592.05
2022-03-30,15:04:00,1550,1565,1550,1560,1560,1557.5,1552.25,1539.75,1535.625,20619,53099.2,28750.2,19398.42,19551.52
2022-03-30,15:03:00,1560,1560,1550,1550,1559,1557,1551.5,1539.167,1535.583,32307,51001.4,29345.7,19186.32,19456.32
2022-03-30,15:02:00,1560,1565,1560,1560,1560,1556.5,1551.25,1538.75,1535.625,42075,45708,28011.55,19030.55,19465.9
2022-03-30,15:01:00,1560,1570,1560,1565,1559,1555.5,1550.75,1538.167,1535.583,62923,39740,27069.25,19061.45,19170.03
2022-03-30,15:00:00,1555,1565,1550,1565,1557,1553.5,1549.75,1537.417,1535.458,107572,36720.2,23967.95,18332.28,18817.95
2022-03-30,14:59:00,1555,1555,1550,1555,1555,1551.5,1548.75,1536.583,1535.417,10130,33055.8,19438.15,17027.38,18204.59
2022-03-30,14:58:00,1550,1555,1550,1555,1555,1550.5,1548,1535.917,1535.417,5840,48095.2,19238.6,16982.3,18123.96
2022-03-30,14:57:00,1555,1555,1550,1555,1553,1549.5,1547.5,1535.25,1535.417,12235,47774.8,19318,16927.48,18287
2022-03-30,14:56:00,1560,1560,1555,1555,1552,1548.5,1547,1534.583,1535.417,47824,48544.8,21260.3,16755.98,18322.81
2022-03-30,14:55:00,1555,1560,1550,1555,1550,1548,1546.25,1534,1535.417,89250,40474.8,20684.35,16107.2,18432.59
2022-03-30,14:54:00,1545,1555,1545,1555,1548,1547,1545.75,1533.333,1535.417,85327,23377.2,16546.5,14837.95,18083.42
2022-03-30,14:53:00,1545,1550,1545,1545,1546,1546,1545.25,1532.583,1535.375,4238,7493.6,12855.45,13628.5,17406.79
2022-03-30,14:52:00,1545,1550,1540,1550,1546,1546,1545,1532.083,1535.417,16085,7459.2,13201.15,13785.18,17472.98
2022-03-30,14:51:00,1545,1545,1540,1545,1545,1546,1544.5,1531.5,1535.333,7474,6570.4,13495.35,13895.23,17356.14
