날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-31,15:35:00,2225,2225,2225,2225,2205,2200,2202.75,2232,2257.083,99510,268352,306579,211883.1,318800.2
2022-03-31,15:30:00,2225,2225,2225,2225,2198,2198.5,2201.5,2232.667,2257.292,624271,276366.2,334594.8,212928.7,328443.1
2022-03-31,15:19:00,2195,2200,2170,2180,2194,2197,2201.25,2233.333,2257.667,343658,207291.6,306764.9,203451.7,324955.2
2022-03-31,15:18:00,2205,2205,2185,2195,2195,2201,2203.75,2234.833,2258.375,153105,175163.2,300793.6,198368,324005.9
2022-03-31,15:17:00,2190,2205,2190,2200,2196,2200.5,2204.25,2235.917,2258.917,121216,179611,304860.9,197460.5,325587.7
2022-03-31,15:16:00,2205,2210,2190,2190,2195,2199.5,2205.75,2236.833,2259.583,139581,183982.4,300829,197764.9,328690.1
2022-03-31,15:15:00,2185,2205,2170,2205,2199,2196.5,2208,2238.417,2260.292,278898,182087.4,295485.4,197595,332015.4
2022-03-31,15:14:00,2200,2200,2185,2185,2200,2194,2209.5,2239.5,2260.875,183016,163227.2,283908.7,195880.4,332577.7
2022-03-31,15:13:00,2200,2205,2185,2200,2207,2198.5,2212.5,2240.75,2261.75,175344,179658,279406.1,202645.9,337240.9
2022-03-31,15:12:00,2210,2220,2195,2195,2205,2202,2214.5,2242.333,2262.542,143073,211655.4,277862.1,203906.8,349031.6
2022-03-31,15:11:00,2210,2210,2195,2210,2204,2205.5,2216.5,2244.083,2263.25,130106,245411.8,277104.1,204265,358461.4
2022-03-31,15:10:00,2220,2220,2195,2210,2194,2204.5,2217.5,2245.333,2263.917,184597,375177.2,301134.8,205100.5,361898.8
2022-03-31,15:09:00,2195,2225,2180,2220,2188,2205.5,2219.5,2246.75,2264.417,265170,439760.6,315317.6,207413.4,366953.7
2022-03-31,15:08:00,2195,2215,2190,2190,2190,2206.5,2223.75,2247.667,2264.458,335331,439047,350072.7,206526.6,366856.2
2022-03-31,15:07:00,2160,2200,2160,2190,2199,2208,2226.75,2249.333,2264.625,311855,443366.4,339422.5,204357.5,366193.5
