날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-31,15:35:00,5090,5090,5090,5090,5094,5071,5047.5,5041,5046.667,16086,68550.2,29097.35,16596.93,11974.12
2022-03-31,15:30:00,5090,5090,5090,5090,5092,5065,5044,5040.333,5046.25,153171,71004.4,28449.1,16472.4,11983.66
2022-03-31,15:19:00,5110,5120,5090,5090,5086,5057,5041,5039.667,5045.667,38496,45501.6,21396.8,13991.63,11116.73
2022-03-31,15:18:00,5080,5120,5080,5110,5078,5050,5036.5,5039,5045.083,75180,43479.6,19910.15,13367.4,11417.41
2022-03-31,15:17:00,5070,5100,5070,5090,5062,5041,5032,5038,5044.667,59818,32278,17562.7,12270.05,10920.51
2022-03-31,15:16:00,5060,5080,5050,5080,5048,5033,5029,5037.333,5044.417,28357,22484,15441,11304.87,10496.47
2022-03-31,15:15:00,5050,5060,5050,5060,5038,5028,5025.5,5036.833,5044.25,25657,19088.6,14715.5,10900.3,10664.71
2022-03-31,15:14:00,5030,5060,5030,5050,5028,5025,5023,5036.833,5044.25,28386,19331.6,14308,10509.42,10511.92
2022-03-31,15:13:00,5020,5040,5020,5030,5022,5023,5021.5,5037,5044.333,19172,14977.4,13178.8,10183.42,10360.85
2022-03-31,15:12:00,5030,5030,5020,5020,5020,5023,5021.5,5037.667,5044.5,10848,11738.2,15189.95,10048.25,10472.75
2022-03-31,15:11:00,5010,5030,5000,5030,5018,5024,5022,5038.333,5044.833,11380,15480.8,14758.3,10083.83,10453.8
2022-03-31,15:10:00,5020,5030,5000,5010,5018,5023,5022,5038.5,5045.167,26872,15078,14492.45,9950.317,10383.63
2022-03-31,15:09:00,5030,5030,5020,5020,5022,5025,5023,5039,5045.667,6615,12622.4,13631.7,9552.483,10226.71
2022-03-31,15:08:00,5010,5030,5010,5020,5024,5023,5023.5,5039.167,5046.083,2976,13032.4,13713.5,9656.033,10208.27
2022-03-31,15:07:00,5030,5040,5010,5010,5026,5023,5023.5,5039.5,5046.5,29561,14357.8,14152.9,9637.567,10213.54
2022-03-31,15:06:00,5030,5040,5030,5030,5030,5025,5024.5,5040.167,5047,9366,9874.4,13118.15,9314.533,10126.74
2022-03-31,15:05:00,5030,5040,5030,5030,5028,5023,5024,5040.5,5047.417,14594,8625.4,12833.85,9282.85,10122.18
2022-03-31,15:04:00,5020,5040,5020,5030,5028,5021,5024,5040.667,5047.75,8665,8131.6,12305.2,9287.667,10053.95
2022-03-31,15:03:00,5030,5040,5020,5030,5022,5020,5024,5041.167,5048.167,9603,8151.2,12160.85,9272.167,10051.76
2022-03-31,15:02:00,5020,5030,5020,5030,5020,5020,5024.5,5041.833,5048.667,7144,11876.8,12104.75,9156.1,10049.29
2022-03-31,15:01:00,5030,5030,5020,5020,5020,5020,5024.5,5042.667,5049.167,3121,13924.8,12202.4,9076.233,10060.96
2022-03-31,15:00:00,5000,5030,5000,5030,5018,5021,5025.5,5043.5,5049.75,12125,16070,12583.5,9178.283,10062.58
2022-03-31,14:59:00,5010,5020,5000,5000,5014,5021,5026,5044.167,5050.333,8763,17146.4,12138.45,9095.9,9993.15
2022-03-31,14:58:00,5020,5020,5000,5020,5018,5024,5028,5045,5051.083,28231,16554.2,11972.9,9284.733,9949.075
2022-03-31,14:57:00,5020,5030,5010,5030,5020,5024,5029,5045.333,5051.667,17384,22787,11998.5,8900.367,9814.467
2022-03-31,14:56:00,5010,5020,5000,5010,5020,5024,5029.5,5045.667,5052.25,13847,19753.2,11271.6,8646.933,9721.525
2022-03-31,14:55:00,5010,5020,5000,5010,5024,5025,5031,5046.167,5052.917,17507,18196.4,10777.15,8490.1,9626.092
2022-03-31,14:54:00,5030,5030,5010,5020,5028,5027,5033,5046.667,5053.583,5802,16626.4,10018.6,8344.05,9508.6
2022-03-31,14:53:00,5030,5030,5010,5030,5030,5028,5034,5047.333,5054.167,59395,17116.2,9877.9,8257.6,9530.425
2022-03-31,14:52:00,5030,5040,5030,5030,5028,5029,5034.5,5047.667,5054.583,2215,7590,7502.7,7378.35,9128.975
2022-03-31,14:51:00,5030,5030,5030,5030,5028,5029,5035.5,5048,5055.167,6063,8920.2,8536,7408.817,9164.983
2022-03-31,14:50:00,5030,5030,5020,5030,5026,5030,5036.5,5048.167,5055.667,9657,8443.6,8792.35,7431.15,9155.575
2022-03-31,14:49:00,5020,5040,5020,5030,5026,5031,5037.5,5048.333,5056.167,8251,7316.4,8674.8,7425.083,9105.533
2022-03-31,14:48:00,5040,5040,5020,5020,5026,5032,5038.5,5048.667,5056.667,11764,6821.8,8908.55,7421.283,9118.95
2022-03-31,14:47:00,5030,5040,5020,5030,5030,5034,5040,5049.333,5057.167,8866,6165.2,8927.9,7450.117,9071.158
2022-03-31,14:46:00,5030,5030,5020,5020,5030,5035,5041.5,5050,5057.667,3680,6211.4,8607.55,7377.283,9026.558
2022-03-31,14:45:00,5030,5030,5020,5030,5034,5037,5043.5,5050.667,5058.25,4021,7624,8456.15,7386.95,9015.75
2022-03-31,14:44:00,5020,5040,5020,5030,5036,5039,5045,5051.333,5058.667,5778,7464.6,8506.95,7431.85,9022.958
2022-03-31,14:43:00,5030,5040,5030,5040,5038,5040,5047,5052,5059.083,8481,7399.4,8420.2,7550.633,9021.733
2022-03-31,14:42:00,5050,5050,5030,5030,5038,5040,5049,5052.5,5059.333,9097,11451.8,8552.5,7523.25,9150.883
2022-03-31,14:41:00,5040,5050,5030,5040,5040,5042,5051,5053,5059.917,10743,10201.6,8491.05,7473.817,9462.625
2022-03-31,14:40:00,5040,5040,5030,5040,5040,5043,5051.5,5053.167,5060.417,3224,8844.6,8384.6,7344.967,9452.575
2022-03-31,14:39:00,5040,5040,5030,5040,5042,5044,5052,5053.333,5061,5452,8667,8439.65,7355.15,9484.792
2022-03-31,14:38:00,5040,5040,5020,5040,5042,5045,5052.5,5053.333,5061.583,28743,8174.2,8219.15,7636.983,9513.367
2022-03-31,14:37:00,5030,5050,5030,5040,5042,5046,5053,5053.667,5062.167,2846,4803.8,7248.95,7266.367,9332.558
2022-03-31,14:36:00,5050,5050,5040,5040,5044,5048,5053.5,5053.833,5062.75,3958,8810.8,7202,7360.5,9370.208
2022-03-31,14:35:00,5040,5050,5040,5050,5046,5050,5054,5053.5,5063.417,2336,10257.2,7208.25,7458.217,9388.533
2022-03-31,14:34:00,5040,5040,5030,5040,5046,5051,5054.5,5053.167,5064,2988,11251.2,7201.65,7970.483,9434.283
2022-03-31,14:33:00,5040,5050,5030,5040,5048,5054,5055.5,5053.167,5064.667,11891,13238.8,7493.55,7973.5,9465.833
2022-03-31,14:32:00,5050,5050,5030,5050,5050,5058,5057,5053.333,5065.25,22881,13290.8,7452.1,7925.25,9382.2
2022-03-31,14:31:00,5050,5050,5050,5050,5052,5060,5057.5,5053.5,5065.75,11190,9206.4,6957.2,7631.733,9310.025
2022-03-31,14:30:00,5050,5060,5050,5050,5054,5060,5057,5053.667,5066.083,7306,7098.8,6566.15,7449.233,9280.608
2022-03-31,14:29:00,5050,5060,5050,5050,5056,5060,5056.5,5053.833,5066.583,12926,6645,6350.95,7364.767,9253.058
2022-03-31,14:28:00,5060,5070,5050,5050,5060,5060,5055.5,5054,5067.083,12151,4868.4,6346.05,7259.683,9164.092
2022-03-31,14:27:00,5060,5070,5060,5060,5066,5060,5055,5054.167,5067.667,2459,4663.6,5831.9,7157.667,9176.717
2022-03-31,14:26:00,5060,5070,5060,5060,5068,5059,5054.5,5054.333,5068,652,5745.4,6217.9,7299.15,9261.992
2022-03-31,14:25:00,5070,5080,5060,5060,5066,5058,5054,5054.333,5068.333,5037,7337.8,6558.55,7372.883,9334.083
