날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-31,15:35:00,3345,3345,3345,3345,3340,3338.5,3342,3344.667,3349.167,4241,17520.2,8683.2,6872.1,24956.78
2022-03-31,15:30:00,3345,3345,3345,3345,3338,3338.5,3341.75,3344.667,3350.875,39107,16987.8,8605.2,7002.467,27663.23
2022-03-31,15:19:00,3330,3340,3325,3340,3336,3338,3341.75,3344.667,3353.167,32096,11453.8,6808.5,6719.433,31314.32
2022-03-31,15:18:00,3335,3340,3330,3335,3335,3339,3341.5,3344.5,3355.75,8393,7432.4,5273.05,6237.3,37854.2
2022-03-31,15:17:00,3335,3340,3335,3335,3336,3340.5,3341.5,3344.333,3357.958,3764,6250.2,4862.6,6175.6,47289.98
2022-03-31,15:16:00,3335,3340,3335,3335,3337,3342,3341.5,3344.25,3360,1579,6346.8,4741.55,6179.85,47736.48
2022-03-31,15:15:00,3335,3340,3330,3335,3339,3343.5,3341.75,3344.083,3361.583,11437,6355.8,4918.15,6389.783,52989.62
2022-03-31,15:14:00,3340,3345,3335,3335,3340,3344.5,3342,3344,3361.917,11989,5587,4614.7,6308.65,52917.85
2022-03-31,15:13:00,3340,3345,3340,3340,3343,3345,3342,3343.917,3362.375,2482,5327,4836.7,6158.983,52912.77
2022-03-31,15:12:00,3345,3350,3340,3340,3345,3345.5,3341.5,3343.667,3362.75,4247,5232.8,5431.45,6211.2,53006.5
2022-03-31,15:11:00,3350,3350,3340,3345,3347,3345.5,3342,3343.417,3363.167,1624,5387.8,5465.55,6186.7,53087.46
2022-03-31,15:10:00,3340,3350,3335,3340,3348,3345,3342,3343.167,3363.583,7593,5968,5485.3,6165.567,53182.59
2022-03-31,15:09:00,3345,3350,3340,3350,3349,3345.5,3342.5,3343,3364,10689,5700.8,5174.45,6106.25,53186.97
2022-03-31,15:08:00,3350,3350,3345,3350,3347,3344,3342.25,3342.667,3364.25,2011,4095.4,4692.7,5963.983,53145.36
2022-03-31,15:07:00,3350,3350,3345,3350,3346,3342.5,3342.5,3342.333,3364.542,5022,6162.8,4654.9,5938.1,53206.21
2022-03-31,15:06:00,3345,3350,3345,3350,3344,3341,3342.5,3342,3364.75,4525,5478,4815.7,6024.983,53269.32
2022-03-31,15:05:00,3340,3350,3340,3345,3342,3340,3342,3341.667,3365.083,6257,5109.2,4774.8,6021.533,53256.2
2022-03-31,15:04:00,3345,3355,3340,3340,3342,3339.5,3342,3341.333,3365.458,2662,4492.4,4508,6113.533,53211
