날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-31,15:35:00,791,791,791,791,789.4,788.5,785.95,776.8333,768.75,264968,309470.8,222637.2,210367.2,173746
2022-03-31,15:30:00,791,791,791,791,788.6,787.7,784.95,776.35,768.6083,686511,299275.4,216737.4,206237.7,171805.4
2022-03-31,15:19:00,786,792,786,791,788.4,786.7,784.1,775.85,768.4667,325777,216886.4,186362.9,196503,166604.6
2022-03-31,15:18:00,788,790,786,786,788.2,785.8,783.4,775.3833,768.35,94688,211734.4,171863.7,192322.8,165227.1
2022-03-31,15:17:00,787,791,785,788,788.4,785.6,782.9,774.95,768.25,175410,220958,168714.2,192867.2,165029.4
2022-03-31,15:16:00,790,790,781,787,787.6,785.7,782.25,774.5,768.1083,213991,206892.2,162215.5,191533.6,163778.2
2022-03-31,15:15:00,790,793,790,790,786.8,786,781.75,774.0833,767.9667,274566,186620.2,154986.3,189589.3,163117.3
2022-03-31,15:14:00,788,792,788,790,785,785.7,781.1,773.6333,767.7833,300017,142041.2,146532.1,188704.4,161222.9
2022-03-31,15:13:00,784,787,784,787,783.4,785.4,780.4,773.2,767.6167,140806,129129.6,137307.3,185072.6,159129.7
2022-03-31,15:12:00,784,785,783,784,782.8,784.4,779.7,772.8,767.475,105081,176617.4,132443.3,184591,158608.4
2022-03-31,15:11:00,781,785,780,783,783.8,783.4,779.15,772.4667,767.3333,112631,185720.4,128448.2,183840.3,159168.1
2022-03-31,15:10:00,782,783,781,781,785.2,782.2,778.5,772.1333,767.225,51671,209271.4,124537.1,183294.6,158734.1
2022-03-31,15:09:00,784,784,780,782,786.4,781.5,777.95,771.85,767.1333,235459,255031.4,129021,183240,158780.6
2022-03-31,15:08:00,789,790,783,784,787.4,781,777.45,771.5167,767.0417,378245,262278.8,120581.5,180642.3,157067.1
2022-03-31,15:07:00,790,790,787,789,786,780.2,776.65,771.15,766.925,150596,211307.6,108657.9,178362.1,154254.9
2022-03-31,15:06:00,787,791,785,790,783,778.8,775.65,770.6833,766.7917,230386,188465.4,103305.8,182279,153214.8
2022-03-31,15:05:00,786,790,785,787,779.2,777.5,774.65,770.1167,766.6333,280471,171782.4,94382.15,179306.6,151835.3
2022-03-31,15:04:00,778,787,778,787,776.6,776.5,773.55,769.5833,766.4833,271696,131492.6,88323.2,177010.7,149797
2022-03-31,15:03:00,774,777,772,777,774.6,775.4,772.6,769.0667,766.3417,123389,84312,77312.2,174080.1,148065
2022-03-31,15:02:00,773,775,771,774,774.4,775,772.1,768.6333,766.2833,36385,65973.6,79587.9,175198.5,147927.2
2022-03-31,15:01:00,775,775,771,771,774.6,774.9,771.9,768.2333,766.2417,146971,67784,85917,177822.1,149075
2022-03-31,15:00:00,777,777,774,774,775.8,774.8,771.9,767.9333,766.2667,79022,52271,101317.1,179339,148464.9
2022-03-31,14:59:00,776,778,776,777,776.4,774.4,771.5,767.6167,766.275,35793,57563,121211.3,179280.7,148333.1
2022-03-31,14:58:00,775,776,774,776,776.2,773.9,771.55,767.3,766.2833,31697,73508.8,132394.8,180204.9,148514.1
2022-03-31,14:57:00,777,778,775,775,775.6,773.1,771.5,766.9833,766.3167,45437,75874.6,163731.4,181246.4,149089.8
2022-03-31,14:56:00,776,778,776,777,775.2,772.5,772.05,766.6,766.3333,69406,71822.8,223917,182535.1,149092
2022-03-31,14:55:00,777,777,774,777,773.8,771.8,772.9,766.2167,766.35,105482,64823.6,242223.2,182258.2,149139.9
2022-03-31,14:54:00,774,778,774,776,772.4,770.6,773.6,765.8167,766.3417,115522,71997,285083.2,182054,150503.4
2022-03-31,14:53:00,773,775,772,773,771.6,769.8,774.05,765.4667,766.3167,43526,62226.2,297503.7,182024.6,150377.6
2022-03-31,14:52:00,771,773,770,773,770.6,769.2,774.45,765.1667,766.3333,25178,81475.8,322785.9,189028.1,150525.6
2022-03-31,14:51:00,771,772,769,770,769.8,768.9,774.45,764.9,766.3667,34410,85151,337538.4,190034.6,150794.5
2022-03-31,14:50:00,772,776,770,770,769.8,769,774.45,764.7333,766.4083,141349,88651.6,340005.7,190197.3,151077.1
2022-03-31,14:49:00,767,773,766,772,768.8,768.6,774.35,764.55,766.5,66668,92240.2,333791.9,188800.5,151863.8
2022-03-31,14:48:00,769,769,765,768,768,769.2,774.1,764.3167,766.5583,139774,89201.8,337688.8,189566.4,153642.5
2022-03-31,14:47:00,769,770,767,769,767.8,769.9,774.2,764.1833,766.7167,43554,95027.6,338979.8,188699.8,155160.5
2022-03-31,14:46:00,767,770,765,770,768,771.6,774.1,764.0167,766.8417,51913,118910.2,341348.4,190961.3,158494.1
2022-03-31,14:45:00,769,770,763,765,768.2,774,773.85,763.8833,766.9083,159292,199522.2,343755.8,191112.3,159631.7
2022-03-31,14:44:00,766,770,766,768,768.4,776.6,773.75,763.7833,766.9833,51476,263045,337626.9,189195.3,159375.8
2022-03-31,14:43:00,769,772,765,767,770.4,778.3,773.4,763.6,767.0333,168903,304642.4,337279.8,189439.5,161130.3
2022-03-31,14:42:00,771,774,769,770,772,779.7,773.1,763.45,767.075,162967,402547.6,329886.9,188947.6,162798.4
2022-03-31,14:41:00,766,771,761,771,775.2,780,772.65,763.2667,767.025,454973,619784,322547.3,187694.4,165045.5
2022-03-31,14:40:00,777,779,766,766,779.8,779.9,772.2,763.0833,766.9667,476906,615895.2,300658.8,182264.9,165203.7
2022-03-31,14:39:00,776,779,773,778,784.8,780.1,771.95,763.0667,767,259463,713050.4,281934.9,177841.5,164044.2
2022-03-31,14:38:00,786,791,775,775,786.2,779,771.2,762.75,766.9167,658429,733944.4,272709.8,177877.3,163339.3
2022-03-31,14:37:00,794,802,786,786,787.4,778.5,770.45,762.4,766.9083,1249149,712092.4,246156,173537.9,162218.2
2022-03-31,14:36:00,791,794,789,794,784.8,776.6,769.2,761.9667,766.7833,435529,526308.2,188468.2,155728.4,154080.8
2022-03-31,14:35:00,784,793,784,791,780,773.7,767.6,761.4667,766.6417,962682,455953.8,171558.4,150162.9,152992.8
2022-03-31,14:34:00,781,785,779,785,775.4,770.9,766.2,760.9667,766.5333,363933,266832,134498.1,137895.4,145567.8
2022-03-31,14:33:00,773,785,773,781,771.8,768.5,765.15,760.55,766.475,549169,222966.6,120406.7,134858.8,143178.8
2022-03-31,14:32:00,770,774,769,773,769.6,766.5,764.25,760.2167,766.4583,320228,146251.4,98543.9,134796.3,139411.9
2022-03-31,14:31:00,768,770,767,770,768.4,765.3,763.8,760.05,766.4917,83757,100391.2,85534.35,136619.2,137490.1
2022-03-31,14:30:00,767,768,766,768,767.4,764.5,763.45,760,766.5583,17073,103651.8,85340.9,135763.8,137809.8
2022-03-31,14:29:00,769,770,766,767,766.4,763.8,763.25,759.9833,766.6583,144606,107580.2,86906.95,136600.3,138735.7
2022-03-31,14:28:00,767,770,766,770,765.2,763.4,763,759.9667,766.725,165593,87565.8,83656.5,135582.7,138754.6
2022-03-31,14:27:00,765,767,764,767,763.4,762.4,762.6,759.8667,766.8,90927,58656.2,87448.5,136636.5,138993.2
