날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-01,15:35:00,2695,2695,2695,2695,2687,2692.5,2695.25,2694.5,2665.167,54675,97635.4,60791.6,53410.1,37359.61
2022-04-01,15:30:00,2695,2695,2695,2695,2685,2693,2694,2694.083,2664.625,252070,108977,59844.3,53993.3,37111
2022-04-01,15:19:00,2690,2690,2660,2665,2679,2693,2692.75,2693,2664.042,101589,78614.6,50441.5,49838.43,35104.98
2022-04-01,15:18:00,2690,2695,2680,2685,2689,2697.5,2693,2692.417,2663.625,48775,64474.4,47399.25,48399.02,34283.12
2022-04-01,15:17:00,2685,2700,2680,2695,2695,2700.5,2692.75,2691.583,2663.042,31068,66417.8,47298.7,47757.3,33972.65
2022-04-01,15:16:00,2665,2700,2650,2685,2698,2702,2691.75,2690.5,2662.375,111383,69175.6,48204.45,47498.88,33795.79
2022-04-01,15:15:00,2715,2720,2655,2665,2701,2704.5,2691.75,2689.5,2661.75,100258,52481,45013.3,45668.07,33074.79
2022-04-01,15:14:00,2720,2720,2710,2715,2707,2709,2693,2688.75,2661.417,30888,43486.6,42063.8,44143.33,32416.51
2022-04-01,15:13:00,2710,2720,2705,2715,2706,2706,2692,2687.25,2660.667,58492,45029.4,41373.95,44034,32306.87
2022-04-01,15:12:00,2700,2710,2700,2710,2706,2702,2691.25,2685.75,2659.833,44857,41326.6,39117.85,43092.05,31826.78
2022-04-01,15:11:00,2690,2705,2690,2700,2706,2698,2690.5,2684.25,2659,27910,36369.2,38078.25,42604.35,31597.88
2022-04-01,15:10:00,2710,2715,2690,2695,2708,2695,2690.25,2683,2658.167,55286,46773.8,37765.7,42215.73,31551.88
2022-04-01,15:09:00,2710,2715,2710,2710,2711,2692.5,2690.25,2682,2657.333,38602,50024.2,35832.25,41358.12,31137.44
2022-04-01,15:08:00,2710,2715,2705,2715,2706,2688.5,2689.25,2680.667,2656.333,39978,46598.6,36403.4,40750.82,31042.48
2022-04-01,15:07:00,2715,2715,2705,2710,2698,2685,2688,2679.25,2655.333,20070,40820.4,39540.25,40258.12,30948.66
2022-04-01,15:06:00,2710,2715,2700,2710,2690,2681.5,2687.75,2677.833,2654.458,79933,39986.2,41753.35,40291.37,30892.23
2022-04-01,15:05:00,2685,2710,2680,2710,2682,2679,2687.75,2676.417,2653.708,71538,31145.4,39563.85,39047.42,30270.22
2022-04-01,15:04:00,2680,2685,2675,2685,2674,2677,2687.75,2674.917,2652.958,21474,29640.6,37686.7,37934.07,29777.86
2022-04-01,15:03:00,2670,2680,2670,2675,2671,2678,2688.75,2674,2652.375,11087,33494.6,38418.7,37835.85,29784.01
2022-04-01,15:02:00,2670,2675,2665,2670,2672,2680.5,2690.25,2673.083,2651.875,15899,40630,38440.6,37805.32,29723.55
2022-04-01,15:01:00,2665,2670,2660,2670,2673,2683,2692.25,2672.167,2651.375,35729,47286.8,38902.55,37781.58,29719.77
2022-04-01,15:00:00,2670,2675,2660,2670,2676,2685.5,2693.75,2671.417,2650.958,64014,49653,37629.55,37270,29510.73
2022-04-01,14:59:00,2680,2680,2665,2670,2680,2688,2695,2670.583,2650.5,40744,45103.8,36837.25,36342.07,29019.3
2022-04-01,14:58:00,2670,2685,2670,2680,2685,2690,2696.75,2669.833,2650.042,46764,40373.2,36091.45,35794.02,28880.51
2022-04-01,14:57:00,2685,2685,2670,2675,2689,2691,2698,2668.917,2649.542,49183,33694.4,37024.35,35245.67,29150.95
2022-04-01,14:56:00,2690,2690,2680,2685,2693,2694,2699,2668.167,2649.25,47560,28670.8,35809.55,34558.68,29322.34
2022-04-01,14:55:00,2690,2695,2685,2690,2695,2696.5,2699.5,2667.333,2648.792,41268,23490.6,34123.15,34003.48,29065.43
2022-04-01,14:54:00,2700,2700,2690,2695,2696,2698.5,2699.5,2666.333,2648.25,17091,18560.4,33139.5,33513.25,29050.75
2022-04-01,14:53:00,2695,2700,2690,2700,2695,2699.5,2699.5,2665.083,2647.625,13370,25147.2,34562.7,33605.38,29097.09
2022-04-01,14:52:00,2695,2695,2690,2695,2693,2700,2699.25,2664,2646.917,24065,43016.2,35698.25,33975.92,29208.29
2022-04-01,14:51:00,2690,2700,2685,2695,2695,2701.5,2699.25,2663.083,2646.167,21659,51069.6,36955.4,33890.43,29061.85
2022-04-01,14:50:00,2690,2695,2685,2695,2698,2702,2699.5,2662.083,2645.458,16617,53966.4,38030.7,33676.67,29256.09
2022-04-01,14:49:00,2690,2695,2685,2690,2701,2702,2699.75,2661.25,2644.792,50025,57442,38614.15,33663.55,29478.11
2022-04-01,14:48:00,2705,2705,2680,2690,2704,2703.5,2699.75,2660.5,2644.25,102715,54659.8,39223.7,33252.23,29197.3
2022-04-01,14:47:00,2710,2710,2700,2705,2707,2705,2700.5,2659.75,2643.667,64332,36421.8,37181.15,31650.45,28633.53
2022-04-01,14:46:00,2710,2710,2705,2710,2708,2704,2701,2658.667,2642.958,36143,28583,40090.4,30643.02,28711.23
2022-04-01,14:45:00,2705,2710,2700,2710,2706,2702.5,2701.25,2657.5,2642.167,33995,23408.2,48336.7,30235.48,28820.95
2022-04-01,14:44:00,2705,2705,2700,2705,2703,2700.5,2700,2656.5,2641.292,36114,26242.8,48543.05,29862.28,29269.82
2022-04-01,14:43:00,2705,2710,2700,2705,2703,2699.5,2698.75,2655.5,2640.292,11525,24185.6,52147.45,29650.33,29174.53
2022-04-01,14:42:00,2700,2710,2700,2710,2703,2698.5,2698,2654.25,2639.167,25138,34965,59284.75,29633.35,29106.35
2022-04-01,14:41:00,2695,2705,2695,2700,2700,2697,2696,2652.917,2638,10269,34914.8,60536.15,29665.85,28955.88
2022-04-01,14:40:00,2705,2710,2695,2695,2699,2697,2694.5,2652,2636.917,48168,35627.4,64506.05,29812.9,28976.69
2022-04-01,14:39:00,2705,2710,2700,2705,2698,2697.5,2691.25,2651.083,2635.875,25828,30312.8,62236.55,29193.88,28659.44
2022-04-01,14:38:00,2695,2710,2695,2705,2696,2696,2687.5,2650.083,2634.75,65422,34258.2,61706.35,29174.72,28463.53
2022-04-01,14:37:00,2695,2695,2685,2695,2694,2696,2684,2649.167,2633.583,24887,28390,58948.85,28947.7,27999.04
2022-04-01,14:36:00,2690,2700,2685,2695,2694,2698,2680.75,2648.667,2632.5,13832,33254.2,58482.65,28760.73,27932.29
2022-04-01,14:35:00,2695,2700,2690,2690,2695,2700,2677.25,2648.167,2631.458,21595,39120.8,57867.75,29114.25,27868.1
2022-04-01,14:34:00,2695,2700,2680,2695,2697,2699.5,2673.75,2647.917,2630.417,45555,40459,57226.7,30379.57,27827.83
2022-04-01,14:33:00,2695,2700,2685,2695,2696,2698,2670.25,2647.417,2629.375,36081,43791.2,56165.35,31675.83,27596.61
2022-04-01,14:32:00,2700,2705,2690,2695,2698,2697.5,2666.75,2646.833,2628.333,49208,48947.8,54460.05,32557,27353.12
2022-04-01,14:31:00,2700,2705,2690,2700,2702,2695,2663,2646.083,2627.333,43165,63609.6,52779.4,32467.93,27151.58
2022-04-01,14:30:00,2690,2705,2690,2700,2705,2692,2659.25,2645.083,2626.25,28286,95190.4,50850.8,32072.73,26853.49
2022-04-01,14:29:00,2700,2705,2685,2690,2702,2685,2656,2644,2625.167,62216,97157.6,49627.95,31809.1,26707.98
2022-04-01,14:28:00,2715,2715,2700,2705,2700,2679,2653,2643.083,2624,61864,106354.8,46625.35,30923.7,26490.99
2022-04-01,14:27:00,2715,2720,2710,2715,2697,2672,2649.25,2641.917,2622.833,122517,124836.2,44052.95,30037.33,26124.13
2022-04-01,14:26:00,2680,2715,2680,2715,2688,2663.5,2644.75,2640.5,2621.667,201069,110366,39030.35,28312.77,25180.87
2022-04-01,14:25:00,2685,2690,2680,2685,2679,2654.5,2640.25,2639.083,2620.583,38122,88085.6,29241.7,25197.85,23628.96
2022-04-01,14:24:00,2690,2695,2640,2680,2668,2648,2637,2638.167,2619.667,108202,81016.8,27572.45,24690.67,23426.73
2022-04-01,14:23:00,2675,2695,2670,2690,2658,2642.5,2634.5,2637.333,2618.792,154271,62421.2,22941.4,23361.15,22712.23
2022-04-01,14:22:00,2670,2675,2665,2670,2647,2636,2631,2636.333,2617.792,50166,33621.4,15690.6,21810.45,21529.73
2022-04-01,14:21:00,2625,2670,2625,2670,2639,2631,2628.25,2635.833,2616.958,89667,26700.8,13906.05,21309.12,21133.64
2022-04-01,14:20:00,2630,2630,2625,2630,2630,2626.5,2626,2635.167,2616.125,2778,9074.2,9674.4,20228.7,20505.78
2022-04-01,14:19:00,2635,2635,2625,2630,2628,2627,2625.5,2635.083,2615.625,15224,10273.4,9952.4,20371.52,20630.89
2022-04-01,14:18:00,2625,2635,2625,2635,2627,2627,2625.25,2634.833,2615.167,10272,12094.2,9584.25,20167.22,20623.7
2022-04-01,14:17:00,2625,2630,2625,2630,2625,2626.5,2624.75,2634.5,2614.708,15563,10434.8,9763.8,20188,20793.81
2022-04-01,14:16:00,2620,2625,2620,2625,2623,2626,2624.75,2634.25,2614.292,1534,10441.2,9383.85,20092.7,20758.63
2022-04-01,14:15:00,2625,2625,2615,2620,2623,2626,2625.25,2634,2613.958,8774,11053,10019.55,20481.52,20880.15
2022-04-01,14:14:00,2625,2625,2620,2625,2626,2626,2625.75,2634.083,2613.583,24328,10064,10173.55,20689.68,20840.12
2022-04-01,14:13:00,2620,2630,2620,2625,2627,2626.5,2625.5,2634.083,2613.208,1975,5631.2,10088.1,20579.73,20782.75
2022-04-01,14:12:00,2630,2630,2620,2620,2628,2626,2626,2633.917,2612.875,15595,7319.4,11769.45,20561.5,20963.35
2022-04-01,14:11:00,2630,2635,2625,2625,2629,2625.5,2627,2633.75,2612.417,4593,8613.4,11936.5,20591.42,20883.51
2022-04-01,14:10:00,2630,2635,2625,2635,2629,2625.5,2627.5,2633.333,2611.917,3829,8754,12148.5,20888.02,20980.16
2022-04-01,14:09:00,2635,2635,2625,2630,2626,2624,2628,2632.667,2611.458,2164,8935.6,12748.55,20916.77,21377.56
2022-04-01,14:08:00,2625,2635,2620,2630,2626,2623.5,2628.75,2632,2610.833,10416,11619,13907.65,21334.13,21488.64
2022-04-01,14:07:00,2620,2625,2615,2625,2624,2623,2629.5,2631.417,2610.125,22065,11386.8,13717.25,21639.2,21475.45
2022-04-01,14:06:00,2620,2625,2620,2625,2622,2623.5,2630.25,2631.083,2609.583,5296,9868.8,12808.3,21493.08,21339.09
2022-04-01,14:05:00,2630,2635,2620,2620,2622,2624.5,2631,2631,2609,4737,9816.4,13128.05,21493.02,21330.38
2022-04-01,14:04:00,2620,2635,2620,2630,2622,2625.5,2632.5,2631,2608.417,15581,10536.6,13471.35,21621.65,21462.7
2022-04-01,14:03:00,2620,2625,2615,2620,2621,2624.5,2633.25,2630.75,2607.792,9255,8992.6,13862.15,21732.17,21549.95
2022-04-01,14:02:00,2620,2625,2615,2615,2622,2626,2633.75,2630.667,2607.25,14475,9914.2,13924.7,21641.78,21545.29
2022-04-01,14:01:00,2620,2625,2620,2625,2625,2628.5,2634.5,2630.583,2606.708,5034,8612,14555.35,21657.95,21643.28
2022-04-01,14:00:00,2620,2625,2620,2620,2627,2629.5,2635.5,2630.5,2606,8338,10454.8,15258.25,21751.47,21707.58
2022-04-01,13:59:00,2625,2635,2620,2625,2629,2632,2636.5,2630.417,2605.333,7861,11158,15392.7,21696.53,21808.65
2022-04-01,13:58:00,2630,2630,2625,2625,2628,2634,2637.5,2630.25,2604.625,13863,14109.6,16233.55,21967,22046.15
2022-04-01,13:57:00,2630,2635,2630,2630,2630,2636,2638.75,2630.167,2603.875,7964,18457.4,18130.45,23056.23,22659.73
2022-04-01,13:56:00,2630,2635,2630,2635,2632,2637,2640.5,2630.333,2603.083,14248,20651.8,18415.7,24086,22900.79
2022-04-01,13:55:00,2620,2630,2620,2630,2632,2637.5,2642,2630.25,2602.375,11854,19568.8,19455.45,24127.37,22944.96
2022-04-01,13:54:00,2615,2625,2615,2620,2635,2639.5,2644.25,2630.167,2601.792,22619,20364,23738.45,24588.25,23177.03
2022-04-01,13:53:00,2640,2640,2610,2635,2640,2642,2646.5,2630.167,2601.375,35602,20909.4,28774.05,24588.8,23064.68
2022-04-01,13:52:00,2640,2640,2635,2640,2642,2641.5,2647.75,2629.833,2600.833,18936,15110.6,31441.5,24440.67,22963.13
2022-04-01,13:51:00,2645,2645,2635,2635,2642,2640.5,2648.25,2629.25,2600.292,8833,12100.6,32687.9,24233.27,23016.51
2022-04-01,13:50:00,2645,2645,2640,2645,2643,2641.5,2648.5,2628.833,2599.708,15830,12672.2,33218.9,24835.52,23247.57
2022-04-01,13:49:00,2640,2650,2640,2645,2644,2641,2648,2628.333,2598.958,25346,11826.8,33050.8,25292.67,23412.41
2022-04-01,13:48:00,2640,2645,2640,2645,2644,2641,2647.5,2628,2598.083,6608,11437,32238.1,25142.37,23447
2022-04-01,13:47:00,2640,2645,2635,2640,2641,2641.5,2647,2627.583,2597.208,3886,12216.6,32341.8,25616.62,23650.38
2022-04-01,13:46:00,2645,2650,2635,2640,2639,2644,2646.5,2627.25,2596.458,11691,16857,33099.65,26779.45,23782.82
2022-04-01,13:45:00,2645,2650,2640,2650,2640,2646.5,2646,2626.833,2595.708,11603,18337.2,33223.8,27406.42,23986.43
2022-04-01,13:44:00,2630,2645,2630,2645,2638,2649,2645,2626.083,2594.917,23397,18222,33028.2,28677.35,24122.7
2022-04-01,13:43:00,2630,2635,2630,2630,2638,2651,2644.25,2625.083,2594.167,10506,18478.2,33279.9,28698.72,24274.77
