날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-01,15:35:00,9400,9400,9400,9400,9368,9353,9316.5,9270.667,9336.167,15613,56561.8,25672,24520.47,18861.59
2022-04-01,15:30:00,9400,9400,9400,9400,9358,9343,9309,9268.833,9337.833,186938,55225.8,25952.1,24439.53,18785.17
2022-04-01,15:19:00,9340,9380,9310,9310,9354,9334,9303,9267.167,9339.25,37390,26337.2,16902,21465.1,17365.54
2022-04-01,15:18:00,9360,9390,9340,9370,9356,9333,9299.5,9267.333,9341.25,23103,21764.4,15576.5,20963.02,17225.27
2022-04-01,15:17:00,9340,9370,9330,9360,9348,9326,9293.5,9266.5,9342.833,19765,19638.6,16532.45,20713.83,17556.47
2022-04-01,15:16:00,9380,9380,9330,9350,9338,9318,9288.5,9266.167,9345.083,8933,18424.8,16505.3,20434.67,17475.47
2022-04-01,15:15:00,9330,9400,9320,9380,9328,9313,9287,9265.833,9347.667,42495,18795.2,16688.1,20351.7,17481.2
2022-04-01,15:14:00,9330,9340,9320,9320,9314,9305,9285,9265,9349.667,14526,14144,15089.9,19692,17390.64
2022-04-01,15:13:00,9310,9330,9310,9330,9310,9301,9286.5,9265.167,9352.667,12474,15231.6,15012.8,19528.87,17441.03
2022-04-01,15:12:00,9300,9320,9290,9310,9304,9289,9288,9265.167,9355.917,13696,15206.4,15316.7,19373.03,18009.41
2022-04-01,15:11:00,9310,9310,9290,9300,9298,9280,9290,9265.833,9358.75,10785,14939.2,15866.3,19194.15,18116.78
2022-04-01,15:10:00,9300,9310,9290,9310,9298,9275,9292.5,9266.167,9361.333,19239,15273.8,16197.55,19132.68,18231.08
2022-04-01,15:09:00,9300,9310,9270,9300,9296,9272,9292.5,9266.333,9364.167,19964,14159,15800.95,18873.8,18268.68
2022-04-01,15:08:00,9270,9300,9260,9300,9292,9266,9293.5,9266.5,9367,12348,11424.2,15553.25,18690.72,18389.03
2022-04-01,15:07:00,9310,9310,9270,9280,9274,9261,9294.5,9267.5,9370.167,12360,13878.6,15485.4,18667.9,18702.58
2022-04-01,15:06:00,9300,9310,9270,9300,9262,9259,9295,9268.667,9373.667,12458,12762.2,16765.05,18533.4,19423.08
2022-04-01,15:05:00,9270,9320,9270,9300,9252,9261,9294.5,9269,9376.25,13665,14513.6,17615.35,18508.38,19828.4
2022-04-01,15:04:00,9210,9280,9210,9280,9248,9265,9292,9268.5,9378.333,6290,12967.8,17433.1,18491.97,19813.53
2022-04-01,15:03:00,9220,9240,9170,9210,9240,9272,9289.5,9268.667,9380.75,24620,13885.8,17763.9,18527.8,19845.2
2022-04-01,15:02:00,9250,9270,9220,9220,9248,9287,9288.5,9270.167,9383.583,6778,17406.2,17379.15,18213,19742.73
2022-04-01,15:01:00,9280,9290,9200,9250,9256,9300,9287.5,9271.833,9386,21215,19895,17443.15,18183.18,19933.89
2022-04-01,15:00:00,9260,9290,9250,9280,9270,9310,9285.5,9273.167,9388.75,5936,18169.8,16600.65,18075.4,20079.04
2022-04-01,14:59:00,9250,9290,9220,9240,9282,9313,9282,9273.5,9391.083,10880,19088.8,16544.8,18488.03,20269.83
2022-04-01,14:58:00,9260,9260,9160,9250,9304,9321,9280.5,9275.333,9393.583,42222,19509.6,16305.4,18392.08,20432.33
2022-04-01,14:57:00,9320,9320,9260,9260,9326,9328,9279.5,9277,9395.417,19222,14775.6,15473.6,17758.3,20540.43
2022-04-01,14:56:00,9350,9350,9300,9320,9344,9331,9279.5,9278.667,9396.917,12589,15868.8,15008.05,17553.17,20878.66
2022-04-01,14:55:00,9350,9350,9330,9340,9350,9328,9275.5,9279.333,9398.5,10531,16833,15320.05,17433.07,21218.68
2022-04-01,14:54:00,9360,9360,9330,9350,9344,9319,9272,9280,9400.083,12984,16988.2,16104.3,17470.93,22160.19
2022-04-01,14:53:00,9340,9370,9320,9360,9338,9307,9269,9280.833,9401.667,18552,17393.4,17727.9,17433.93,23073.7
2022-04-01,14:52:00,9350,9370,9340,9350,9330,9290,9271,9280.667,9403.917,24688,15881.2,23438.25,17232.57,23161.43
2022-04-01,14:51:00,9310,9350,9310,9350,9318,9275,9260,9280.667,9406.25,17410,18534.2,22891.65,16987.23,23550.7
2022-04-01,14:50:00,9320,9320,9290,9310,9306,9261,9249.5,9280.5,9408.75,11307,20945,22809.6,17333.42,24434.09
2022-04-01,14:49:00,9310,9320,9280,9320,9294,9251,9241.5,9281.167,9412.083,15010,20687.6,22749.5,17431.4,25796.13
2022-04-01,14:48:00,9320,9330,9280,9320,9276,9240,9232.5,9281.667,9416.083,10991,20266.8,22428.8,17996.53,27696.78
2022-04-01,14:47:00,9290,9350,9280,9290,9250,9231,9223.5,9281.333,9419.667,37953,21453.6,24630.7,18445.82,28509.08
2022-04-01,14:46:00,9250,9310,9240,9290,9232,9228,9215.5,9282.167,9423.083,29464,15474.6,25944.6,18949.88,29911.67
2022-04-01,14:45:00,9230,9250,9220,9250,9216,9223,9210.5,9285,9427,10020,10454.8,25124.95,18540.17,31856.34
2022-04-01,14:44:00,9190,9230,9180,9230,9208,9225,9208.5,9288.667,9430.75,12906,9414.6,25601.05,18419.7,33657.61
