날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-01,15:35:00,1855,1855,1855,1855,1855,1852,1841.25,1835.75,1849.708,326977,967659.4,584813.7,498477.2,348370.1
2022-04-01,15:30:00,1855,1855,1855,1855,1855,1851,1839.75,1835.833,1849.833,2202854,1042939,592196.3,493861.7,346142.5
2022-04-01,15:19:00,1845,1860,1845,1860,1855,1850.5,1837.75,1835.833,1849.958,1120819,712258.2,496243,458674.7,328271.4
2022-04-01,15:18:00,1855,1855,1845,1850,1852,1848.5,1835.5,1835.833,1850.083,707086,538382.2,465187.2,442905.9,319625.9
2022-04-01,15:17:00,1855,1860,1850,1855,1851,1847.5,1834.25,1836.083,1850.25,480561,422013.2,438459.6,432706.6,314621.7
2022-04-01,15:16:00,1850,1860,1850,1855,1849,1845,1832.75,1836.333,1850.417,703373,409902.4,424129.7,427894.2,312203.4
2022-04-01,15:15:00,1845,1855,1845,1855,1847,1841.5,1831,1836.583,1850.625,549452,397276.6,396772.8,416942.4,307366.6
2022-04-01,15:14:00,1845,1850,1840,1845,1846,1838,1829.25,1836.75,1850.792,251439,390525.2,405091.8,409702.6,303175.1
2022-04-01,15:13:00,1845,1845,1840,1845,1845,1835.5,1828,1837,1851.083,125241,462799.8,418786.4,408266.1,302317.2
2022-04-01,15:12:00,1850,1850,1840,1845,1844,1833,1827,1837.167,1851.417,420007,679717.6,423873.2,408092.3,302297.1
2022-04-01,15:11:00,1845,1855,1845,1845,1841,1830.5,1826.25,1837.333,1851.708,640244,731593.6,409540.6,404995.9,299027
2022-04-01,15:10:00,1845,1850,1840,1850,1836,1828.5,1825.5,1837.5,1852,515695,643375.2,386004.9,406512.8,294103.9
2022-04-01,15:09:00,1840,1845,1835,1840,1830,1825,1824.5,1837.667,1852.292,612812,614175.6,378651.6,398353.5,290407.6
2022-04-01,15:08:00,1830,1845,1825,1840,1826,1822.5,1824,1838.083,1852.667,1209830,570309,366723.9,389159.7,287576.2
2022-04-01,15:07:00,1825,1830,1815,1830,1822,1821,1823.25,1838.5,1853,679387,351605,320666.8,373276.7,278046.1
2022-04-01,15:06:00,1820,1825,1815,1820,1820,1820.5,1823,1839,1853.417,199152,230099.4,325021.5,365471,272853.9
2022-04-01,15:05:00,1825,1825,1815,1820,1821,1820.5,1822.75,1839.667,1853.875,369697,285194.6,338164.8,365772.8,272784.9
2022-04-01,15:04:00,1820,1825,1815,1820,1820,1820.5,1822.5,1840.333,1854.333,393479,268012.8,335316.8,362010.6,272299.9
2022-04-01,15:03:00,1820,1825,1820,1820,1819,1820.5,1822.5,1841,1854.833,116310,289257.8,363628.8,360351.9,269754.4
2022-04-01,15:02:00,1820,1825,1820,1820,1820,1821,1822.5,1841.75,1855.292,71859,300502.6,381207.1,359514.6,269754.8
2022-04-01,15:01:00,1810,1825,1810,1825,1821,1822,1822.75,1842.583,1855.792,474628,324923.2,399836.6,359052.2,270577.3
2022-04-01,15:00:00,1810,1815,1810,1815,1820,1822.5,1822.5,1843.25,1856.292,283788,261244.6,471069,352282.6,267076.7
2022-04-01,14:59:00,1820,1825,1810,1815,1821,1824,1823,1844.083,1856.875,499704,347653.6,493727.1,348554,265040.1
2022-04-01,14:58:00,1820,1825,1820,1825,1822,1825.5,1823.75,1844.917,1857.417,172534,352779,502192.6,341676.1,261544.5
2022-04-01,14:57:00,1820,1825,1815,1825,1822,1825.5,1824.5,1845.667,1857.917,193962,363667.6,508893,341211.3,261069.3
2022-04-01,14:56:00,1820,1825,1815,1820,1823,1825.5,1825.5,1846.417,1858.417,156235,351546.2,505101.5,338564.2,260469.5
2022-04-01,14:55:00,1815,1825,1810,1820,1825,1825,1826.5,1847.333,1859.042,715833,354205.2,515988.2,336440,260072.5
2022-04-01,14:54:00,1825,1830,1815,1820,1827,1824.5,1827.5,1848.25,1859.625,525331,284764.4,494443.5,328398.5,255384.2
2022-04-01,14:53:00,1825,1830,1825,1825,1829,1824.5,1828.75,1849.083,1860.208,226977,254549.8,479740.1,320638.9,253552.7
2022-04-01,14:52:00,1825,1830,1825,1830,1829,1824,1830,1849.833,1860.75,133355,266891.8,488968.9,319749.8,253071.3
2022-04-01,14:51:00,1830,1835,1825,1830,1828,1823.5,1830.75,1850.583,1861.167,169530,393517.2,515806.1,318286.5,254414.3
2022-04-01,14:50:00,1830,1835,1825,1830,1825,1822.5,1831,1851.333,1861.542,368629,452014.6,534909.2,316427.2,253780.7
2022-04-01,14:49:00,1830,1835,1825,1830,1822,1822,1831.25,1852,1861.875,374258,440836.2,582524.6,311443.4,252102
2022-04-01,14:48:00,1820,1830,1820,1825,1820,1822,1831.75,1852.667,1862.25,288687,557928.4,618324.3,307003.7,249802
2022-04-01,14:47:00,1815,1830,1815,1825,1819,1823.5,1833,1853.333,1862.667,766482,593766.4,609856.1,303741.6,248566.9
2022-04-01,14:46:00,1815,1820,1815,1815,1819,1825.5,1834.5,1854.083,1863.083,462017,529359.6,589520.3,291838.7,244052.4
2022-04-01,14:45:00,1820,1825,1815,1815,1820,1828,1836.5,1854.917,1863.625,312737,816811.4,581824.4,288105.4,241458.2
2022-04-01,14:44:00,1820,1825,1810,1820,1822,1830.5,1838.25,1855.75,1864.125,959719,901654.2,588050.2,284182.7,239940
2022-04-01,14:43:00,1825,1825,1815,1820,1824,1833,1840,1856.417,1864.625,467877,843513.2,547999.6,271905.9,232785.2
