날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-01,15:35:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,1119,526.6,256.9,306.3167,751.2833
2022-04-01,15:30:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,413,426,201.25,287.9167,742.3917
2022-04-01,15:19:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,222,343.8,185.7,283.4167,740.2833
2022-04-01,15:18:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,480,454.4,178.9,280.15,738.55
2022-04-01,15:17:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,399,359.2,158.45,272.25,741.0583
2022-04-01,15:16:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,616,290,138.85,266.3167,738.05
2022-04-01,15:15:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,2,222.2,115.35,257.3,733.9833
2022-04-01,15:14:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,775,225.8,115.65,273.4333,734.3833
2022-04-01,15:13:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,4,103.4,77.55,261.2333,731.8417
2022-04-01,15:12:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,53,136.4,84.6,261.45,732.0833
2022-04-01,15:11:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,277,179.4,134.9,263.1667,732.075
2022-04-01,15:10:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,20,125,126.35,258.5667,731.825
2022-04-01,15:09:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,163,123.4,126.45,282.4167,733.2167
2022-04-01,15:08:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,169,93.2,122.8,284.2167,736.9667
2022-04-01,15:07:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,268,61.4,125.6,323.5333,736.425
2022-04-01,15:06:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,5,31.6,116.7,319.1333,736.4
2022-04-01,15:05:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,12,31.8,124,319.3833,741.5083
2022-04-01,15:04:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,12,49.8,125.95,321.35,741.5333
2022-04-01,15:02:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,10,64.6,126.55,326,742.6833
2022-04-01,15:01:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,119,76.8,126.1,326.9833,748.575
2022-04-01,15:00:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,6,54.4,121.65,332.6,747.975
2022-04-01,14:59:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,102,82.4,121.6,333.2167,751.0083
2022-04-01,14:58:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,86,63.6,116.6,336.9,752.4167
2022-04-01,14:57:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,71,49,138.4,344.7833,754.25
2022-04-01,14:56:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,7,63.8,135.95,354.4667,760.475
2022-04-01,14:55:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,146,274.2,143.5,366.6,764.7583
2022-04-01,14:54:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,8,266.2,163.05,374.6,765.2167
2022-04-01,14:53:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,13,269,164.6,379.7333,765.7583
2022-04-01,14:52:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,145,284.4,465.15,386.45,769.6167
2022-04-01,14:51:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,1059,300.4,462.4,391.3833,768.675
2022-04-01,14:49:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,106,106.6,470.15,381.3833,761.5167
2022-04-01,14:47:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,22,115.6,469.95,382.0333,809.3917
2022-04-01,14:46:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,90,121.4,472.55,381.7833,1002.058
2022-04-01,14:45:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,225,108.2,468.55,389.4167,1057.683
2022-04-01,14:44:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,90,63.4,458.55,386.05,1186.192
2022-04-01,14:43:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,151,51.4,464.25,385.25,1215.833
2022-04-01,14:42:00,18750,18750,18750,18750,18750,18750,18750,18750,18750,51,22.2,502.05,427.35,1292.108
2022-04-01,14:41:00,18750,18750,18750,18750,18750,18750,18750,18750,18749.17,24,12.4,517,1011.983,1305.625
2022-04-01,14:40:00,18750,18750,18750,18750,18750,18750,18750,18750,18747.92,1,112,516.9,1021.067,1377.525
2022-04-01,14:39:00,18750,18750,18750,18750,18750,18750,18750,18750,18746.25,30,116.2,521.5,1025.383,1427.042
2022-04-01,14:37:00,18750,18750,18750,18750,18750,18750,18750,18750,18744.58,5,141.8,540.4,1122.85,1436.425
2022-04-01,14:36:00,18750,18750,18750,18750,18750,18750,18750,18750,18743.33,2,248.2,540.9,1291,1462.633
2022-04-01,14:35:00,18750,18750,18750,18750,18750,18750,18750,18750,18742.08,522,255.6,547.95,1292.75,1490.617
2022-04-01,14:34:00,18750,18750,18750,18750,18750,18750,18750,18750,18741.25,22,1356,523.15,1287.567,1510.175
2022-04-01,14:32:00,18750,18750,18750,18750,18750,18750,18750,18750,18740.42,158,1369.6,522.35,1312.533,1553.892
2022-04-01,14:31:00,18750,18750,18750,18750,18750,18750,18750,18750,18740,537,1580.8,516.6,1317.517,1562.592
2022-04-01,14:30:00,18750,18750,18750,18750,18750,18750,18750,18750,18739.58,39,1493.8,493.5,1325.55,1572.05
2022-04-01,14:29:00,18750,18750,18750,18750,18750,18750,18750,18750,18739.17,6024,1500.8,540.05,1330.15,1583.917
2022-04-01,14:28:00,18750,18750,18750,18750,18750,18750,18750,18750,18738.33,90,298,241,1232.467,1569.425
2022-04-01,14:27:00,18750,18750,18750,18750,18750,18750,18750,18750,18737.92,1214,285,237.35,1231.217,1665.833
2022-04-01,14:26:00,18750,18750,18750,18750,18750,18750,18750,18750,18737.5,102,83,184.45,1212.717,1697.65
2022-04-01,14:25:00,18750,18750,18750,18750,18750,18750,18750,18750,18737.08,74,244,179.4,1211.05,1722.3
2022-04-01,14:24:00,18750,18750,18750,18750,18750,18750,18750,18750,18736.25,10,299.2,248.25,1211.167,1742.175
2022-04-01,14:22:00,18750,18750,18750,18750,18750,18750,18750,18750,18735.42,25,301.6,261.3,1211.867,1765.008
2022-04-01,14:20:00,18750,18750,18750,18750,18750,18750,18750,18750,18734.58,204,315.2,386.45,1211.983,1786.55
2022-04-01,14:19:00,18750,18750,18750,18750,18750,18750,18750,18750,18733.75,907,356,376.45,1210.25,1813.542
2022-04-01,14:18:00,18750,18750,18750,18750,18750,18750,18750,18750,18733.33,350,177.6,332.1,1195.683,1833.05
2022-04-01,14:17:00,18750,18750,18750,18750,18750,18750,18750,18750,18732.5,22,136.2,321.1,1198.933,1866.675
2022-04-01,14:16:00,18750,18750,18750,18750,18750,18750,18750,18750,18731.25,93,137,334.55,1200.383,1921.267
2022-04-01,14:15:00,18750,18750,18750,18750,18750,18750,18750,18750,18730.83,408,119.6,333.35,1200.933,1974.425
2022-04-01,14:14:00,18750,18750,18750,18750,18750,18750,18750,18750,18730,15,46.6,335.75,1196.25,2000.492
2022-04-01,14:13:00,18750,18750,18750,18750,18750,18750,18750,18750,18729.58,143,58.6,337.15,1196.867,2040.575
2022-04-01,14:12:00,18750,18750,18750,18750,18750,18750,18750,18750,18729.58,26,224,346.15,1197.15,2063.525
2022-04-01,14:09:00,18750,18750,18750,18750,18750,18750,18750,18750,18729.17,6,227.4,372.8,1196.95,2092.3
2022-04-01,14:08:00,18750,18750,18750,18750,18750,18750,18750,18750,18729.17,43,229.6,405.1,1209.867,2122.308
2022-04-01,14:07:00,18750,18750,18750,18750,18750,18750,18750,18750,18728.75,75,252.2,439.7,1209.783,2138.625
2022-04-01,14:06:00,18750,18750,18750,18750,18750,18750,18750,18750,18728.33,970,237.4,467.25,1210.667,2167.292
2022-04-01,14:05:00,18750,18750,18750,18750,18750,18750,18750,18750,18728.33,43,333.6,434.55,1195.333,2328.592
2022-04-01,14:03:00,18750,18750,18750,18750,18750,18750,18750,18750,18728.33,17,379.2,453.2,1202.45,2440.442
2022-04-01,14:02:00,18750,18750,18750,18750,18750,18750,18750,18750,18727.5,156,881.4,474.4,1202.717,2468.708
2022-04-01,14:01:00,18750,18750,18750,18750,18750,18750,18750,18750,18726.25,1,851,489.55,1200.983,2553.717
2022-04-01,14:00:00,18750,18750,18750,18750,18750,18750,18750,18750,18725,1451,854.8,496.75,1205.083,2572.8
2022-04-01,13:59:00,18750,18750,18750,18750,18750,18750,18750,18750,18724.17,271,590.6,424.55,1184.017,2653.825
2022-04-01,13:58:00,18750,18750,18750,18750,18750,18750,18750,18750,18722.92,2528,594.6,438.4,1189.717,2712.608
2022-04-01,13:57:00,18750,18750,18750,18750,18750,18750,18750,18750,18721.67,4,102.8,313.15,1149.317,2846.033
2022-04-01,13:56:00,18750,18750,18750,18750,18750,18750,18750,18750,18720.42,20,193.2,315.05,1153.667,3399.75
2022-04-01,13:55:00,18750,18750,18750,18750,18750,18750,18750,18750,18720.42,130,197.8,447.9,1163.633,3466.575
2022-04-01,13:53:00,18750,18750,18750,18750,18750,18750,18750,18750,18720,291,236.4,2197.85,1161.717,3518.883
2022-04-01,13:52:00,18750,18750,18750,18750,18750,18750,18750,18750,18720,69,290,2211.75,1159.367,3593.833
2022-04-01,13:51:00,18750,18750,18750,18750,18750,18750,18750,18750,18719.58,456,406.6,2221.3,1170.167,3671.592
2022-04-01,13:50:00,18750,18750,18750,18750,18750,18750,18750,18750,18718.33,43,462.4,2492.4,1163.35,3734.525
2022-04-01,13:49:00,18750,18750,18750,18750,18750,18750,18750,18750,18718.33,323,579,2994.95,1168.8,3940.567
2022-04-01,13:48:00,18750,18750,18750,18750,18750,18750,18750,18750,18717.5,559,577.6,2984.15,1167.933,4005.3
2022-04-01,13:47:00,18750,18750,18750,18750,18750,18750,18750,18750,18716.67,652,549,2966.75,1163.717,4049.592
2022-04-01,13:46:00,18750,18750,18750,18750,18750,18750,18750,18750,18715.42,735,506.8,3010.15,1166.483,4154.625
2022-04-01,13:45:00,18750,18750,18750,18750,18750,18750,18750,18750,18715,626,451.6,2996.25,1162.917,4444.983
2022-04-01,13:44:00,18750,18750,18750,18750,18750,18750,18750,18750,18713.33,316,355.4,3015.9,1155.833,4813.808
2022-04-01,13:43:00,18750,18750,18750,18750,18750,18750,18750,18750,18710.42,416,293.6,3015.85,1151.783,5048.575
2022-04-01,13:42:00,18750,18750,18750,18750,18750,18750,18750,18750,18707.5,441,320,3003.2,1152.783,5334.192
