날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-01,15:35:00,25700,25700,25700,25700,25550,25435,25577.5,25285.83,25373.33,11710,30598.8,23141.7,22727.9,17822.36
2022-04-01,15:30:00,25700,25700,25700,25700,25500,25405,25580,25265.83,25372.08,80387,30743.6,22958.25,23198.25,18339.49
2022-04-01,15:19:00,25450,25500,25250,25450,25470,25430,25580,25245.83,25370.42,28353,16900.8,20896.15,22616.47,18311.2
2022-04-01,15:18:00,25450,25550,25300,25400,25430,25465,25602.5,25243.33,25365,20577,14155.8,19916.65,22259.6,18107.18
2022-04-01,15:17:00,25450,25600,25400,25500,25420,25490,25625,25240,25359.58,11967,16605.2,19865.2,22191.8,18035.2
2022-04-01,15:16:00,25500,25550,25350,25450,25320,25495,25650,25239.17,25353.33,12434,29410,20401.05,22024.18,18149.3
2022-04-01,15:15:00,25250,25550,25150,25550,25310,25525,25675,25239.17,25348.75,11173,32606.2,22316.9,21901.9,18189.03
2022-04-01,15:14:00,25400,25450,25250,25250,25390,25555,25705,25240,25343.75,14628,35453.4,22573.45,21747.32,18150.71
2022-04-01,15:13:00,25050,25500,24950,25350,25500,25610,25752.5,25245.83,25342.08,32824,35016.2,22530.95,21580.43,18052.44
2022-04-01,15:12:00,25400,25500,24600,25000,25560,25665,25792.5,25248.33,25338.75,75991,29287.8,21614.1,21083.38,17827.24
2022-04-01,15:11:00,25950,26000,25400,25400,25670,25720,25852.5,25256.67,25338.33,28415,17644.2,19155.05,19876.9,17260.28
2022-04-01,15:10:00,25800,26050,25800,25950,25740,25755,25897.5,25258.33,25335.83,25409,13269.4,19252.2,19483.48,17120.51
2022-04-01,15:09:00,25600,25850,25600,25800,25720,25730,25905,25250,25330.42,12442,8901.8,19648.4,19134.17,17121.86
2022-04-01,15:08:00,25550,25650,25550,25650,25720,25740,25927.5,25243.33,25323.75,4182,8979.2,22188.45,18990.12,17104.9
2022-04-01,15:07:00,25700,25800,25400,25550,25770,25760,25955,25240,25319.17,17773,16472.4,30856.45,19019.25,17119.83
2022-04-01,15:06:00,25850,25850,25700,25750,25770,25805,25945,25239.17,25315,6541,14913.8,33220.45,18776.27,17001.77
2022-04-01,15:05:00,25750,25850,25700,25850,25770,25825,25912.5,25236.67,25308.33,3571,15213.8,34810.2,18834.93,17100.23
2022-04-01,15:04:00,25900,25900,25750,25800,25740,25855,25867.5,25233.33,25301.67,12829,22328.6,35139.7,18851.95,17208.03
2022-04-01,15:03:00,25550,25950,25350,25900,25760,25895,25815,25230.83,25295.83,41648,21515.4,34678.3,18790.1,17162.32
2022-04-01,15:02:00,25700,25750,25550,25550,25750,25920,25750,25222.5,25287.92,9980,17095.4,32657.2,18363.7,17067.66
2022-04-01,15:01:00,25700,25800,25700,25750,25840,25985,25705,25221.67,25285.42,8041,19636.2,32309.3,18299.42,17059.73
2022-04-01,15:00:00,25850,25900,25500,25700,25880,26040,25652.5,25216.67,25281.67,39145,28178.2,32084.05,18819.05,17183.98
2022-04-01,14:59:00,25850,25900,25800,25900,25970,26080,25602.5,25215.83,25277.5,8763,23610,30343.7,18372.52,17487.69
2022-04-01,14:58:00,26000,26050,25700,25850,26030,26115,25540,25214.17,25271.25,19548,24613,30123.85,18389.37,17890.65
2022-04-01,14:57:00,25900,26050,25800,26000,26090,26150,25485,25213.33,25265.42,22684,23600.8,29413.95,18203.42,18040.43
2022-04-01,14:56:00,26150,26200,25650,25950,26130,26085,25425,25210,25259.58,50751,24426,29191.3,17925.85,18559.59
2022-04-01,14:55:00,26150,26200,26050,26150,26200,26000,25365,25205,25253.75,16304,20347.4,27391.4,17173.85,18435.97
2022-04-01,14:54:00,26200,26250,26150,26200,26190,25880,25287.5,25197.5,25245.42,13778,23753.2,26637.1,17220.15,19475.15
2022-04-01,14:53:00,26200,26300,26100,26150,26200,25735,25207.5,25190.83,25230.42,14487,33646.2,26056.3,18181.23,19422.04
2022-04-01,14:52:00,26300,26300,26000,26200,26210,25580,25125,25184.17,25215,26810,66257.2,25668.9,18207.03,19478.87
2022-04-01,14:51:00,26100,26350,26100,26300,26040,25425,25042.5,25176.67,25199.17,30358,73905.8,24585.95,17959.87,19454.97
2022-04-01,14:50:00,26250,26250,26050,26100,25800,25265,24960,25165.83,25179.58,33333,75501.4,23822.3,17689.12,19295.74
2022-04-01,14:49:00,26200,26350,26100,26250,25570,25125,24880,25159.17,25160.42,63243,70867,22978.6,17462.02,19064.03
2022-04-01,14:48:00,25300,26450,25300,26200,25270,24965,24787.5,25150,25141.25,177542,58938.6,20201.75,16818.17,18585.31
