날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-01,15:35:00,3390,3390,3390,3390,3389,3394,3397,3416.75,3435.25,32865,62603.4,33053.95,27852.82,23432
2022-04-01,15:30:00,3390,3390,3390,3390,3392,3394.5,3397.75,3418.083,3436.042,156948,61699.8,32456.45,27435.1,23699.53
2022-04-01,15:19:00,3385,3400,3380,3395,3394,3395.5,3399,3419.417,3436.833,59676,36282.6,25410.1,25395.07,22800.15
2022-04-01,15:18:00,3390,3395,3380,3380,3393,3395,3399.75,3420.583,3437.625,40643,32783.8,25484.8,24455.3,22958.07
2022-04-01,15:17:00,3405,3405,3390,3390,3397,3396.5,3400.5,3421.917,3438.458,22885,28622.2,24240.8,23820.62,23039.96
2022-04-01,15:16:00,3400,3405,3395,3405,3399,3396,3400.75,3423.083,3439.125,28347,25761.2,24032.65,23774.07,22914.72
2022-04-01,15:15:00,3385,3400,3385,3400,3397,3395,3399.75,3424,3439.667,29862,23223.6,23983.9,24057.97,22744.63
2022-04-01,15:14:00,3400,3400,3385,3390,3397,3396,3399.75,3425.167,3440.25,42182,21105.2,23202.4,23906.68,22762.78
2022-04-01,15:13:00,3400,3405,3395,3400,3397,3398.5,3400.25,3426.5,3441,19835,17308.6,21400.7,23537.9,22633.33
2022-04-01,15:12:00,3400,3400,3395,3400,3396,3399.5,3400.25,3427.583,3441.625,8580,20720.2,21488.9,23855.17,23064.29
2022-04-01,15:11:00,3400,3400,3395,3395,3393,3400,3400,3428.75,3442.208,15659,25555,24146.7,24292.73,23117.97
2022-04-01,15:10:00,3395,3400,3390,3400,3393,3401,3400,3430,3442.833,19270,28734.4,27102.95,25136.98,23079.58
2022-04-01,15:09:00,3395,3400,3390,3390,3395,3402.5,3400.5,3430.667,3443.417,23199,30633,26855.25,24948.08,23046.46
2022-04-01,15:08:00,3390,3395,3385,3395,3400,3404.5,3402,3431.667,3444.042,36893,28379.6,26049.45,24983.47,23039.98
2022-04-01,15:07:00,3395,3400,3385,3385,3403,3404.5,3403.75,3432.417,3444.708,32754,22792.6,25142.45,24466.98,22882.86
