날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-04,15:35:00,1370,1370,1370,1370,1375,1377.5,1373.75,1378.333,1403.667,66294,184400.2,94705.55,122255,204371.4
2022-04-04,15:30:00,1370,1370,1370,1370,1378,1378,1373.75,1379.083,1404.167,467221,192625.8,92620.45,123080.9,211492
2022-04-04,15:19:00,1380,1385,1365,1380,1380,1378,1374,1379.833,1404.5,211404,132419.4,71492.05,116496.9,213854.6
2022-04-04,15:18:00,1375,1380,1370,1380,1380,1377,1374,1380.417,1404.708,61918,95875,65336,113534.4,219131
2022-04-04,15:17:00,1380,1380,1370,1375,1380,1376,1374,1381,1405.083,115164,89519.8,67801.8,113245.7,221373.3
2022-04-04,15:16:00,1385,1385,1380,1385,1380,1375.5,1373.5,1381.583,1405.583,107422,72643.2,69486.35,113031.2,226351.1
2022-04-04,15:15:00,1375,1385,1375,1380,1378,1374,1372.5,1382.167,1406,166189,78973.2,67365.85,111941.7,232325.2
2022-04-04,15:14:00,1380,1380,1375,1380,1376,1373,1372,1382.75,1406.542,28682,48888,64879.35,110059.1,242928.2
2022-04-04,15:13:00,1375,1380,1375,1380,1374,1371.5,1371,1383.333,1407.083,30142,50486.8,69787.55,110515.1,253051.6
2022-04-04,15:12:00,1375,1375,1370,1375,1372,1370.5,1370.5,1383.917,1407.542,30781,66272.2,70487.45,110625.6,266722.1
2022-04-04,15:11:00,1370,1380,1365,1375,1371,1370,1370.25,1384.667,1408.042,139072,66247.6,71005.4,111576.3,293438.4
2022-04-04,15:10:00,1370,1370,1365,1370,1370,1369.5,1370.25,1385.417,1408.5,15763,69640.2,69144.1,113234.8,322441.8
2022-04-04,15:09:00,1370,1370,1365,1370,1370,1370,1370.75,1386.167,1408.167,36676,74074.2,70809.85,117785.9,330612.2
2022-04-04,15:08:00,1370,1370,1360,1370,1369,1371,1371,1386.833,1407.667,109069,77217.6,71386.7,118962.9,335914.8
2022-04-04,15:07:00,1370,1370,1365,1370,1369,1372,1371,1387.5,1407,30658,58381,68385.8,119924.7,336114.4
2022-04-04,15:06:00,1370,1375,1365,1370,1369,1371.5,1371,1388.167,1406.333,156035,55531.2,67962.15,122938.7,337093.3
2022-04-04,15:05:00,1360,1370,1360,1370,1369,1371,1371.25,1389.083,1405.75,37933,29242.6,67482.8,122347.7,339914.3
2022-04-04,15:04:00,1370,1370,1365,1365,1370,1371,1371.25,1390.083,1405.042,52393,30586.6,70957.8,124439.7,340583.4
2022-04-04,15:03:00,1370,1370,1365,1370,1373,1370.5,1371.75,1391.167,1404.333,14886,37764.6,70956.75,126964.4,340346
2022-04-04,15:02:00,1370,1370,1365,1370,1375,1370.5,1372.25,1392.167,1403.542,16409,57034.2,72501.8,128897.5,340600.6
2022-04-04,15:01:00,1375,1375,1365,1370,1374,1370.5,1373,1393.083,1402.792,24592,83523.4,73420.7,130967.9,341345.7
2022-04-04,15:00:00,1380,1380,1370,1375,1373,1371,1373.5,1394.083,1401.958,44653,91607.4,77876.55,135464.6,341149.4
2022-04-04,14:59:00,1380,1380,1370,1380,1372,1371.5,1373.5,1394.75,1401.083,88283,105968.6,77051.4,136347,340801.9
2022-04-04,14:58:00,1365,1380,1365,1380,1368,1371,1373.5,1395.25,1400.167,111234,113681.2,76587.75,137450.6,340066.3
2022-04-04,14:57:00,1365,1370,1355,1365,1366,1370,1373.5,1395.833,1399.25,148855,100262.4,72492,136787,339158.1
2022-04-04,14:56:00,1370,1370,1360,1365,1367,1370.5,1374.25,1396.75,1398.458,65012,78719.4,74871.75,143038.5,337979.2
2022-04-04,14:55:00,1360,1370,1360,1370,1369,1371.5,1374.75,1397.417,1397.625,116459,86086.2,75283.65,146898,337490.3
2022-04-04,14:54:00,1375,1375,1360,1360,1371,1371.5,1375,1398.25,1396.75,126846,72610,75851.45,147064.3,336542.9
2022-04-04,14:53:00,1370,1375,1370,1370,1374,1373,1376.5,1399.417,1396,44140,56883.4,74977.85,147100,335879.5
2022-04-04,14:52:00,1370,1375,1370,1370,1374,1374,1377,1400.167,1395.167,41140,57865.6,74122.65,152367.9,335534.6
2022-04-04,14:51:00,1380,1385,1370,1375,1374,1375.5,1378,1401.167,1394.375,101846,54074.6,75966.7,154688.2,335202.1
2022-04-04,14:50:00,1375,1380,1365,1380,1374,1376,1378.5,1402.083,1393.542,49078,62995,82935.35,155021.3,334403.9
2022-04-04,14:49:00,1370,1375,1370,1375,1372,1375.5,1378.5,1403,1392.583,48213,74666,85625.4,156609.7,334260.9
2022-04-04,14:48:00,1370,1380,1365,1370,1372,1376,1378.75,1403.917,1391.75,49051,75497.8,93666.5,159582,333919.5
2022-04-04,14:47:00,1375,1375,1365,1370,1374,1377,1379,1405,1390.958,22185,74845,104877.1,161310,333717.8
2022-04-04,14:46:00,1365,1375,1360,1375,1377,1378,1380,1406.167,1390.083,146448,77365.4,129395.6,164837.7,333591.4
2022-04-04,14:45:00,1380,1380,1365,1370,1378,1378,1379.75,1407.083,1389.167,107433,70817.6,189427.5,172465,332422.4
2022-04-04,14:44:00,1380,1380,1370,1375,1379,1378.5,1382.25,1408.167,1388.292,52372,54961,189045.5,175785.6,331662.7
2022-04-04,14:43:00,1380,1385,1375,1380,1380,1380,1384.5,1409.333,1387.375,45787,60288.6,193787.7,180473.9,331281.7
2022-04-04,14:42:00,1385,1385,1375,1385,1380,1380,1386.5,1410.5,1386.417,34787,56995,195965.1,182523.9,331231.8
2022-04-04,14:41:00,1380,1385,1375,1380,1379,1380.5,1388.25,1411.75,1385.458,113709,89327.6,198638.8,185843.6,331050.5
