날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-04,15:35:00,563,563,563,563,570,574.2,573.6,572.0333,574.2583,167711,273493.8,132485.3,95826.45,76284.63
2022-04-04,15:30:00,563,563,563,563,573.2,575.2,574.15,572.2333,574.4,652532,272815.8,129871.1,93699.8,75033.59
2022-04-04,15:19:00,574,576,570,575,576.6,576.3,574.55,572.4,574.5417,204967,170285,98670,82994.77,70002.58
2022-04-04,15:18:00,573,578,570,574,577.4,575.9,574.3,572.3833,574.5833,171573,154319.6,90636,79652.22,68454.92
2022-04-04,15:17:00,579,579,571,575,578.2,575.7,574.1,572.3667,574.625,170686,160518.8,83006.95,77289.78,67640.79
2022-04-04,15:16:00,581,581,578,579,578.4,575.3,573.85,572.35,574.6667,164321,138848.6,76378.25,75070.87,67219.3
2022-04-04,15:15:00,579,580,579,580,577.2,574.5,573.45,572.2833,574.6917,139878,116259.4,70537.85,73015.18,66227.18
2022-04-04,15:14:00,577,579,577,579,576,573.8,573,572.1667,574.7083,125140,103979.6,64742.2,71140.12,65613.08
2022-04-04,15:13:00,576,578,575,578,574.4,573.3,572.6,572.1,574.7417,202569,87222,61568.8,70066.78,65100.23
2022-04-04,15:12:00,574,576,574,576,573.2,573,572.25,572.05,574.7667,62335,54432.8,53926.95,67804.93,64180.18
2022-04-04,15:11:00,574,575,573,573,572.2,573,572,572.0167,574.8,51375,55492.2,53093.55,67566.77,64543.87
2022-04-04,15:10:00,571,574,571,574,571.8,573.1,571.9,572,574.8833,78479,61790.6,51078.3,66990.73,64587.72
2022-04-04,15:09:00,571,572,570,571,571.6,572.8,571.7,571.95,574.95,41352,51766.2,47958.9,68586.97,64580.06
2022-04-04,15:08:00,571,573,570,572,572.2,572.7,571.6,572,575.0333,38623,49133.2,47844.45,68680.42,64487.23
2022-04-04,15:07:00,571,571,570,571,572.8,572.5,571.5,572.0333,575.1,67632,55695.4,47889.95,69140.83,64372.8
2022-04-04,15:06:00,573,575,571,571,573.8,572.4,571.55,572.05,575.1667,82867,62106.6,47820.85,69813.45,64390.28
2022-04-04,15:05:00,574,575,573,573,574.4,572.4,571.55,572.0333,575.25,28357,68618.4,45933.1,73373.52,64690.83
2022-04-04,15:04:00,575,576,574,574,574,572.2,571.55,572.0333,575.3333,28187,68649.2,46314.9,74382.3,65694.12
2022-04-04,15:03:00,575,576,573,575,573.2,571.9,571.5,572.0333,575.4,71434,71869.2,46705.05,75626.22,68899.61
2022-04-04,15:02:00,574,576,573,576,572.2,571.5,571.3,572.05,575.4333,99688,61380.8,45695.65,74997.05,68691.53
2022-04-04,15:01:00,571,575,571,574,571,571,571.1,572.0833,575.4583,115426,49065.6,46154.4,73552.38,68471.67
2022-04-04,15:00:00,569,571,568,571,570.4,570.7,571,572.1333,575.5,28511,35483,43750.6,71931.55,67714.23
2022-04-04,14:59:00,570,571,570,570,570.4,570.6,571.15,572.2333,575.5667,44287,34573.8,50981.2,72795.63,67910.71
2022-04-04,14:58:00,570,571,570,570,570.6,570.5,571.4,572.3833,575.6333,18992,38050.8,61203.2,72410.12,67635.6
2022-04-04,14:57:00,571,572,569,570,570.8,570.5,571.6,572.5167,575.6917,38112,44198.8,67602.15,72716.73,67819.13
2022-04-04,14:56:00,571,572,570,571,571,570.7,571.7,572.6833,575.7417,47513,45709.8,75545.75,72284.63,67563.56
2022-04-04,14:55:00,571,573,569,571,571,570.7,571.5,572.8,575.775,23965,38421.2,80130.65,72325.92,67478.53
2022-04-04,14:54:00,572,573,569,571,570.8,570.9,571.35,572.9333,575.8083,61672,36846.4,83472.7,73296.92,68184.33
2022-04-04,14:53:00,571,572,569,571,570.4,571.1,571.3,573.0667,575.8667,49732,32324.6,82335.8,72957.35,67990.98
2022-04-04,14:52:00,570,571,569,571,570.2,571.1,571.25,573.2167,575.9333,45667,30284.8,85368.35,73105.6,68314.34
2022-04-04,14:51:00,570,571,570,571,570.4,571.2,571.1,573.35,576,11070,34401.4,87353.75,72939.25,68641.08
2022-04-04,14:50:00,569,571,568,570,570.4,571.3,570.7,573.5,576.0667,16091,41209.8,93815.15,73287.2,69234.19
2022-04-04,14:49:00,569,570,568,569,571,571.7,570.5,573.6667,576.1333,39063,45190.2,111539,73261.85,69297.03
2022-04-04,14:48:00,571,572,569,570,571.8,572.3,570.5,573.8667,576.2083,39533,44575.6,113122,73354.75,69131.46
2022-04-04,14:47:00,571,573,570,572,572,572.7,570.6,574.05,576.2667,66250,46918.2,115309,74135.22,69223.68
2022-04-04,14:46:00,573,573,570,571,572,572.7,570.55,574.1833,576.3,45112,55440.8,115383.1,74395.07,68946.56
2022-04-04,14:45:00,573,574,572,573,572.2,572.3,570.7,574.3333,576.35,35993,59888.4,113930.3,73743.12,68970.4
2022-04-04,14:44:00,571,573,571,573,572.4,571.8,570.7,574.45,576.3833,35990,87314.4,113810.3,73589.62,69117.24
2022-04-04,14:43:00,572,573,570,571,572.8,571.5,570.9,574.5667,576.4,51246,129861.8,114231.5,73850.95,69363.11
2022-04-04,14:42:00,572,575,571,572,573.4,571.4,571.2,574.7167,576.425,108863,149006.8,112312.7,74061,69095.44
2022-04-04,14:41:00,572,575,571,572,573.4,571,571.4,574.8167,576.4333,67350,166631,108839.7,73365.13,68565.28
2022-04-04,14:40:00,574,576,570,574,572.4,570.1,571.55,574.9,576.4417,173123,181003.2,107477.8,73420.05,68155.52
2022-04-04,14:39:00,573,577,572,575,571.2,569.3,571.5,574.9333,576.4333,248727,164539.8,99333.1,71621.5,66842.21
2022-04-04,14:38:00,571,575,571,574,570.2,568.7,571.45,574.9167,576.4167,146971,122581.2,87117.45,68052,64864.28
2022-04-04,14:37:00,565,574,565,572,569.4,568.5,571.4,574.9,576.4167,196984,115263.6,81260.25,66258.03,64030.64
2022-04-04,14:36:00,568,568,564,567,568.6,568.4,571.5,574.9333,576.425,139211,92941.8,73288.6,63175.43,63227.28
2022-04-04,14:35:00,570,570,567,568,567.8,569.1,571.9,575.0667,576.4833,90806,93159.2,68377.05,61801.42,62351.88
2022-04-04,14:34:00,570,571,568,570,567.4,569.6,572.15,575.1333,576.5333,38934,149111.4,65205.45,62210.83,61742.27
2022-04-04,14:33:00,568,570,566,570,567.2,570.3,572.4,575.1667,576.5667,110383,155469.4,66295.75,65030.4,61855.43
2022-04-04,14:32:00,563,568,563,568,567.6,571,572.65,575.25,576.6083,85375,150047.4,64119.5,64263.92,61149.58
2022-04-04,14:31:00,566,568,563,563,568.2,571.8,572.95,575.3833,576.6667,140298,146518.6,62253,63213.45,60987.05
2022-04-04,14:30:00,569,569,561,566,570.4,573,573.4,575.6,576.7583,370567,121670.4,56078.75,62333.37,60476.93
2022-04-04,14:29:00,571,573,569,569,571.8,573.7,573.65,575.7833,576.825,70724,54275.4,46263.05,56799.13,58328.1
2022-04-04,14:28:00,571,572,570,572,573.4,574.2,573.9,575.9,576.8833,83273,49013.4,45074.8,57269.73,58116.71
2022-04-04,14:27:00,573,574,571,571,574.4,574.3,574,576,576.9083,67731,34933,44223.55,56748.87,58195.9
2022-04-04,14:26:00,573,575,573,574,575.4,574.6,574.05,576.1167,576.9417,16057,29267.2,46236.45,56773.98,58725
