날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-04,15:35:00,2975,2975,2975,2975,3003,3017.5,2925.5,2677.917,2631.458,2340,118824,140258,48131.87,26006.23
2022-04-04,15:32:00,2975,2975,2975,2975,3008,3023,2906.5,2670.833,2628.792,78591,134338.2,140635,48265.4,25987.98
2022-04-04,15:19:00,3005,3190,3000,3160,3011,3030,2885.75,2663.5,2626,323965,147580.8,136852.6,47070.3,25335.75
2022-04-04,15:18:00,2905,3005,2855,3005,2983,3018,2855.75,2653,2621.625,112810,109184.2,120656.5,41671.05,22667.74
2022-04-04,15:17:00,3000,3000,2865,2900,2994,3012,2833.5,2645,2618.583,76414,114164.2,115075.6,39791.33,21782.6
2022-04-04,15:16:00,2990,3020,2955,3000,3032,3014.5,2816,2638.833,2616.5,79911,148715.6,111256.8,38520.82,21161.33
2022-04-04,15:15:00,3020,3070,2955,2990,3038,2999.5,2793.25,2630.833,2613.667,144804,174726.6,107291.7,37247.02,20497.83
2022-04-04,15:14:00,3055,3080,2980,3020,3049,2968,2771.25,2623,2610.917,131982,204420.4,100095,34852.78,19299.58
2022-04-04,15:13:00,3090,3100,3020,3060,3053,2927,2748,2614.833,2607.833,137710,239749.6,93521.2,32658.47,18218.89
2022-04-04,15:12:00,3020,3130,2965,3090,3030,2882.5,2722.75,2605.833,2604.417,249171,230428.4,86677.35,30459.8,17083.24
2022-04-04,15:11:00,3040,3090,2955,3030,2997,2833.5,2696.25,2596.583,2600.75,209966,241708,74383.35,26328.05,15031.54
2022-04-04,15:10:00,3075,3140,2955,3045,2961,2790,2672.25,2588.333,2597.625,293273,241815.6,63917.6,22834.48,13305.18
2022-04-04,15:09:00,2925,3110,2920,3040,2887,2741.5,2647.5,2579.833,2594.542,308628,189205,49270.65,17980.98,10863.29
2022-04-04,15:07:00,2925,2945,2895,2945,2801,2693.5,2623,2571.417,2591.542,91104,128963.2,33855.35,12838.03,8291.917
2022-04-04,15:06:00,2850,2930,2705,2925,2735,2655,2603.25,2564.583,2589.333,305569,111537.4,29340.45,11389.65,7541.55
2022-04-04,15:05:00,2675,2855,2665,2850,2670,2617.5,2583.75,2558,2587.125,210504,51784.4,14466.8,6301.717,4996.625
2022-04-04,15:04:00,2610,2690,2610,2675,2619,2587,2567.75,2552.667,2585.5,30220,11659.4,4086.95,2950.183,3258.608
2022-04-04,15:03:00,2600,2620,2565,2610,2596,2574.5,2560.75,2550.333,2585.333,7419,6204,2881.65,2490.5,3043.533
2022-04-04,15:02:00,2605,2615,2585,2615,2586,2569,2557.5,2549.167,2585.708,3975,4728.8,2641.6,2376.033,2991.075
2022-04-04,15:01:00,2595,2625,2595,2600,2575,2563,2554.5,2547.833,2586.083,6804,4172.4,2465.4,2311.083,2974.217
2022-04-04,15:00:00,2560,2595,2560,2595,2565,2559,2552.25,2546.75,2586.583,9879,2819.2,2183.15,2209.633,2929.35
2022-04-04,14:59:00,2560,2560,2555,2560,2555,2554.5,2550.5,2545.833,2587.125,2943,965,1704.95,2070.783,2864.425
2022-04-04,14:58:00,2560,2560,2560,2560,2553,2553.5,2550.25,2545.333,2588,43,550.6,1571.55,2174.533,2853.5
2022-04-04,14:57:00,2545,2560,2545,2560,2552,2552.5,2550.25,2545,2588.958,1193,643.2,1569.5,2344.833,2859.442
2022-04-04,14:56:00,2550,2550,2550,2550,2551,2551.5,2550.25,2544.583,2590,38,571.2,1548.3,2364,2853.075
2022-04-04,14:55:00,2550,2550,2545,2545,2553,2550,2550.5,2544.5,2591,608,1221.8,1568.35,2416.567,2867.525
2022-04-04,14:54:00,2550,2550,2550,2550,2554,2548.5,2551,2544.417,2592.042,871,1230.4,1569.35,2576.867,2867.992
2022-04-04,14:53:00,2555,2555,2555,2555,2554,2547,2551.5,2544.417,2593.083,506,1123,1581.6,2796.15,2867.467
2022-04-04,14:52:00,2555,2555,2555,2555,2553,2546,2551.75,2544.083,2594.083,833,1086.2,1778.4,2935.567,2868.783
2022-04-04,14:51:00,2550,2560,2550,2560,2552,2546,2552,2544,2595.208,3291,1080.8,1841,3077.483,2871.025
2022-04-04,14:50:00,2550,2550,2550,2550,2547,2545.5,2551.75,2543.833,2596.292,651,2041.8,1747,3249.467,2843.617
2022-04-04,14:49:00,2550,2550,2550,2550,2543,2546.5,2551.25,2543.583,2597.25,334,2493,1930.75,4044.717,2873.425
2022-04-04,14:48:00,2550,2555,2550,2550,2540,2547,2551,2544.333,2598.375,322,3649,1993.2,4244.267,2871.942
2022-04-04,14:47:00,2550,2550,2550,2550,2539,2548,2551.25,2545.167,2599.583,806,4108.2,2077.9,4394.5,2875.192
2022-04-04,14:45:00,2530,2540,2530,2535,2540,2549,2551.25,2546.167,2600.75,8096,4037.2,2095.4,4455.25,2875.442
2022-04-04,14:44:00,2535,2535,2530,2530,2544,2551,2552.5,2547.75,2602.167,2907,2649.8,1864.4,4342.15,2810.642
2022-04-04,14:43:00,2545,2545,2535,2535,2550,2553.5,2553.5,2549.583,2603.583,6114,2131.4,2043,4302.733,2788.025
2022-04-04,14:42:00,2550,2555,2545,2545,2554,2556,2555,2551.167,2605.125,2618,963.6,1811.6,4251.883,2781.225
2022-04-04,14:41:00,2560,2560,2555,2555,2557,2557.5,2555.75,2552.583,2606.5,451,440.4,1775.8,4222.85,2772.5
2022-04-04,14:40:00,2555,2560,2555,2555,2558,2558,2556,2553.833,2607.708,1159,504,1874.6,4219.45,2793.742
2022-04-04,14:39:00,2555,2560,2555,2560,2558,2558,2556,2555.333,2608.667,315,360,1954.45,4201.917,2789.083
2022-04-04,14:38:00,2555,2555,2555,2555,2557,2556,2555.5,2556.75,2609.625,275,422.6,2456.3,4200.767,2797.075
2022-04-04,14:37:00,2555,2560,2555,2560,2558,2555,2554.5,2558,2610.625,2,590.8,2786.8,4210.283,2811.85
2022-04-04,14:36:00,2555,2560,2555,2560,2558,2554.5,2553,2559.25,2611.458,769,1478.8,2787.2,4216.467,2855.7
2022-04-04,14:35:00,2550,2555,2550,2555,2558,2553.5,2551.25,2560.25,2612.417,439,1742,2750.1,4211.983,2869.483
2022-04-04,14:34:00,2555,2560,2555,2555,2558,2554,2550,2561.333,2613.333,628,1936.4,2737.3,4221.817,2965.492
2022-04-04,14:33:00,2560,2560,2555,2560,2555,2553.5,2548.25,2562.417,2614.542,1116,2676,2880.05,4266.783,3027.375
2022-04-04,14:32:00,2560,2560,2555,2560,2552,2554,2546.25,2563.667,2615.667,4442,2769.4,2881.75,4302.5,3032.733
2022-04-04,14:31:00,2555,2560,2555,2560,2551,2554,2544.75,2565.167,2616.792,2085,2284.2,2675.8,4256.083,3020.542
2022-04-04,14:30:00,2545,2555,2545,2555,2549,2554,2542.75,2566.667,2617.75,1411,2098.4,2861.05,4233.367,3034.025
2022-04-04,14:29:00,2540,2545,2540,2540,2550,2554,2541.75,2568.333,2618.792,4326,2511.4,2853.8,4228.383,3107.6
2022-04-04,14:27:00,2555,2555,2545,2545,2552,2555,2541.5,2570.417,2619.917,1583,2942,2655.1,4162.167,3148
2022-04-04,14:26:00,2555,2555,2550,2555,2556,2554,2541,2572.5,2621.042,2016,2922.6,2679.1,4138.517,3245.275
2022-04-04,14:25:00,2550,2550,2550,2550,2557,2551.5,2540,2574.25,2622.292,1156,2899.8,2580.85,4122.7,3432.508
2022-04-04,14:24:00,2550,2560,2550,2560,2559,2549,2539.25,2575.833,2623.875,3476,3154,2733.1,4114.533,3460.9
2022-04-04,14:23:00,2560,2565,2550,2550,2558,2546,2537.75,2577.583,2625.417,6479,3010,2573.95,4059.867,3433.792
2022-04-04,14:22:00,2560,2565,2560,2565,2558,2543,2536.75,2579.417,2627.083,1486,3784.6,2720.6,3980.933,3389.992
2022-04-04,14:21:00,2560,2565,2560,2560,2552,2538.5,2535.25,2580.75,2628.667,1902,4864.4,2778.25,3972.767,3378.442
2022-04-04,14:20:00,2555,2560,2550,2560,2546,2535.5,2534.25,2582.167,2630.292,2427,4486,2710.7,3946.667,3369.533
2022-04-04,14:19:00,2550,2555,2550,2555,2539,2531.5,2533,2583.583,2631.917,2756,4006,2593.25,3921.333,3353.15
2022-04-04,14:18:00,2535,2550,2530,2550,2534,2529.5,2532,2585,2633.417,10352,3491.4,2491.3,3880.6,3347.333
2022-04-04,14:17:00,2530,2540,2530,2535,2528,2528,2531.5,2586.75,2635,6885,2117.6,2051.1,3710.55,3261.075
2022-04-04,14:16:00,2525,2530,2525,2530,2525,2528,2531.25,2588.5,2636.875,10,970.6,2165.25,3601.2,3209.083
2022-04-04,14:15:00,2530,2530,2525,2525,2525,2528.5,2531.75,2590.25,2638.625,27,1033.2,2677.8,3664.433,3216.275
2022-04-04,14:14:00,2525,2530,2525,2530,2524,2529.5,2532.25,2592.167,2640.417,183,2185.8,2793.6,3773.867,3227.683
2022-04-04,14:13:00,2515,2525,2515,2520,2525,2529.5,2533,2594.167,2642.208,3483,2402.4,2944.05,3801.85,3229.267
2022-04-04,14:12:00,2525,2525,2515,2520,2528,2530.5,2534,2596.5,2644.167,1150,1776.2,3281.2,3748.633,3229.542
2022-04-04,14:11:00,2520,2530,2515,2530,2531,2532,2535.5,2598.833,2646.208,323,1958.8,3925.1,3746.383,3225.408
2022-04-04,14:10:00,2530,2530,2515,2520,2532,2533,2535.75,2600.833,2648.167,5790,1904.4,4352.5,3779.317,3229.5
2022-04-04,14:09:00,2530,2535,2530,2535,2535,2534.5,2537.25,2603,2650.208,1266,1586.6,4530.4,3706.683,3189.242
2022-04-04,14:08:00,2525,2535,2525,2535,2534,2534.5,2538,2604.917,2652.042,352,1392,5147.6,3735.033,3178.942
2022-04-04,14:07:00,2535,2535,2525,2535,2533,2535,2538,2606.917,2653.875,2063,3204,7548.3,3775.883,3177.017
