날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-04,15:35:00,73800,73800,73800,73800,73840,73720,73340,73330,74513.33,6011,46962.4,27829.4,25805.6,27683.48
2022-04-04,15:30:00,73800,73800,73800,73800,73840,73640,73290,73328.33,74524.17,102417,49732.2,28033.25,26853.45,27794.13
2022-04-04,15:19:00,74000,74000,73700,73900,73800,73560,73240,73338.33,74530.83,43146,33775.2,23434.45,25355.5,27338.19
2022-04-04,15:18:00,73800,74100,73600,74000,73680,73460,73195,73351.67,74535,66445,30370.8,23042.85,24844.35,27237.73
2022-04-04,15:17:00,73900,73900,73700,73700,73660,73320,73145,73360,74544.17,16793,25058,20753.6,24181.4,26717.72
2022-04-04,15:16:00,73500,73900,73500,73800,73600,73240,73120,73381.67,74556.67,19860,29460.4,20842.55,24121.42,26671.28
2022-04-04,15:15:00,73400,73800,73400,73600,73440,73150,73090,73400,74565.83,22632,27608.6,20485.25,24014.4,26593.03
2022-04-04,15:14:00,73900,73900,73300,73300,73320,73090,73090,73418.33,74579.17,26124,25864,19793.5,24038.85,26475.28
2022-04-04,15:13:00,73400,73900,73300,73900,73240,73070,73105,73441.67,74595.83,39881,25109.8,19077.15,24117.5,26292.49
2022-04-04,15:12:00,73000,73400,72900,73400,72980,72970,73095,73460,74607.5,38805,24192.2,17833.35,24033.88,25989.26
2022-04-04,15:11:00,73000,73100,72900,73000,72880,72960,73100,73485,74623.33,10601,22671.8,16062.2,24429.12,25718.2
2022-04-04,15:10:00,73000,73100,72900,73000,72860,72940,73115,73508.33,74642.5,13909,23261,16151.5,26958.83,25823.89
2022-04-04,15:09:00,72600,73000,72500,72900,72860,72920,73115,73551.67,74660,22353,21637.4,16393.3,27558.75,25743.86
2022-04-04,15:08:00,72900,73000,72300,72600,72900,72930,73120,73606.67,74678.33,35293,18819.8,15970.1,27316.58,25590.64
2022-04-04,15:07:00,72900,73000,72400,72900,72960,72970,73155,73666.67,74699.17,31203,13577.2,14437.55,26868.22,25400.87
2022-04-04,15:06:00,73100,73100,72800,72900,73040,73000,73175,73720,74718.33,13547,12223,13274.3,26564.18,25192.98
2022-04-04,15:05:00,73100,73200,72900,73000,73020,73030,73200,73775,74736.67,5791,11531.2,13768.1,26630.12,25144.42
2022-04-04,15:04:00,73000,73200,72900,73100,72980,73090,73230,73833.33,74754.17,8265,12461.2,14608.6,27124.77,25358.6
2022-04-04,15:03:00,73300,73300,72900,72900,72960,73140,73235,73881.67,74771.67,9080,17871,15321.3,27290.38,25386.33
2022-04-04,15:02:00,72900,73500,72700,73300,72980,73220,73230,73931.67,74791.67,24432,20187,15368.15,27267.32,25410.51
2022-04-04,15:01:00,72900,72900,72800,72800,72960,73240,73215,73973.33,74809.17,10088,19015,14552.65,27070.58,25444.41
2022-04-04,15:00:00,73000,73000,72800,72800,73040,73290,73230,74025,74832.5,10441,19540.2,15251.2,26997.25,25538.59
2022-04-04,14:59:00,72900,73100,72400,73000,73200,73310,73225,74080,74853.33,35314,19211.4,15865.7,27081.83,25527.5
2022-04-04,14:58:00,73100,73200,72900,73000,73320,73310,73220,74125,74874.17,20660,14508,16043.15,26771.48,25361.6
2022-04-04,14:57:00,73200,73300,72900,73200,73460,73340,73230,74173.33,74895.83,18572,13377,15980.1,26550.83,25341.34
2022-04-04,14:56:00,73500,73600,73200,73200,73520,73350,73240,74221.67,74917.5,12714,10339,15391.95,26387.63,25399.04
2022-04-04,14:55:00,73600,73700,73500,73600,73540,73370,73255,74266.67,74939.17,8797,10273.6,15052.7,26319.1,26156.76
2022-04-04,14:54:00,73700,73800,73500,73600,73420,73370,73250,74306.67,74954.17,11797,12263.2,15485.9,26344.17,26327.2
2022-04-04,14:53:00,73500,73800,73400,73700,73300,73330,73235,74348.33,74962.5,15005,12681.6,17144.8,26449.72,26325.88
2022-04-04,14:52:00,73300,73500,73300,73500,73220,73240,73230,74388.33,74974.17,3382,10609,18615.3,26476.97,26440.67
2022-04-04,14:51:00,73000,73300,73000,73300,73180,73190,73200,74428.33,74987.5,12387,11520.2,20636.7,26803.37,26581.73
2022-04-04,14:50:00,73000,73100,72900,73000,73200,73170,73170,74471.67,75004.17,18745,13727.4,23835.2,26703.65,26656.45
2022-04-04,14:49:00,73300,73300,73000,73000,73320,73140,73160,74518.33,75022.5,13889,14498.6,25996.7,26856.88,26656.03
2022-04-04,14:48:00,73400,73400,73200,73300,73360,73130,73170,74568.33,75042.5,4642,16224.6,31063.7,26801.02,26778.34
2022-04-04,14:47:00,73500,73500,73100,73300,73260,73120,73200,74615,75056.67,7938,17299.6,31579.45,27148.13,26881.61
2022-04-04,14:46:00,73600,73800,73400,73400,73200,73130,73240,74655,75072.5,23423,17336.4,32029.75,27443.75,27175.08
2022-04-04,14:45:00,73200,73700,73100,73600,73140,73140,73265,74696.67,75083.33,22601,17463.6,31463.15,27926.85,27020.91
2022-04-04,14:44:00,72800,73200,72700,73200,72960,73130,73275,74741.67,75091.67,22519,17489.6,32115.2,28179.53,26873.94
2022-04-04,14:43:00,73000,73100,72800,72800,72900,73140,73325,74795,75102.5,10017,20758.4,32089.45,29362.37,26778.06
2022-04-04,14:42:00,73200,73200,73000,73000,72980,73220,73390,74850,75116.67,8122,22634.8,32811.9,29431.83,26727.94
2022-04-04,14:41:00,72700,73300,72700,73100,73060,73210,73435,74901.67,75126.67,24059,22372.2,35034.75,29628.65,26803.73
2022-04-04,14:40:00,72900,73100,72700,72700,73140,73170,73465,74955,75137.5,22731,18746.2,37275.9,29552.78,26746.01
2022-04-04,14:39:00,73200,73300,72900,72900,73300,73180,73550,75013.33,75153.33,38863,17692.2,36766.35,29739.38,26589.89
2022-04-04,14:38:00,73500,73500,73100,73200,73380,73210,73640,75066.67,75166.67,19399,18914.6,35447.05,29781.28,26317.18
2022-04-04,14:37:00,73500,73600,73400,73400,73460,73280,73705,75115,75176.67,6809,23917.8,35810.5,29757.32,26296.35
2022-04-04,14:36:00,73500,73600,73400,73500,73360,73350,73785,75161.67,75185.83,5929,31318,36129.75,30104.08,26475.35
2022-04-04,14:35:00,73400,73700,73300,73500,73200,73390,73855,75210,75195.83,17461,45403.6,36505.25,31932.63,26588.98
2022-04-04,14:34:00,73600,73900,73300,73300,73060,73420,73915,75256.67,75202.5,44975,54306.4,36837.15,32869.78,26474.58
2022-04-04,14:33:00,72800,73600,72800,73600,73040,73510,73985,75295,75210.83,44415,68357.2,36130.55,32270.8,26176.55
2022-04-04,14:32:00,72800,73000,72500,72900,73100,73560,74055,75331.67,75215.83,43810,62465.6,35653,31758.48,25908.92
2022-04-04,14:31:00,72700,72800,72300,72700,73340,73660,74155,75376.67,75227.5,76357,57092.4,36588.45,31351.83,25616.45
2022-04-04,14:30:00,73200,73400,72600,72800,73580,73760,74240,75428.33,75240,61975,44239.2,40889.8,30430.78,25146.47
2022-04-04,14:29:00,73900,74000,72800,73200,73780,73920,74380,75476.67,75248.33,115229,38972.6,40286.25,29870.28,24718.43
2022-04-04,14:28:00,74200,74200,73800,73900,73980,74070,74530,75526.67,75254.17,14957,20327.6,34915.95,28608.88,23943.48
2022-04-04,14:27:00,73800,74200,73700,74100,74020,74130,74645,75563.33,75258.33,16944,22229.4,34587.65,29302.08,24015.23
2022-04-04,14:26:00,73800,74000,73800,73900,73980,74220,74745,75588.33,75255.83,12091,29356.4,34388.5,29274.52,24222.53
2022-04-04,14:25:00,74200,74200,73700,73800,73940,74320,74860,75618.33,75253.33,35642,40714.6,34659.1,30629.28,24257.72
2022-04-04,14:24:00,74100,74400,74000,74200,74060,74410,74995,75650,75254.17,22004,36094.2,34650.5,30713.93,24113.1
2022-04-04,14:23:00,73900,74100,73800,74100,74160,74460,75085,75661.67,75250.83,24466,34188.8,34460.4,30454.57,24344.79
2022-04-04,14:22:00,73800,74300,73600,73900,74240,74550,75175,75678.33,75246.67,52579,34629.2,33621.9,30141.4,24823.61
2022-04-04,14:21:00,74400,74500,73700,73700,74460,74650,75270,75696.67,75249.17,68882,26752.2,31624.35,29561.37,24478.4
2022-04-04,14:20:00,74800,74800,74300,74400,74700,74720,75380,75720,75254.17,12540,15663.6,28464.65,28734.82,24006.78
2022-04-04,14:19:00,74500,74900,74400,74700,74760,74840,75465,75723.33,75255,12477,17975.4,28613.45,29320.88,23979.19
2022-04-04,14:18:00,75000,75100,74500,74500,74760,74990,75515,75718.33,75252.5,26668,21648.6,28824.25,29631.1,23942.58
2022-04-04,14:17:00,75000,75000,74900,75000,74860,75160,75585,75728.33,75254.17,13194,23287.8,27861.9,29254.03,23821.95
2022-04-04,14:16:00,74700,75000,74600,74900,74840,75270,75640,75731.67,75251.67,13439,33152.8,27641.2,29221.15,23788.21
2022-04-04,14:15:00,74700,75100,74600,74700,74740,75400,75690,75731.67,75248.33,24099,62941.8,27399.35,29171.67,23792.62
2022-04-04,14:14:00,74900,75000,74300,74700,74920,75580,75755,75740,75245.83,30843,68102.8,26709.45,28911.7,23664.76
2022-04-04,14:13:00,74800,75200,74600,75000,75220,75710,75825,75750,75245,34864,63498.8,26073.8,28467.48,23574.83
2022-04-04,14:12:00,74400,75000,74000,74900,75460,75800,75880,75755,75240,62519,58204.2,25162.6,27944.63,23545.41
2022-04-04,14:11:00,75500,75500,73900,74400,75700,75890,75930,75761.67,75237.5,162384,48292.6,23184.95,27007.28,23565.77
2022-04-04,14:10:00,76100,76400,75600,75600,76060,76040,76005,75776.67,75235.83,49904,19316.4,15385.95,24688.95,22567.68
2022-04-04,14:09:00,76200,76300,76100,76200,76240,76090,76015,75768.33,75229.17,7823,16429.6,14287.7,23928.97,22495.26
2022-04-04,14:08:00,76100,76300,76000,76200,76200,76040,76005,75750,75213.33,8391,18505.4,14423.4,23864.7,23207.67
