날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-04,15:35:00,2270,2270,2270,2270,2266,2267,2266,2284.833,2303.542,17300,51495.6,29759.05,83215.58,176146.6
2022-04-04,15:30:00,2270,2270,2270,2270,2265,2266.5,2265.25,2286.5,2302.875,152509,52396.6,29842.3,85739.88,176757.5
2022-04-04,15:19:00,2255,2270,2250,2265,2264,2266.5,2264.75,2288.417,2302.292,45867,26693.4,23557.75,87630.18,176616.1
2022-04-04,15:18:00,2265,2270,2255,2260,2265,2267,2264.5,2290,2301.75,22746,23450.8,22852.25,88212.03,177456.1
2022-04-04,15:17:00,2270,2270,2265,2265,2266,2268,2264.25,2291.667,2301,19056,21640.2,25060.6,93468.58,177469.9
2022-04-04,15:16:00,2265,2275,2265,2265,2268,2268,2263.25,2293.75,2300.25,21805,21402.6,26641.8,97098.83,177832.2
2022-04-04,15:15:00,2270,2270,2260,2265,2268,2268,2262,2295.25,2299.625,23993,23312.8,26410.8,104826.9,178222.3
2022-04-04,15:14:00,2265,2275,2265,2270,2269,2267.5,2261,2296.583,2298.75,29654,26606.6,25731.4,109732.2,178208.6
2022-04-04,15:13:00,2275,2275,2265,2265,2269,2267.5,2259.5,2297.917,2297.75,13693,23530,25565.25,115826.5,178504.9
2022-04-04,15:12:00,2265,2280,2265,2275,2270,2267,2258.75,2298.25,2296.458,17868,24243.6,26846.35,117456.2,178535.2
2022-04-04,15:11:00,2270,2270,2260,2265,2268,2265,2257,2298.417,2295.042,31356,25026,30206.5,118796.2,178391.2
2022-04-04,15:10:00,2270,2280,2265,2270,2268,2264,2255.75,2298.667,2293.667,40462,22481.4,33554.05,122036.9,178131.2
2022-04-04,15:09:00,2270,2270,2265,2270,2266,2263,2255.5,2299,2292.25,14271,17195.4,35059.65,128426.6,177806.7
2022-04-04,15:08:00,2265,2270,2255,2270,2266,2262,2254.75,2299.75,2290.833,17261,19557.8,37700.1,129351.1,177691.8
2022-04-04,15:07:00,2270,2270,2260,2265,2264,2260.5,2254.25,2300.75,2289.375,21780,21970.4,39217.6,130230.4,177549.2
2022-04-04,15:06:00,2260,2270,2260,2265,2262,2258.5,2254.75,2301.583,2287.958,18633,21112,39845.15,131770.9,177371.2
2022-04-04,15:05:00,2270,2270,2255,2260,2260,2256,2255.25,2302.667,2286.583,14032,21178.4,40564.55,132334,177254.2
2022-04-04,15:04:00,2260,2270,2255,2270,2260,2254.5,2255.25,2303.75,2285.208,26083,23735.6,42026.75,133555.9,177137.3
2022-04-04,15:03:00,2255,2260,2245,2260,2258,2251.5,2254.75,2304.833,2283.75,29324,24870.4,44368.3,135908.2,176920.9
2022-04-04,15:02:00,2255,2265,2255,2255,2257,2250.5,2255,2305.75,2282.375,17488,32388.2,46010,140363,176677.6
2022-04-04,15:01:00,2260,2265,2255,2255,2255,2249,2255.25,2307.5,2281.083,18965,39026.6,57687.45,143279.4,176532
2022-04-04,15:00:00,2260,2265,2255,2260,2252,2247.5,2257,2308.833,2279.792,26818,38670.6,62520.55,148797.4,176375.2
2022-04-04,14:59:00,2255,2265,2250,2260,2249,2248,2258.5,2310.25,2278.458,31757,35388,69927.3,157650.5,176151.7
2022-04-04,14:58:00,2245,2260,2230,2255,2245,2247.5,2260.75,2312.917,2277.042,66913,34302.8,76714.05,159786.2,175887.6
2022-04-04,14:57:00,2240,2250,2235,2245,2244,2248,2263.5,2315.417,2275.667,50680,28783.2,77379.25,166760.5,175331.6
2022-04-04,14:56:00,2245,2250,2240,2240,2243,2251,2266.75,2318.083,2274.417,17185,35661.4,81756.85,171722.4,174909.7
2022-04-04,14:55:00,2245,2250,2240,2245,2243,2254.5,2271.5,2321.417,2273.208,10405,51885.8,83951.65,176834.3,174766.6
