날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-04,15:35:00,29850,29850,29850,29850,29760,29750,30117.5,29697.5,29300.83,10631,24975,50521.05,33431.88,17506.06
2022-04-04,15:30:00,29850,29850,29850,29850,29740,29745,30172.5,29686.67,29292.08,44148,30232.2,57887.25,33839.82,17420.76
2022-04-04,15:19:00,29750,29750,29500,29600,29690,29760,30230,29674.17,29283.75,34426,26963,64287.55,33219.38,17109.63
2022-04-04,15:18:00,29750,29750,29650,29750,29700,29830,30262.5,29664.17,29277.92,14777,27413.2,66352.05,32709.4,16830.99
2022-04-04,15:17:00,29850,29850,29700,29750,29700,29910,30300,29651.67,29270.83,20893,29640,69954.95,32505.1,16708.53
2022-04-04,15:16:00,29600,29850,29550,29750,29740,29980,30322.5,29638.33,29264.17,36917,34719,74598.15,32175.68,16541.83
2022-04-04,15:15:00,29700,29700,29550,29600,29750,30085,30350,29625,29257.5,27802,38880.4,77317.55,31590.77,16234.98
2022-04-04,15:14:00,29750,29800,29600,29650,29830,30205,30370,29614.17,29252.08,36677,43611.6,79273.6,31148.32,16005.5
2022-04-04,15:13:00,29950,29950,29750,29750,29960,30320,30390,29601.67,29246.25,25911,43913.4,81580.2,30545.23,15722.63
2022-04-04,15:12:00,29800,29950,29700,29950,30120,30385,30380,29587.5,29239.58,46288,47831.4,82291.25,30151.6,15507.43
2022-04-04,15:11:00,30000,30200,29800,29800,30220,30485,30355,29570,29231.67,57724,54833.8,81302.55,29436.17,15123.77
2022-04-04,15:10:00,30350,30400,29950,30000,30420,30600,30330,29555,29225,51458,76795,78717.35,28482.27,14652.28
2022-04-04,15:09:00,30500,30550,30250,30300,30580,30700,30292.5,29536.67,29216.25,38186,75496.4,76204.05,27624.8,14231.9
2022-04-04,15:08:00,30400,30600,30300,30550,30680,30695,30235,29514.17,29205,45501,78196.6,74606.65,26989.73,13914.13
2022-04-04,15:07:00,30850,30850,30400,30450,30650,30690,30165,29486.67,29192.08,81300,89518.4,72487.15,26235.33,13535.78
2022-04-04,15:06:00,30800,31200,30450,30800,30750,30665,30102.5,29461.67,29179.58,167530,87556.4,68576.6,24882.3,12861.97
2022-04-04,15:05:00,30800,30950,30700,30800,30780,30615,30025,29430,29164.17,44965,85641.4,60242,22105.05,11470.44
2022-04-04,15:04:00,30400,30850,30350,30800,30820,30535,29947.5,29400,29149.17,51687,111079.2,58132.7,21382.95,11104.08
2022-04-04,15:03:00,31000,31000,30200,30400,30710,30460,29870,29370,29134.17,102110,115885,55752,20528.43,10674.58
2022-04-04,15:02:00,30950,31100,30900,30950,30730,30375,29812.5,29345,29122.08,71490,112830,50662.9,18831.08,9837.25
2022-04-04,15:01:00,30950,31200,30750,30950,30580,30225,29730,29312.5,29105.83,157955,121283.4,47182.65,17639.93,9245.858
