날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-04,15:35:00,7100,7100,7100,7100,7044,7034,7034,7039.833,7080.583,9478,34721.4,24513.45,28765.42,50141.21
2022-04-04,15:30:00,7100,7100,7100,7100,7032,7023,7035.5,7040.833,7077.667,93424,38225,24864.7,29024.7,50755.32
2022-04-04,15:19:00,7020,7050,7000,7020,7016,7011,7036,7042.667,7074.5,32250,20949,23179.9,28244.7,52258.9
2022-04-04,15:18:00,6980,7020,6980,7010,7016,7007,7044,7046.167,7072.583,11618,16780.6,26613.9,28276.82,53795.13
2022-04-04,15:17:00,7040,7040,6950,6990,7022,7013,7052.5,7050.667,7069.25,26837,17751,35778.9,28738.72,55341.45
2022-04-04,15:16:00,7020,7060,6980,7040,7024,7018,7049.5,7055.167,7065.5,26996,15166.6,35309.45,28594.35,55301.33
2022-04-04,15:15:00,7030,7030,7020,7020,7014,7014,7043,7060.167,7060.917,7044,14819.2,34306,28982.2,55800.73
2022-04-04,15:14:00,7040,7050,7020,7020,7006,7019,7036,7064.5,7054.833,11408,15045,34532.55,29537.95,55988.98
2022-04-04,15:13:00,7000,7050,6990,7040,6998,7027,7028.5,7068,7048.667,16470,15823.8,34723.45,29893.57,56231.93
2022-04-04,15:12:00,6980,7020,6980,7000,7004,7025,7020,7071.833,7043.25,13915,15359.4,34578.5,30349.65,56546.51
2022-04-04,15:11:00,6990,7000,6930,6990,7012,7034,7015.5,7076.333,7036.333,25259,17686.8,34309.15,31443.78,56460.07
2022-04-04,15:10:00,6990,7040,6970,6980,7014,7048,7013.5,7081.833,7029.083,8173,18295.2,33691.15,34837.3,56266.4
2022-04-04,15:09:00,7060,7070,6980,6980,7032,7061,7011.5,7086,7022.167,15302,18718.6,34587.45,35910.3,56262.14
2022-04-04,15:08:00,7050,7070,7020,7070,7056,7081,7007,7087.667,7015.083,14148,24026.2,34829.25,35958.67,56147.17
2022-04-04,15:07:00,7000,7070,6970,7040,7046,7092,7000,7087.167,7007.167,25552,27760.6,35561.4,36220.33,56099.82
2022-04-04,15:06:00,7070,7070,7000,7000,7056,7081,6991,7087.833,6999.083,28301,30479,36594.4,36095.92,55904.58
2022-04-04,15:05:00,7090,7110,7050,7070,7082,7072,6983.5,7089.667,6991.5,10290,28119.4,39463.55,35991.78,55671.55
2022-04-04,15:04:00,7030,7140,7020,7100,7090,7053,6980,7090.833,6983.333,41840,38007,39913.55,36257.73,55587.06
2022-04-04,15:03:00,7080,7110,7000,7020,7106,7030,6976,7091.5,6974.833,32820,49825,38333.85,36588.12,55238.88
2022-04-04,15:02:00,7130,7140,7030,7090,7138,7015,6977,7094.167,6967,39144,82244.6,37236.95,37595.95,54969.68
2022-04-04,15:01:00,7120,7150,7110,7130,7106,6997,6973,7094.667,6958.667,16503,77905.4,35738.75,37260.93,54647.45
2022-04-04,15:00:00,7180,7180,7090,7110,7062,6979,6969.5,7094.167,6950,59728,75990.2,35442.55,38007.08,54514.09
2022-04-04,14:59:00,7180,7200,7130,7180,7016,6962,6965,7093.5,6941.5,100930,66359.6,33890.45,37595.73,54020.68
2022-04-04,14:58:00,6930,7230,6930,7180,6954,6933,6958,7090.5,6932.417,194918,49218.8,32077.1,36595.13,53179.81
2022-04-04,14:57:00,6910,6960,6900,6930,6892,6908,6952.5,7088.167,6923.25,17448,12949.4,22919.5,34265.15,51556.65
2022-04-04,14:56:00,6880,6910,6880,6910,6888,6901,6961,7089.5,6916.167,6927,11165.4,22523.4,35726.05,51415.67
2022-04-04,14:55:00,6870,6890,6850,6880,6896,6895,6972,7093,6909.25,11575,12359.8,22807.15,35862.4,51361.88
2022-04-04,14:54:00,6860,6880,6830,6870,6908,6907,6984,7097.333,6902.5,15226,15264.6,22924.2,35823.95,51266.13
2022-04-04,14:53:00,6910,6930,6860,6870,6912,6922,6997,7101.333,6895.833,13571,16247,24385.3,35964.23,51139.27
2022-04-04,14:52:00,6950,6950,6900,6910,6924,6939,7012.5,7106,6889.167,8528,19291,25307.65,36158.57,51026.33
2022-04-04,14:51:00,6950,6970,6940,6950,6914,6949,7024,7110.667,6882.167,12899,26827.8,25648.45,36605.97,50955.41
2022-04-04,14:50:00,6880,6960,6880,6940,6894,6960,7033,7114.5,6874.667,26099,41384.8,26079.4,36985.6,50847.93
2022-04-04,14:49:00,6920,6930,6830,6890,6906,6968,7041,7117.333,6867.25,20138,40023,25362.65,37707.25,50630.57
2022-04-04,14:48:00,6860,6930,6850,6930,6932,6983,7049,7122,6860.25,28791,38044.6,26332.15,37666.88,50463.92
2022-04-04,14:47:00,6830,6880,6810,6860,6954,6997,7058,7127,6852.917,46212,34462.8,25421.8,37647.85,50232.5
2022-04-04,14:46:00,7000,7010,6780,6850,6984,7021,7070.5,7132.167,6846.25,85684,27056.4,25923,37469.93,49847.56
