날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-05,15:35:00,3570,3570,3570,3570,3571,3572.5,3580.75,3577.917,3608.542,12646,31224.2,14947.2,12833.08,10299.55
2022-04-05,15:30:00,3570,3570,3570,3570,3572,3573,3580,3578.833,3609.375,106207,29430,14802.4,12631.37,10282.2
2022-04-05,15:19:00,3575,3575,3565,3570,3576,3575,3579.5,3579.667,3610.208,14983,13006,9912.35,10916.17,9438.042
2022-04-05,15:18:00,3570,3575,3565,3570,3575,3577.5,3578.5,3580.667,3611.042,14204,11159.4,9404.6,10727.47,9349.167
2022-04-05,15:17:00,3575,3575,3570,3575,3575,3581,3577.75,3581.583,3611.917,8081,9797,8758.4,10501.97,9285.067
2022-04-05,15:16:00,3585,3585,3570,3575,3574,3582.5,3577,3582.417,3612.625,3675,9439,8567.15,10422.12,9299.8
2022-04-05,15:15:00,3565,3595,3565,3590,3574,3583,3576.25,3583.333,3613.375,24087,10412,8713.35,10417.63,9443.067
2022-04-05,15:14:00,3570,3570,3565,3565,3574,3583,3574.75,3583.75,3614.125,5750,6051.2,7682.75,10032.75,9318.375
2022-04-05,15:13:00,3575,3575,3570,3570,3580,3585.5,3574.5,3584.583,3615.125,7392,6228,7592.9,10047.18,9480.867
2022-04-05,15:12:00,3575,3580,3570,3570,3587,3587.5,3573.5,3585.333,3616.083,6291,7874.2,7392.55,10027.18,9498.167
2022-04-05,15:11:00,3590,3590,3575,3575,3591,3589,3572.75,3586.333,3617.083,8540,9041.2,7170.15,9957.367,9533.633
2022-04-05,15:10:00,3595,3595,3590,3590,3592,3587,3571.75,3587.417,3618.042,2283,9943.2,7505.8,10164.15,9646.575
2022-04-05,15:09:00,3600,3605,3595,3595,3592,3584,3569,3588.167,3618.917,6634,11570.8,7704.1,10201.57,9701.492
2022-04-05,15:08:00,3590,3605,3590,3605,3591,3579.5,3566.75,3589,3619.708,15623,11534,7870.65,10130.33,9759.5
2022-04-05,15:07:00,3580,3590,3575,3590,3588,3574.5,3564.75,3589.667,3620.417,12126,11569.8,7793.7,9880.45,9886.908
2022-04-05,15:06:00,3585,3585,3575,3580,3587,3571.5,3564,3590.583,3621.375,13050,10084.4,7317.25,9708.6,9876.175
2022-04-05,15:05:00,3585,3590,3580,3590,3582,3569.5,3564.25,3591.583,3622.542,10421,9424.4,7152.45,9497.2,10354.58
2022-04-05,15:04:00,3585,3595,3580,3590,3576,3566.5,3564.5,3592.5,3623.625,6450,9021.4,7321.45,9514,10660.35
2022-04-05,15:03:00,3585,3600,3585,3590,3568,3563.5,3564.75,3593.333,3624.583,15802,8697,9022.7,9444.217,12130.57
2022-04-05,15:02:00,3560,3590,3555,3585,3561,3559.5,3563.25,3594.083,3626.083,4699,5792.6,9534.15,9202.083,13445.48
2022-04-05,15:01:00,3555,3560,3545,3555,3556,3556.5,3560.75,3595,3627.667,9750,5704,10903.2,9133.217,16868.66
2022-04-05,15:00:00,3550,3560,3550,3560,3557,3556.5,3561,3596.417,3629.542,8406,5073.8,11019.1,9007.05,18342.03
2022-04-05,14:59:00,3555,3560,3550,3550,3557,3554,3560.5,3597.75,3630.875,4828,4087.6,13338.25,8891.85,18860.78
2022-04-05,14:58:00,3560,3560,3550,3555,3559,3554,3561.25,3599.333,3631.833,1280,3912.6,13344.4,8831.167,18985.93
2022-04-05,14:57:00,3565,3570,3555,3560,3558,3555,3562,3600.75,3632.458,4256,4333.6,14563.25,8864.383,19006.49
2022-04-05,14:56:00,3560,3560,3555,3560,3557,3556.5,3562.5,3602,3633.167,6599,3851,14921.85,8867.133,18995.04
2022-04-05,14:55:00,3550,3560,3550,3560,3556,3559,3563.25,3603.167,3633.792,3475,5581.8,15179.5,8825.617,18952.95
2022-04-05,14:54:00,3555,3560,3550,3560,3551,3562.5,3564,3604.417,3634.417,3953,6136.6,15347.75,8897.517,18933.5
2022-04-05,14:53:00,3560,3560,3550,3550,3549,3566,3565.25,3605.417,3635.042,3385,7339,15625.3,8925.6,18954.43
2022-04-05,14:52:00,3555,3560,3555,3555,3552,3567,3566.75,3606.667,3635.833,1843,9478.8,16067.2,8899.183,18942.11
2022-04-05,14:51:00,3540,3565,3540,3555,3556,3565,3569,3607.833,3636.667,15253,9629.6,17584.5,8925.117,18966.78
2022-04-05,14:50:00,3550,3550,3535,3535,3562,3565.5,3570.5,3609.083,3637.458,6249,8529.8,18699.5,8732.783,18849.53
2022-04-05,14:49:00,3565,3565,3540,3550,3574,3567,3574,3610.5,3638.458,9965,10040.2,18692.3,8750.367,18811.45
2022-04-05,14:48:00,3575,3575,3550,3565,3583,3568.5,3577.25,3611.833,3639.333,14084,16142.2,18549.35,8616.133,18786.13
2022-04-05,14:47:00,3580,3585,3565,3575,3582,3569,3579.75,3613.083,3640.125,2597,18531.6,17964,8406.083,18689.58
2022-04-05,14:46:00,3595,3595,3575,3585,3574,3568.5,3581.75,3614,3640.75,9754,24428.2,17956.1,8397.35,18680.88
2022-04-05,14:45:00,3600,3605,3590,3595,3569,3567.5,3583,3614.833,3641.25,13801,24891,17666.6,8264.133,18657.53
2022-04-05,14:44:00,3550,3620,3550,3595,3560,3565.5,3584.25,3615.5,3641.583,40475,33088.6,17138.4,8109.033,18585.23
2022-04-05,14:43:00,3530,3560,3525,3560,3554,3564.5,3585.25,3616.25,3641.917,26031,25983.8,15261.85,7543.3,18278.5
2022-04-05,14:42:00,3555,3560,3525,3535,3556,3566.5,3588,3617.833,3642.583,32080,25909,14175.45,7225.367,18068.05
2022-04-05,14:41:00,3550,3560,3550,3560,3563,3573,3592.25,3619.417,3643.375,12068,21778.6,12648.85,6733.067,17900.79
2022-04-05,14:40:00,3565,3565,3550,3550,3566,3575.5,3595.5,3620.333,3644,54789,21715.4,12072.6,7080.15,17830.75
2022-04-05,14:39:00,3570,3570,3565,3565,3571,3581,3599,3621.5,3644.708,4951,12125.6,9497.9,6636.167,17392.71
2022-04-05,14:38:00,3570,3570,3560,3570,3575,3586,3602.25,3622.75,3645.292,25657,13036.2,9433.4,6925.183,17425.16
2022-04-05,14:37:00,3570,3575,3565,3570,3577,3590.5,3605,3624.167,3645.875,11428,10349.4,8184.25,6689.95,17289.76
2022-04-05,14:36:00,3580,3580,3570,3575,3583,3595,3607.75,3625.583,3646.5,11752,14501.6,7777.35,6550.367,17196.38
2022-04-05,14:35:00,3585,3585,3575,3575,3585,3598.5,3610.5,3627.083,3647.083,6840,19661.8,7360.05,6429.567,17132.87
2022-04-05,14:34:00,3575,3585,3575,3585,3591,3603,3612.5,3628.5,3647.625,9504,19514.8,7067.75,6337.15,17087.6
2022-04-05,14:33:00,3600,3600,3575,3580,3597,3606,3614,3629.667,3648.042,12223,19035.2,6923.35,6272.483,17037.22
2022-04-05,14:32:00,3585,3600,3580,3600,3604,3609.5,3615.75,3630.917,3648.5,32189,17066,6621.8,6200.717,16975.33
2022-04-05,14:31:00,3605,3605,3585,3585,3607,3611.5,3617.25,3631.833,3648.792,37553,11116,5117.45,5970.4,16763.73
2022-04-05,14:30:00,3610,3615,3605,3605,3612,3615.5,3620,3633,3649.333,6105,4398.2,4287.15,5677.533,16470.24
2022-04-05,14:29:00,3615,3615,3610,3615,3615,3617,3621.5,3634.167,3649.792,7106,3824.6,4208.3,5788.183,16436.54
2022-04-05,14:28:00,3615,3615,3610,3615,3615,3618.5,3623,3634.917,3650.167,2377,2992.2,3971,5707.533,16380.6
2022-04-05,14:27:00,3610,3615,3610,3615,3615,3619.5,3624.5,3635.667,3650.542,2439,3377.4,3883.65,5994.7,16376.59
2022-04-05,14:26:00,3615,3620,3610,3610,3616,3620.5,3626,3636.167,3650.833,3964,3199.2,3852.45,6005.317,16454.98
2022-04-05,14:25:00,3615,3620,3615,3620,3619,3622.5,3627.5,3636.917,3651.458,3237,2515,3672.55,5972.233,16508.93
2022-04-05,14:24:00,3615,3620,3610,3615,3619,3622,3628.75,3637.5,3652,2944,2526.6,4082.15,6037.483,16541.16
2022-04-05,14:23:00,3620,3625,3615,3615,3622,3622,3630,3637.917,3652.167,4303,2670,4048.1,6270.2,16541.94
2022-04-05,14:22:00,3625,3625,3620,3620,3624,3622,3631,3638.417,3652.375,1548,1944.2,3896.65,7574.15,16516.55
2022-04-05,14:21:00,3620,3625,3620,3625,3625,3623,3632,3639.167,3652.542,543,2292.6,3847.6,7766.017,16531.07
2022-04-05,14:20:00,3625,3625,3615,3620,3626,3624.5,3632.75,3639.917,3652.667,3295,2865.2,3929.45,7933.033,16589.61
2022-04-05,14:19:00,3620,3630,3620,3630,3625,3626,3633.75,3640.75,3652.833,3661,2405,3839.4,7959.917,16594.93
2022-04-05,14:18:00,3625,3625,3620,3625,3622,3627.5,3634.5,3641.417,3652.958,674,2996,3715.7,7970.867,16594.12
2022-04-05,14:17:00,3630,3630,3620,3625,3620,3629.5,3635.25,3642.25,3653.083,3290,4099.6,3845.65,8068.167,16600.55
2022-04-05,14:16:00,3615,3630,3615,3630,3621,3631.5,3635.75,3642.833,3653.208,3406,3862,3902.2,8177.483,16601.5
2022-04-05,14:15:00,3615,3615,3610,3615,3623,3632.5,3635.75,3643.417,3653.458,994,7370.2,3937.3,8468.5,16590.67
2022-04-05,14:14:00,3610,3620,3610,3615,3627,3635.5,3636.75,3644.5,3653.875,6616,8077,4277.05,8604,16637.79
2022-04-05,14:13:00,3630,3630,3610,3615,3633,3638,3637,3645.667,3654.375,6192,7225.8,4228.15,8914.55,16657.36
2022-04-05,14:12:00,3640,3640,3630,3630,3639,3640,3637.5,3646.833,3654.917,2102,6113.4,4008.55,8969.15,16644.19
2022-04-05,14:11:00,3635,3640,3615,3640,3642,3641,3637.25,3647.833,3655.375,20947,6056,4073.4,9109.9,16653.51
2022-04-05,14:10:00,3645,3645,3635,3635,3642,3641,3636.75,3648.667,3655.75,4528,1939.8,3211.7,9129,16600.28
2022-04-05,14:09:00,3645,3645,3640,3645,3644,3641.5,3636,3649.667,3656.125,2360,3320,3350.5,9201.417,16611.44
2022-04-05,14:08:00,3645,3645,3640,3645,3643,3641.5,3635.25,3650.417,3656.208,630,3300.6,3328.05,9388.667,16644.31
2022-04-05,14:07:00,3640,3645,3635,3645,3641,3641,3635,3651.167,3656.208,1815,3429.4,3370.6,9893.367,16667.2
2022-04-05,14:06:00,3645,3645,3640,3640,3640,3640,3634.25,3652.167,3656.125,366,3179.8,3383.5,10043.75,16678.63
2022-04-05,14:05:00,3640,3645,3625,3645,3640,3639,3634,3653.5,3656.167,11429,3542.6,3453.25,11211.97,16692.02
2022-04-05,14:04:00,3635,3640,3630,3640,3639,3638,3633.5,3654.75,3656.167,2263,1555.6,3106.55,11806.7,16620.24
2022-04-05,14:03:00,3635,3640,3635,3635,3640,3636,3633.5,3655.833,3656.25,1274,1340.4,3319.95,14816.92,16664.11
2022-04-05,14:02:00,3640,3640,3635,3640,3641,3635,3634.5,3658.083,3656.208,567,1740.2,3604,17688.87,16723.13
2022-04-05,14:01:00,3640,3645,3635,3640,3640,3633.5,3634,3660.333,3656.25,2180,2511,3702.75,24604.1,16767.56
2022-04-05,14:00:00,3640,3645,3640,3640,3638,3632.5,3632.75,3662.667,3656.333,1494,2896.6,5238.4,27677.02,16790.83
2022-04-05,13:59:00,3640,3645,3635,3645,3637,3630.5,3631.75,3664,3656.625,1187,4155.6,6571.2,28829.7,16834.48
2022-04-05,13:58:00,3630,3640,3630,3640,3632,3629,3631.5,3664.333,3657,3273,5045.8,7626.45,29140.68,17006.84
2022-04-05,13:57:00,3630,3635,3630,3635,3629,3629,3632.25,3664.167,3657.292,4421,4751.2,8039.95,29148.6,17145.37
2022-04-05,13:56:00,3635,3635,3625,3630,3627,3628.5,3633.25,3664.333,3657.292,4108,4546.8,7971.55,29122.95,17173.59
2022-04-05,13:55:00,3620,3635,3620,3635,3627,3629,3635,3664.417,3657.375,7789,4467.8,7991.35,29080.28,17515.96
2022-04-05,13:54:00,3620,3625,3620,3620,3624,3629,3636.25,3664.417,3657.292,5638,4370.8,7666.65,28969.48,17687.51
2022-04-05,13:53:00,3630,3630,3620,3625,3626,3631,3638,3664.667,3657.625,1800,3625.4,7665.95,28983.25,17706.52
2022-04-05,13:52:00,3630,3630,3620,3625,3629,3634,3639.5,3665,3657.958,3399,3561.6,7971.8,28985.03,17706.78
2022-04-05,13:51:00,3630,3635,3625,3630,3630,3634.5,3641,3665.5,3658.292,3713,3296.4,8720.35,29008.45,17710.16
2022-04-05,13:50:00,3630,3630,3620,3620,3631,3633,3642.25,3665.833,3658.625,7304,2906,9533.75,28966.28,17739.81
2022-04-05,13:49:00,3640,3640,3630,3630,3634,3633,3645,3666.417,3659.042,1911,2344.2,9805.75,28872.53,17697.38
2022-04-05,13:48:00,3630,3640,3625,3640,3636,3634,3646.5,3666.833,3659.375,1481,3268.2,9823.55,28956.13,17741.63
