날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-06,15:35:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,24569,175475.6,44384.25,14992,8043.167
2022-04-06,15:30:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,13825,170581.8,43198.6,14585.1,7838.467
2022-04-06,15:19:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,838318,167878.2,42507.85,14354.73,7723.433
2022-04-06,15:17:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,216,214.8,592.35,394.4333,752.8167
2022-04-06,15:13:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,450,271.6,586.55,394.3,759.125
2022-04-06,15:12:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,100,201.6,589.05,388.5667,764.075
2022-04-06,15:10:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,307,187.6,584.6,391.1167,763.325
2022-04-06,15:09:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,1,136.2,569.5,386.5167,775.8583
2022-04-06,15:08:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,500,156.2,574.5,387.4,793.6167
2022-04-06,15:04:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,100,256.6,550.5,400.9,790.3083
2022-04-06,15:02:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,30,237,660.15,407.6833,790.975
2022-04-06,15:00:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,50,241,661.95,407.2333,809.8917
2022-04-06,14:59:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,101,238.6,659.5,406.4167,814.475
2022-04-06,14:57:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,1002,379.2,654.95,421.65,822.1333
2022-04-06,14:51:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,2,357,654.85,405.0167,814.625
2022-04-06,14:50:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,50,1622.8,654.85,405.1667,830.1333
2022-04-06,14:49:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,38,1784,652.5,404.6333,863.05
2022-04-06,14:48:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,804,1778.4,652.35,406.0167,863.8083
2022-04-06,14:45:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,891,1619.2,612.2,394.8333,874.6083
2022-04-06,14:43:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,6331,1461,568.2,1196.483,867.625
2022-04-06,14:41:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,856,294.8,251.7,1097.883,820.7417
2022-04-06,14:40:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,10,125.8,253.9,1084.8,813.6167
2022-04-06,14:39:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,8,124.8,278.4,1085.133,815.65
2022-04-06,14:38:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,100,143.4,328,1085.667,817.25
2022-04-06,14:36:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,500,127.4,368,1084.317,833.875
2022-04-06,14:35:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,11,486,371.75,1076.533,849.5083
2022-04-06,14:33:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,5,497,376.2,1076.45,873.7667
2022-04-06,14:32:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,101,496.2,376.1,1082.567,1165.042
2022-04-06,14:31:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,20,478,376.05,1089.217,1174.667
2022-04-06,14:29:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,2293,674,376.8,1089.05,1180.85
2022-04-06,14:28:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,66,215.8,267.55,1055.833,1179.892
2022-04-06,14:25:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,1,203.2,265.25,1057.517,1179.483
2022-04-06,14:21:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,10,210,275.3,1057.517,1180.392
2022-04-06,14:20:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,1000,208.2,294.8,1057.767,1180.7
2022-04-06,14:19:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,2,10.4,254.8,1046.633,1201.658
2022-04-06,14:17:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,3,10.2,259.65,1054.933,1230.817
2022-04-06,14:16:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,35,189.6,289.3,1058.217,1322.3
2022-04-06,14:15:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,1,282.6,287.85,1065.967,1348.267
2022-04-06,14:14:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,11,482.4,315.35,1072.967,1375.658
2022-04-06,14:12:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,1,660.2,315.1,1078.733,1391.333
2022-04-06,14:11:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,900,775,340.05,1078.8,1396.592
2022-04-06,14:10:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,500,615,302.8,1066.633,1478.592
2022-04-06,14:09:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,1000,515.6,277.95,1059.983,1480.85
2022-04-06,14:06:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,900,335.6,262.95,1045,1476.942
2022-04-06,14:05:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,575,162.6,228.35,1030.167,1470.958
2022-04-06,14:04:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,100,69.2,204.9,1027.25,1489.967
2022-04-06,14:03:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,3,53.2,212.55,1026.4,1496.508
2022-04-06,14:02:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,100,93,213.95,1032.2,1496.567
2022-04-06,14:00:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,35,153,211.65,1062.067,1530.9
2022-04-06,13:59:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,108,186,275.4,1061.65,1543.842
2022-04-06,13:58:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,20,184.2,295.35,1078.383,1552.875
2022-04-06,13:57:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,202,299.4,294.5,1079.9,1569.8
2022-04-06,13:56:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,400,260.2,284.45,1093.233,1591.533
2022-04-06,13:55:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,200,290.4,315.2,1089.667,1600.333
2022-04-06,13:54:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,99,251.6,305.4,1094.667,1601.683
2022-04-06,13:53:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,596,331.8,301,1094.8,1603.175
2022-04-06,13:52:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,6,243.6,272.1,1093.2,1609.308
2022-04-06,13:51:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,551,243,277.85,1094.267,1620.217
2022-04-06,13:50:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,6,272.8,256.95,1102.717,1620.875
2022-04-06,13:49:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,500,313.2,2706.15,1102.65,1752.517
2022-04-06,13:48:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,155,234.4,2701.9,1094.333,1786.533
2022-04-06,13:47:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,3,254,2697.7,1091.833,2326.725
2022-04-06,13:46:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,700,259.6,2699.05,1092.133,2445.95
2022-04-06,13:45:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,208,130.4,2666.05,1111.2,2461.6
2022-04-06,13:44:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,106,350.8,2656.6,1123.95,3737.417
2022-04-06,13:40:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,253,431,2652.95,1139.583,3749.983
2022-04-06,13:37:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,31,381,2640.6,1135.533,3756.375
2022-04-06,13:36:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,54,375,2657.65,1165.2,3756.908
2022-04-06,13:34:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,1310,567.2,2679.95,1199.833,3782.942
2022-04-06,13:33:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,507,306,2614.95,1179.717,3777.567
2022-04-06,13:32:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,3,206.8,2604.6,1174.267,3774.183
2022-04-06,13:31:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,1,209.8,2612.8,1212.55,3787.025
2022-04-06,13:30:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,1015,233.8,2612.8,1222.533,3798.158
2022-04-06,13:29:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,4,57.4,2563.3,1222.617,3802.15
2022-04-06,13:28:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,11,9854.6,2579.7,1224.233,3806.025
2022-04-06,13:26:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,18,9935.4,2604.15,1255.1,3880.667
2022-04-06,13:25:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,121,9946,2613.25,1321.467,3885.392
2022-04-06,13:24:00,2300,2300,2300,2300,2300,2300,2300,2300,2300,133,9927.8,2632.2,1321.6,3958.367
