날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-06,15:35:00,10100,10100,10100,10100,10140,10115,10095,10038.67,10015.83,27199,61633.2,38836.75,17456.18,18645.73
2022-04-06,15:30:00,10100,10100,10100,10100,10150,10110,10090,10037,10015.83,140871,101667.2,37781.6,17039.03,18437.48
2022-04-06,15:19:00,10150,10200,10100,10150,10150,10105,10085,10035.33,10015.83,47851,75321.2,31290.8,14822.35,17279.22
2022-04-06,15:18:00,10150,10200,10100,10200,10140,10100,10077.5,10032.83,10015.42,40520,68284.6,29937.6,14109.15,16913.99
2022-04-06,15:17:00,10200,10200,10100,10150,10110,10090,10067.5,10030.33,10014.58,51725,62370.8,28260.35,13482.45,16677.88
2022-04-06,15:16:00,10100,10200,10050,10150,10090,10080,10060,10028.67,10014.17,227369,55882.4,26068.95,12685.88,16272.3
2022-04-06,15:15:00,10050,10100,10050,10100,10070,10075,10052.5,10026.17,10013.33,9141,13073.8,15030.35,9022.117,14410.66
2022-04-06,15:14:00,10050,10100,10050,10100,10060,10075,10050,10026.17,10012.92,12668,20785.8,15534.65,8965.483,14366.44
2022-04-06,15:13:00,10050,10100,10050,10050,10060,10070,10045,10025.33,10012.5,10951,20669.2,15435.3,9120.917,14266.06
2022-04-06,15:12:00,10050,10100,10050,10050,10070,10075,10042.5,10025.33,10012.5,19283,20948.6,14974,9671.85,14191.68
2022-04-06,15:11:00,10050,10100,10050,10050,10070,10075,10040,10025.33,10012.5,13326,20398.6,14240.85,9382.55,14070.93
2022-04-06,15:10:00,10100,10100,10000,10050,10080,10070,10040,10024.5,10012.5,47701,19481.6,13966.85,9201.45,14024.12
2022-04-06,15:09:00,10050,10100,10050,10100,10090,10065,10037.5,10023.67,10012.92,12085,12200.6,11699.4,8430.45,13669.27
2022-04-06,15:08:00,10050,10100,10050,10100,10080,10055,10035,10022.83,10012.5,12348,11017.4,11168.95,8299.083,13712.18
2022-04-06,15:07:00,10100,10100,10050,10050,10080,10045,10030,10022,10012.5,16533,9366.2,10704.55,8290.983,13626.25
2022-04-06,15:06:00,10100,10100,10050,10100,10080,10040,10027.5,10021.17,10012.92,8741,17432.8,9964.25,8443.383,13514.31
2022-04-06,15:05:00,10050,10100,10050,10100,10060,10030,10025,10020.33,10013.33,11296,16903.8,9612.2,8348.25,13452.51
2022-04-06,15:04:00,10050,10100,10050,10050,10040,10025,10020,10019.5,10013.33,6169,16855.6,9284.2,8573.85,13372.06
2022-04-06,15:03:00,10100,10100,10050,10100,10030,10020,10020,10018.67,10013.75,4092,19779.2,9070.9,8557.6,13338.29
2022-04-06,15:02:00,10000,10100,10000,10050,10010,10010,10015,10017,10014.17,56866,20355.8,9084.9,8542.583,13342.44
2022-04-06,15:01:00,10050,10050,10000,10000,10000,10005,10012.5,10017,10014.58,6096,10562,6496.55,7699.317,12889.12
2022-04-06,15:00:00,10050,10050,9990,10000,10000,10010,10012.5,10017.83,10015.42,11055,10662.2,6519.35,8066.45,12893.67
2022-04-06,14:59:00,10050,10050,9990,10000,10010,10010,10012,10017.5,10015.83,20787,12296.6,6300,7964.083,12832.13
2022-04-06,14:58:00,10000,10050,10000,10000,10010,10015,10011,10017,10016.67,6975,10275.4,5737.95,7730.317,12734.73
2022-04-06,14:57:00,10000,10050,10000,10000,10010,10015,10011,10016.5,10017.5,7897,9225.4,5950.85,7681.167,12692.39
2022-04-06,14:56:00,10000,10050,10000,10000,10010,10015,10011,10015.67,10017.92,6597,8570,5692.65,7705.983,12634.35
2022-04-06,14:55:00,10000,10050,10000,10050,10020,10020,10013.5,10015,10018.75,19227,8819.8,5517.5,7666.517,12622.22
2022-04-06,14:54:00,10000,10050,10000,10000,10010,10015,10011,10013.5,10018.75,10681,5444.8,4655.5,7482.183,12479.02
2022-04-06,14:53:00,10000,10050,10000,10000,10020,10020,10013.5,10013,10019.58,1725,3603.8,4226.15,7601.333,12408.49
2022-04-06,14:52:00,10000,10050,10000,10000,10020,10020,10016,10012.33,10020,4620,3870.8,4411.5,8364.933,12440.11
2022-04-06,14:51:00,10000,10050,10000,10050,10020,10020,10016,10010.67,10020.42,7846,3292.2,4379.25,8983.867,12424.2
2022-04-06,14:50:00,10000,10050,10000,10000,10020,10015,10013.5,10008.67,10020.42,2352,2063,4102.15,9116.083,12389.98
2022-04-06,14:49:00,10050,10050,10000,10050,10020,10014,10013.5,10007.67,10021.25,1476,2539.8,4802.95,9626.033,12399.54
2022-04-06,14:48:00,10000,10050,10000,10000,10020,10007,10011,10006,10021.67,3060,2625.2,7031.45,9855.45,12421.69
2022-04-06,14:47:00,10000,10050,10000,10000,10020,10007,10011,10005.33,10022.5,1727,2887.6,7015.1,10061.82,12482.24
2022-04-06,14:46:00,10000,10050,10000,10050,10020,10007,10011,10004.5,10023.75,1700,3562,7079.65,10341.3,12481.08
2022-04-06,14:45:00,10050,10050,10000,10000,10010,10007,10008.5,10003.33,10024.17,4736,4532.4,7171.7,10586.13,12490.52
2022-04-06,14:44:00,10050,10050,10000,10050,10008,10007,10008.5,10003.17,10025,1903,4918.8,6969.6,10601.32,12577.9
2022-04-06,14:43:00,10050,10050,10000,10000,9994,10007,10006,10002.33,10025.42,4372,6447.4,7074.95,10623.48,12582.97
2022-04-06,14:42:00,10000,10050,10000,10000,9994,10012,10006,10002.17,10026.25,5099,7819.6,7008.2,10641.82,12602.45
2022-04-06,14:41:00,9990,10050,9990,10000,9994,10012,10008.5,10002,10027.08,6552,7346.4,7035.25,10743.8,12622.47
2022-04-06,14:40:00,9980,10000,9980,9990,10004,10012,10008.5,10001.83,10027.92,6668,6654.8,6816.15,10790.1,12582.85
2022-04-06,14:39:00,10000,10000,9980,9980,10006,10013,10009,10001.83,10028.83,9546,5718.6,6876.25,11026.75,12560.54
2022-04-06,14:38:00,10050,10050,9990,10000,10020,10015,10010,10002,10029.83,11233,4228.2,6651.9,11313.27,12498.03
2022-04-06,14:37:00,10000,10050,10000,10000,10030,10015,10012.5,10002,10030.25,2733,3068,6236.15,11414.68,12437.46
2022-04-06,14:36:00,10000,10050,10000,10050,10030,10015,10015,10001.83,10031.08,3094,3316.4,6296.05,11786.33,12445.73
2022-04-06,14:35:00,10000,10050,10000,10000,10020,10010,10012.5,10000.5,10031.5,1987,3158.4,6518.5,11998.78,12468.5
2022-04-06,14:34:00,10000,10050,10000,10050,10020,10010,10017.5,9999.667,10031.92,2094,6034.6,6706.3,12235.72,12621.11
2022-04-06,14:33:00,10000,10050,9990,10050,10010,10005,10017.5,9997.667,10032.33,5432,14825,7701.3,12469.13,12642.85
2022-04-06,14:32:00,10000,10050,9990,10000,10000,10000,10017.5,9995.833,10032.75,3975,14285.2,9630.05,12627.07,12648
2022-04-06,14:31:00,10000,10050,9990,10000,10000,10005,10020,9994.833,10033.58,2304,14093.8,9527.55,12889.4,12767.09
2022-04-06,14:30:00,10000,10050,9990,10000,10000,10005,10020,9994,10034.83,16368,14341.2,9535.35,13674.63,12784.39
2022-04-06,14:29:00,10000,10050,10000,10000,10000,10005,10020,9993.167,10036.5,46046,11206.4,8789,14788.17,12699.13
2022-04-06,14:28:00,10000,10050,10000,10000,10000,10005,10022.5,9991.5,10037.75,2733,2799.2,6696.85,15320.7,12386.01
2022-04-06,14:27:00,10050,10050,10000,10000,10000,10010,10025,9990.5,10039,3018,2860,7153.3,18827.67,12409.36
2022-04-06,14:26:00,10050,10050,10000,10000,10010,10015,10025,9991.333,10040.67,3541,3384.4,8286.25,18976.25,12444.78
2022-04-06,14:25:00,10000,10050,10000,10000,10010,10015,10027.5,9991.333,10041.92,694,3110.2,8260.85,19056.7,12449.93
2022-04-06,14:24:00,10050,10050,10000,10000,10010,10025,10030,9991.333,10043.17,4010,4545.4,9467.75,19518.83,12475.31
