날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-08,15:35:00,8200,8200,8200,8200,8240,8258,8251,8270.833,8325.417,2444,9658.6,3859.7,2267.8,2487.975
2022-04-08,15:30:00,8200,8200,8200,8200,8254,8264,8254,8272.333,8328.167,30551,9931.4,3858.4,2233.433,2537.742
2022-04-08,15:19:00,8250,8280,8240,8250,8270,8270,8256.5,8274.167,8331.333,7357,4397.6,2350.7,1734.883,2297.033
2022-04-08,15:18:00,8270,8280,8240,8270,8278,8270,8256.5,8274.833,8334.25,6653,3705.8,1988.6,1626.4,2238.867
2022-04-08,15:17:00,8270,8280,8270,8280,8280,8266,8256,8275.167,8337,1288,2932.4,1662.4,1526.483,2187.958
2022-04-08,15:16:00,8300,8300,8270,8270,8276,8261,8254,8275.333,8339.667,3808,3079.2,1768,1514.25,2188.717
2022-04-08,15:15:00,8290,8290,8280,8280,8274,8257,8252.5,8275.667,8342.417,2882,2582.8,1717.9,1463.4,2172.375
2022-04-08,15:14:00,8290,8300,8280,8290,8270,8254,8250,8275.667,8344.833,3898,2633.8,1755.8,1418.25,2193.842
2022-04-08,15:13:00,8270,8290,8270,8280,8262,8249,8247.5,8275.5,8347.083,2786,1997.2,1768.9,1366.867,2225.525
2022-04-08,15:12:00,8260,8270,8250,8260,8252,8246,8246,8275.833,8349.75,2022,1788.8,1825.1,1336.8,2217.367
2022-04-08,15:11:00,8270,8270,8260,8260,8246,8244,8245.5,8276,8352.667,1326,1496.2,1891.45,1325.333,2238.217
2022-04-08,15:10:00,8250,8270,8250,8260,8240,8244,8246.5,8276,8355.583,3137,1704.6,1828.85,1349.05,2238.492
2022-04-08,15:09:00,8240,8250,8230,8250,8238,8243,8247.5,8276,8358.583,715,1283.6,1720.5,1353.767,2226.275
2022-04-08,15:08:00,8240,8240,8230,8230,8236,8243,8248.5,8276,8361.833,1744,1415,1718.9,1363.733,2240.6
2022-04-08,15:07:00,8240,8240,8230,8230,8240,8246,8251,8276.333,8365,559,1098,1645.7,1362.1,2263.233
2022-04-08,15:06:00,8240,8250,8230,8230,8242,8247,8253,8276.667,8368.167,2368,1204.8,1704.95,1525.45,2482.842
2022-04-08,15:05:00,8240,8250,8230,8250,8248,8248,8255,8277.667,8372.083,1032,1214.8,1641.75,1542.817,2477.425
2022-04-08,15:04:00,8250,8250,8240,8240,8248,8246,8255.5,8278.667,8376,1372,1087.8,1750.55,1537.883,2472.683
2022-04-08,15:03:00,8250,8250,8240,8250,8250,8246,8256.5,8279.833,8380.167,159,836.4,1688.15,1569.867,2467.408
2022-04-08,15:02:00,8260,8260,8240,8240,8252,8246,8257,8280.833,8384.25,1093,830.4,1694.75,1573.083,2471.158
2022-04-08,15:01:00,8250,8270,8240,8260,8252,8247,8257.5,8282,8388.333,2418,1291.8,1662.4,1564.2,2473.633
2022-04-08,15:00:00,8250,8260,8250,8250,8248,8249,8257.5,8283.167,8392.167,397,1369.4,1596.95,1528.017,2478.625
2022-04-08,14:59:00,8250,8260,8250,8250,8244,8252,8258,8284.167,8396.167,115,2018,1733.2,1548.45,2486.533
2022-04-08,14:58:00,8240,8270,8230,8260,8242,8254,8259,8285.667,8400.167,129,2827,1884.45,1575.8,2494.167
2022-04-08,14:57:00,8240,8260,8230,8240,8240,8256,8260,8287,8404.25,3400,3583.2,1921.95,1582.283,2493.108
2022-04-08,14:56:00,8230,8240,8230,8240,8242,8259,8262.5,8288.5,8408.5,2806,3573,1847.65,1553.967,2466.167
2022-04-08,14:55:00,8230,8240,8220,8230,8250,8262,8265.5,8289.833,8412.667,3640,3026.6,1783.05,1532.483,2443.492
2022-04-08,14:54:00,8250,8250,8230,8240,8260,8265,8270,8291.5,8417,4160,2492.6,1703.35,1497.817,2464.192
2022-04-08,14:53:00,8260,8260,8250,8250,8266,8267,8274,8293.5,8421.167,3910,1797.2,1522.65,1454.967,2452.467
2022-04-08,14:52:00,8280,8280,8250,8250,8272,8268,8277.5,8295.5,8425.417,3349,1071.2,1335.9,1417.633,2427.225
2022-04-08,14:51:00,8280,8280,8270,8280,8276,8268,8280.5,8297.5,8429.417,74,750.2,1205.15,1417.883,2415.875
2022-04-08,14:50:00,8270,8280,8270,8280,8274,8266,8283,8298.833,8433.167,970,956.2,1212.8,1578.4,2423.825
2022-04-08,14:49:00,8280,8280,8270,8270,8270,8264,8284.5,8299,8436.833,683,1403.8,1192.25,1832.183,2442.625
2022-04-08,14:48:00,8280,8280,8270,8280,8268,8264,8287.5,8300.5,8441.083,280,1292,1291,1938.65,2447.158
2022-04-08,14:47:00,8270,8280,8260,8270,8264,8264,8289.5,8302.167,8444.833,1744,1294.2,1311.95,1958.233,2493.842
2022-04-08,14:46:00,8260,8270,8260,8270,8260,8266,8292.5,8303.833,8448.75,1104,1034.6,1237.2,2017.217,2501.825
