날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-08,15:35:00,8020,8020,8020,8020,8032,8034,8020.5,7980.833,7943.333,2744,11223,8856.5,5738.033,4367.15
2022-04-08,15:30:00,8020,8020,8020,8020,8040,8033,8020.5,7979.667,7942,33193,15300.4,8891.05,5771.433,4353.642
2022-04-08,15:19:00,8030,8050,8020,8040,8042,8033,8020.5,7978.167,7940.667,8458,9753,7562.85,5241.3,4102.117
2022-04-08,15:18:00,8050,8050,8020,8020,8040,8029,8019,7976,7939.083,7251,9090,7346.8,5138.717,4098.608
2022-04-08,15:17:00,8060,8060,8040,8060,8042,8031,8018.5,7974.333,7937.833,4469,9270.2,7225.55,5041.383,4058.933
2022-04-08,15:16:00,8030,8070,8020,8060,8036,8023,8016,7971.667,7936.167,23131,9257,7305.25,5008.683,4043.492
2022-04-08,15:15:00,8030,8040,8020,8030,8026,8017,8011.5,7969.333,7934.5,5456,5878.6,6263.9,4653.517,3896.792
2022-04-08,15:14:00,8040,8040,8030,8030,8024,8014,8009,7967.667,7933.167,5143,5794.8,6397.7,4579.3,3864.808
2022-04-08,15:13:00,8030,8050,8030,8030,8018,8011,8007,7966,7931.917,8152,8120.6,6355.45,4539.683,3831.783
2022-04-08,15:12:00,8010,8030,8010,8030,8020,8009,8005.5,7964.167,7930.583,4403,9898,6409.15,4531.283,3794.467
2022-04-08,15:11:00,8020,8030,8010,8010,8010,8007,8004.5,7961.333,7929.167,6239,9984.8,8022.65,4684.4,3835.025
2022-04-08,15:10:00,8030,8030,8010,8020,8008,8008,8002,7960,7928,5037,9168.2,7915.4,4589.217,3921.208
2022-04-08,15:09:00,8040,8040,8000,8000,8004,8008,7999.5,7958.667,7926.917,16772,8598.4,7687.25,4509.217,3986.583
2022-04-08,15:08:00,7990,8040,7980,8040,8004,8009,7998,7957.5,7926,17039,5923.6,6916.15,4231.767,3886.925
2022-04-08,15:07:00,8010,8010,7980,7980,7998,8006,7994,7955.667,7924.75,4837,5481.4,6270.3,3960.933,3756.8
2022-04-08,15:06:00,8000,8010,7990,8000,8004,8009,7992.5,7954.833,7924.083,2156,4961.2,6033.15,3902.65,3743.65
2022-04-08,15:05:00,8000,8010,8000,8000,8008,8006,7990.5,7953.667,7923.25,2188,5217,6145,3876.75,3765.883
2022-04-08,15:04:00,8010,8010,8000,8000,8012,8004,7988.5,7952.167,7922.5,3398,6105.2,6088.55,3849.233,3752.283
2022-04-08,15:03:00,8010,8020,7990,8010,8014,8003,7986.5,7950.833,7921.75,14828,6253,6053.35,3825.45,3733.575
2022-04-08,15:02:00,8020,8020,8010,8010,8014,8002,7984.5,7949.333,7920.917,2236,4252.6,5571.1,3600.833,3624.2
2022-04-08,15:01:00,8020,8030,8010,8020,8014,8002,7981.5,7947.833,7920.083,3435,5018,5501.7,3597.983,3638.583
2022-04-08,15:00:00,8010,8020,8010,8020,8004,7996,7977.5,7946.5,7919.25,6629,4791.8,5355.5,3590.25,3634.1
2022-04-08,14:59:00,8010,8020,8010,8010,7996,7991,7974,7945.333,7918.167,4137,5092.4,5092.9,3571.25,3626.2
2022-04-08,14:58:00,8010,8020,8010,8010,7992,7987,7970,7944.667,7917.25,4826,5124.6,4914.35,3989.633,3620.525
2022-04-08,14:57:00,7970,8010,7970,8010,7990,7982,7966,7943.333,7916.25,6063,6004.6,4712.75,4044.7,3605.825
2022-04-08,14:56:00,7970,8000,7970,7970,7990,7976,7962.5,7941.667,7915.333,2304,12126.6,4529.3,3943.85,3589.167
2022-04-08,14:55:00,7980,7980,7960,7980,7988,7975,7961,7940.5,7914.75,8132,12484.6,4515.35,4023.867,3602.275
2022-04-08,14:54:00,8000,8000,7990,7990,7986,7973,7959.5,7939,7914.25,4298,10953,4250.85,3915.217,3548.642
2022-04-08,14:53:00,8010,8020,8000,8000,7982,7970,7957,7937,7913.667,9226,10363.4,4065.65,3851.45,3525.942
2022-04-08,14:52:00,7960,8030,7960,8010,7974,7967,7953.5,7934.833,7912.833,36673,9342.6,3732.75,3710.45,3482.933
2022-04-08,14:51:00,7960,7970,7950,7960,7962,7961,7950,7932.667,7912.083,4094,2026.8,2013.9,3116.917,3202.825
2022-04-08,14:50:00,7960,7970,7960,7970,7962,7959,7948.5,7931.5,7911.667,474,2086.6,1894.55,3102.683,3176.733
2022-04-08,14:49:00,7960,7970,7960,7970,7960,7957,7946.5,7930,7911.167,1350,2203.6,2110.9,3146.35,3175.808
2022-04-08,14:48:00,7950,7960,7950,7960,7958,7953,7944,7928.667,7910.833,4122,2472.4,2077.7,3213.183,3179.183
2022-04-08,14:47:00,7960,7960,7940,7950,7960,7950,7943,7927.333,7910.417,94,2684.6,1925.95,3164.817,3159.983
2022-04-08,14:46:00,7960,7960,7940,7960,7960,7949,7942,7926.333,7910.083,4393,2835.4,2106.9,3185.9,3177.758
2022-04-08,14:45:00,7960,7960,7960,7960,7956,7947,7941,7925,7909.667,1059,2059,1983.8,3144.917,3172.55
2022-04-08,14:44:00,7970,7980,7960,7960,7954,7946,7941,7923.833,7909,2694,2122.6,2010.85,3151.033,3204.383
2022-04-08,14:43:00,7940,7970,7940,7970,7948,7944,7940,7923,7908.333,5183,1697,2576.35,3128.783,3350.058
2022-04-08,14:42:00,7950,7950,7940,7950,7940,7940,7939.5,7922.167,7907.75,848,819.2,2598.45,3097.5,3400.742
2022-04-08,14:41:00,7940,7950,7940,7940,7938,7939,7940.5,7922,7907.583,511,1128.4,2855.9,3272.733,3411.125
2022-04-08,14:40:00,7940,7950,7940,7950,7938,7938,7941,7921,7907.583,1377,1431.2,3067.75,3298.867,3418.108
2022-04-08,14:39:00,7930,7940,7930,7930,7938,7936,7940,7919.833,7907.5,566,1724.2,3068.15,3329.25,3416.825
