날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-08,15:35:00,4350,4350,4350,4350,4310,4292,4301.5,4411.917,4395.333,34700,99487.4,74938.65,96583.7,136969.1
2022-04-08,15:30:00,4350,4350,4350,4350,4300,4286,4302,4415.417,4395.208,235660,108190.2,79282.55,100061.3,140098.6
2022-04-08,15:19:00,4290,4315,4265,4265,4283,4281,4303.5,4418.417,4395.833,125611,73602.4,81986.85,98709.7,143682.8
2022-04-08,15:18:00,4300,4305,4275,4290,4279,4284.5,4304,4422.083,4397.625,51930,63879.6,81122.15,98647.57,145057.3
2022-04-08,15:17:00,4300,4310,4285,4295,4272,4285.5,4306,4425.75,4399.5,49536,69976.6,81892.45,99506.92,147577.1
2022-04-08,15:16:00,4275,4320,4275,4300,4274,4285.5,4306.5,4429.583,4401.708,78214,86416,84968.6,100545.1,153547.6
2022-04-08,15:15:00,4245,4280,4235,4265,4272,4288,4309,4433.25,4403.875,62721,82547.2,93386.05,107064.8,155695.6
2022-04-08,15:14:00,4255,4275,4235,4245,4279,4294,4313.75,4436.5,4406.792,76997,78666.2,103479.3,108617.9,164652.6
2022-04-08,15:13:00,4305,4305,4240,4255,4290,4297,4322,4440.917,4406.958,82415,72880.4,114850.5,109102.2,165502.5
2022-04-08,15:12:00,4285,4310,4255,4305,4299,4304.5,4333.25,4444.917,4406.958,131733,61651,114263.9,111635.4,168460.9
2022-04-08,15:11:00,4295,4305,4285,4290,4297,4311,4343.5,4448.583,4406.208,58870,50502.6,111611.2,111515.8,167873.7
2022-04-08,15:10:00,4300,4310,4290,4300,4304,4318,4354.5,4452.667,4405.417,43316,46067.2,113032.4,113386.7,168736.9
2022-04-08,15:09:00,4300,4330,4295,4300,4309,4326,4366.5,4456.667,4404.792,48068,54203.8,128769.6,115616.8,169789.4
2022-04-08,15:08:00,4295,4305,4285,4300,4304,4323.5,4376.5,4461.25,4403.875,26268,59638,129628.4,118517.3,171257
2022-04-08,15:07:00,4325,4325,4280,4295,4310,4326.5,4385,4466,4403.5,75991,64610,129616.4,129053.2,173503.8
2022-04-08,15:06:00,4325,4335,4315,4325,4325,4327.5,4395,4471,4402.333,36693,63348.6,128561.5,134484,174667.6
2022-04-08,15:05:00,4275,4330,4245,4325,4332,4330,4403.75,4475.083,4400.458,83999,80325.6,129058.1,138550.6,175929
2022-04-08,15:04:00,4330,4350,4270,4275,4343,4333.5,4411.75,4479.25,4398.458,75239,121475,126677.1,152055.4,176380.4
2022-04-08,15:03:00,4365,4370,4330,4330,4343,4347,4422.75,4482,4396.833,51128,128090.6,125555.3,153658.9,176624
2022-04-08,15:02:00,4360,4380,4340,4370,4343,4362,4431.5,4483.25,4394.083,69684,131332.2,129121.4,156529.4,177069.6
2022-04-08,15:01:00,4370,4390,4335,4360,4330,4376,4434.75,4484.333,4390.875,121578,139607.2,134675.3,161104.5,177282.1
2022-04-08,15:00:00,4275,4390,4220,4380,4328,4391,4442.5,4485.917,4387.833,289746,164604.2,133954.8,173885.2,178140.1
2022-04-08,14:59:00,4325,4335,4270,4275,4324,4407,4449.25,4484.333,4384.917,108317,159572.2,124886.3,171146,177203.9
2022-04-08,14:58:00,4315,4340,4290,4330,4351,4429.5,4458.75,4483.25,4383.583,67336,198793,122243.7,170404.2,177981.9
2022-04-08,14:57:00,4330,4340,4295,4305,4381,4443.5,4465.75,4481.667,4381.917,111059,199462.2,120590.9,169967.6,178547.7
2022-04-08,14:56:00,4365,4380,4265,4350,4422,4462.5,4474.5,4480.5,4380.75,246563,192986.4,116922.1,168744.3,178914.2
2022-04-08,14:55:00,4415,4435,4315,4360,4454,4477.5,4480.75,4478.833,4379.292,264586,161132.6,107760,165579.5,179507.9
2022-04-08,14:54:00,4480,4480,4350,4410,4490,4490,4487.75,4476.667,4377.792,304421,179827.4,95636.45,162199.1,181456.8
2022-04-08,14:53:00,4515,4515,4470,4480,4508,4498.5,4492,4474,4377.208,70682,131991.8,82512.6,158030.1,188732.1
2022-04-08,14:52:00,4510,4515,4480,4510,4506,4501,4491.5,4470.417,4373.958,78680,123061.2,83261.65,157212.6,192332.2
2022-04-08,14:51:00,4545,4545,4500,4510,4503,4493.5,4492.25,4466.167,4369.25,87294,118303.6,81632.35,156385.6,193413
2022-04-08,14:50:00,4500,4575,4500,4540,4501,4494,4492.5,4462.417,4363.958,358060,110170,79629.2,155597.3,194041.1
2022-04-08,14:49:00,4470,4500,4460,4500,4490,4491.5,4491.75,4457.833,4357.083,65243,45833.8,65029.65,151095.4,191311.1
2022-04-08,14:48:00,4490,4500,4465,4470,4489,4488,4492.75,4454.25,4350.208,26029,43345.6,64515.2,151621.8,190767.8
2022-04-08,14:47:00,4500,4505,4470,4495,4496,4488,4494.5,4451.917,4343.583,54892,62629.8,65565.9,153064.1,190551
2022-04-08,14:46:00,4490,4500,4485,4500,4484,4486.5,4494,4448.5,4336.75,46626,87803.8,67539.35,153502.7,190094.4
2022-04-08,14:45:00,4500,4500,4480,4485,4487,4484,4496,4444.75,4329.875,36379,99912.2,73456.6,155836.1,189705.9
2022-04-08,14:44:00,4500,4510,4490,4495,4493,4485.5,4495.5,4442,4323.125,52802,114311.8,80189.35,159404.6,189403
2022-04-08,14:43:00,4435,4510,4430,4505,4487,4485.5,4495.25,4437.417,4316.25,122450,114844.2,81911.65,160956.1,188963
2022-04-08,14:42:00,4510,4510,4420,4435,4480,4482,4496.25,4431.833,4309.292,180762,97210.4,80323.9,160991.3,187943
2022-04-08,14:41:00,4515,4525,4505,4515,4489,4491,4499.5,4426.333,4302.917,107168,68594.6,80137.2,160599.1,186438.2
2022-04-08,14:40:00,4470,4515,4455,4515,4481,4491,4501.75,4422.333,4295.958,108377,59825.2,86946.5,160259.4,185545.1
2022-04-08,14:39:00,4470,4480,4465,4465,4478,4492,4502.5,4418.5,4288.958,55464,42572.8,89255.95,160878.5,184642
2022-04-08,14:38:00,4480,4490,4470,4470,4484,4497.5,4503.5,4415.667,4282.333,34281,39868.8,92576.9,161836.1,184181.4
2022-04-08,14:37:00,4480,4490,4475,4480,4484,4501,4505.5,4413.833,4275.708,37683,50145.2,96037.4,161981,183895.9
2022-04-08,14:36:00,4495,4500,4475,4475,4493,4501.5,4507.75,4411.833,4269,63321,51827.4,99744.45,162307,183581.9
2022-04-08,14:35:00,4495,4510,4490,4500,4501,4508,4510,4409.833,4262.417,22115,48609.4,120048.3,162138.8,183058.9
2022-04-08,14:34:00,4470,4520,4470,4495,4506,4505.5,4508,4408,4255.542,41944,57400.2,126737.8,162626.3,182874.9
2022-04-08,14:33:00,4520,4525,4470,4470,4511,4505,4508.75,4406.25,4248.708,85663,60002.2,129943.6,163641.2,182525.4
2022-04-08,14:32:00,4515,4525,4500,4525,4518,4510.5,4510,4404.583,4242.083,46094,52278.2,137380.7,163318.4,181815.4
2022-04-08,14:31:00,4525,4530,4505,4515,4510,4508,4510,4401.833,4235.083,47231,61931.6,141303.8,164661.1,181431.6
2022-04-08,14:30:00,4520,4530,4495,4525,4515,4512.5,4511,4399.667,4228.083,66069,85479.6,147498.4,165676.2,181039
2022-04-08,14:29:00,4505,4530,4500,4520,4505,4513,4511.75,4397.917,4221,54954,106472.6,153051,166569.4,180488.4
2022-04-08,14:28:00,4495,4510,4485,4505,4499,4509.5,4514.5,4395.5,4213.958,47043,112931.4,161408.2,166976.1,180031.5
2022-04-08,14:27:00,4540,4540,4485,4485,4503,4510,4518.5,4393,4207.125,94361,121661.8,191977.2,168012.6,179640.5
2022-04-08,14:26:00,4480,4555,4480,4540,4506,4514,4524,4391.083,4200.458,164971,138195.2,207351.2,167650.5,178854.5
2022-04-08,14:25:00,4495,4515,4450,4475,4510,4512,4525.5,4388.5,4193.25,171034,153871.8,213137.2,166510.8,177480
2022-04-08,14:24:00,4520,4525,4485,4490,4521,4510.5,4530.5,4387,4186.583,87248,150578.2,249299.8,166076.8,176054.9
2022-04-08,14:23:00,4500,4535,4485,4525,4520,4512.5,4528,4385.583,4179.792,90695,157505.2,253509.7,170971.5,175327.9
2022-04-08,14:22:00,4560,4570,4480,4500,4517,4509.5,4522,4382.25,4172.792,177028,160064.4,260142.8,172225.7,174572.1
2022-04-08,14:21:00,4525,4575,4515,4560,4522,4512,4518.75,4378.75,4165.917,243354,147023.6,268501,177354.5,173097.1
2022-04-08,14:20:00,4485,4540,4485,4530,4514,4509.5,4513.5,4375,4158.625,154566,192232.4,300754.5,180135.9,171069.2
2022-04-08,14:19:00,4510,4515,4460,4485,4500,4510.5,4501.25,4373.25,4151.5,121883,192500.2,299295.9,188655.9,169781.4
2022-04-08,14:18:00,4530,4540,4490,4510,4505,4519.5,4487.5,4373.167,4144.75,103491,189335.6,296391.9,191467,168765.8
2022-04-08,14:17:00,4520,4530,4490,4525,4502,4527,4473.75,4373.25,4137.792,111824,215518.2,293274.5,195647.2,167903.6
2022-04-08,14:16:00,4460,4545,4395,4520,4502,4534,4459.25,4373.833,4130.708,469398,218064.6,289566.5,206550.2,166972
