날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-19,15:35:00,18750,18750,18750,18750,18720,18750,18772.5,18739.17,18693.33,29637,77109.4,37061.45,27255.83,26591.08
2022-04-19,15:30:00,18750,18750,18750,18750,18710,18755,18775,18744.17,18693.33,156487,79363.2,36397.7,28637.58,26513.17
2022-04-19,15:19:00,18700,18800,18650,18750,18720,18755,18775,18750,18693.75,57121,51999.8,30132.8,29531.9,25273.21
2022-04-19,15:18:00,18650,18750,18600,18700,18730,18760,18775,18757.5,18694.17,59443,42691.8,27702.3,32229.05,25040.2
2022-04-19,15:17:00,18700,18750,18600,18650,18750,18780,18777.5,18763.33,18695.42,82859,33383.6,25801.85,33883.82,25276.98
2022-04-19,15:16:00,18750,18850,18700,18700,18780,18805,18782.5,18765.83,18696.25,40906,19491.4,22106.9,33177.78,24871.45
2022-04-19,15:15:00,18800,18850,18750,18800,18800,18825,18782.5,18768.33,18695.42,19670,14992,20871.8,33281.52,24568.2
2022-04-19,15:14:00,18850,18850,18800,18800,18790,18815,18772.5,18770.83,18694.17,10581,15104.6,21284.1,34223.57,24419.77
2022-04-19,15:13:00,18800,18850,18750,18800,18790,18805,18767.5,18773.33,18692.5,12902,15562.6,21567.2,35247.65,24359.52
2022-04-19,15:12:00,18800,18850,18750,18800,18810,18800,18765,18774.17,18691.25,13398,21144,21380.05,37105.6,24333.68
2022-04-19,15:11:00,18800,18850,18750,18800,18830,18795,18765,18775,18690,18409,26826,21542.9,38122.55,24258.11
2022-04-19,15:10:00,18800,18850,18750,18750,18850,18795,18760,18772.5,18688.75,20233,38219.2,20853.8,37966.05,24141.29
2022-04-19,15:09:00,18900,18900,18800,18800,18840,18795,18760,18770.83,18687.92,12871,36620.4,20254.3,37689.13,24017.63
2022-04-19,15:08:00,18900,18950,18850,18900,18820,18790,18755,18768.33,18686.25,40809,38366.4,20083.5,37596.27,24097.03
2022-04-19,15:07:00,18900,18950,18850,18900,18790,18775,18747.5,18763.33,18684.17,41808,31344.8,19436.95,37261.83,23846.73
2022-04-19,15:06:00,18700,18900,18700,18900,18760,18760,18735,18758.33,18682.5,75375,24819,18460.8,36792.1,23556.43
2022-04-19,15:05:00,18650,18700,18650,18700,18740,18740,18722.5,18752.5,18680.83,12239,13016.4,15201.25,35608.57,23311.35
2022-04-19,15:04:00,18750,18750,18650,18700,18750,18730,18722.5,18750,18681.25,21601,16806.4,14840.75,35484.15,23581.75
2022-04-19,15:03:00,18750,18750,18700,18750,18760,18730,18722.5,18747.5,18680.83,5701,14188.4,13892.65,35199.22,23561.31
2022-04-19,15:02:00,18800,18800,18700,18750,18760,18730,18720,18745,18679.17,9179,17335,14428.4,35137.02,23586.1
2022-04-19,15:01:00,18750,18800,18700,18800,18760,18735,18720,18742.5,18677.08,16362,17291.2,14477.7,35172.98,23637.38
2022-04-19,15:00:00,18750,18750,18650,18750,18740,18725,18715,18738.33,18674.58,31189,17259.6,13987.7,34977.03,23586.66
2022-04-19,14:59:00,18700,18800,18700,18750,18710,18725,18712.5,18735,18672.5,8511,16605,12744.75,34535.42,23397.03
2022-04-19,14:58:00,18750,18800,18700,18750,18700,18720,18712.5,18731.67,18669.58,21434,18151.4,13092.7,34441.38,23654.4
2022-04-19,14:57:00,18750,18750,18650,18750,18700,18720,18707.5,18729.17,18667.08,8960,15696.4,12422,34277.97,23507.58
2022-04-19,14:56:00,18600,18750,18600,18700,18710,18710,18702.5,18725,18664.58,16204,17235.4,12606.2,34265.38,23587.74
2022-04-19,14:55:00,18700,18700,18600,18600,18710,18705,18700,18721.67,18662.08,27916,14920,13621.75,34122.53,23584.6
2022-04-19,14:54:00,18800,18800,18650,18700,18740,18715,18700,18720,18660.42,16243,10985.4,14368.85,33722.08,24029.14
2022-04-19,14:53:00,18750,18800,18750,18750,18740,18715,18700,18716.67,18658.33,9159,9627.8,13941.25,33487.4,23932.18
2022-04-19,14:52:00,18700,18800,18700,18800,18740,18710,18697.5,18712.5,18655.83,16655,13371.6,13790.15,33444.98,23909.18
2022-04-19,14:51:00,18750,18750,18700,18700,18710,18705,18692.5,18708.33,18653.33,4627,14497.6,14860.35,33290.93,23866.05
2022-04-19,14:50:00,18700,18750,18700,18750,18700,18705,18697.5,18704.17,18651.67,8243,15609,15421.6,33335.33,24496.78
2022-04-19,14:49:00,18750,18750,18650,18700,18690,18700,18697.5,18700,18649.58,9455,14966.2,15713.35,33673.07,24510.73
2022-04-19,14:48:00,18650,18800,18600,18750,18690,18705,18697.5,18695.83,18647.92,27878,13603,15723.6,34000.13,24675.47
2022-04-19,14:47:00,18650,18700,18600,18650,18680,18695,18695,18691.67,18646.25,22285,11310.6,14941,33703.93,24481.35
2022-04-19,14:46:00,18750,18750,18650,18650,18700,18695,18697.5,18689.17,18645.83,10184,8886.6,17401.8,33725,24320.6
2022-04-19,14:45:00,18700,18750,18700,18700,18710,18695,18707.5,18688.33,18645,5029,8162.2,17830.9,33620.23,24287.24
2022-04-19,14:44:00,18750,18750,18700,18700,18710,18685,18712.5,18686.67,18644.17,2639,8422.4,19496.1,33610.62,24273.86
2022-04-19,14:43:00,18750,18800,18700,18700,18720,18685,18710,18685,18642.92,16416,10988.6,23066.2,33658.62,24270.86
2022-04-19,14:42:00,18650,18750,18650,18750,18710,18685,18717.5,18683.33,18642.08,10165,9309.4,24120.1,33441.83,24327.42
2022-04-19,14:41:00,18700,18700,18650,18700,18690,18680,18725,18680,18640.83,6562,9805.2,30228.35,33308.48,24254.06
2022-04-19,14:40:00,18700,18750,18650,18700,18680,18690,18742.5,18678.33,18640.42,6330,15795.8,35527.35,33307.78,24212.28
2022-04-19,14:39:00,18600,18750,18600,18750,18660,18695,18762.5,18677.5,18640,15470,23101.4,45718.15,33248.53,24282.23
2022-04-19,14:38:00,18650,18700,18600,18650,18650,18690,18785,18675.83,18639.58,8020,21545.6,55892.15,33017.43,24221.94
2022-04-19,14:37:00,18650,18700,18600,18650,18660,18695,18805,18675,18640,12644,21169,63427.6,32956.52,24177.45
2022-04-19,14:36:00,18600,18650,18550,18650,18670,18700,18812.5,18674.17,18640.42,36515,26252,64820.25,32788.07,24092.19
2022-04-19,14:35:00,18700,18750,18600,18600,18700,18720,18822.5,18674.17,18640.42,42858,22119.4,65351,32273.05,23890.22
2022-04-19,14:34:00,18700,18750,18700,18700,18730,18740,18840,18674.17,18640.83,7691,16363.4,67017.75,31602.03,23648.63
2022-04-19,14:33:00,18650,18750,18650,18700,18730,18735,18852.5,18673.33,18640,6137,16757.2,70234.5,31542.37,23680.59
2022-04-19,14:32:00,18750,18800,18650,18700,18730,18750,18860,18672.5,18639.17,38059,17975,76146.6,31625.72,23663.32
2022-04-19,14:31:00,18750,18800,18750,18800,18730,18770,18867.5,18670.83,18637.92,15852,24663.4,77964.4,31204.8,23375.56
2022-04-19,14:30:00,18700,18800,18700,18750,18740,18795,18860,18668.33,18635.83,14078,25246.2,77622.75,30996.85,23262.46
2022-04-19,14:29:00,18750,18800,18700,18700,18750,18830,18855,18666.67,18634.58,9660,30097.2,77099.75,30856.85,23167.57
2022-04-19,14:28:00,18750,18750,18700,18700,18740,18880,18852.5,18665,18634.17,12226,42973.4,76981.7,30841.42,23156.78
2022-04-19,14:27:00,18850,18850,18650,18700,18770,18915,18847.5,18662.5,18632.92,71501,48027,77407.55,30814.18,23115.23
2022-04-19,14:26:00,18800,18850,18750,18850,18810,18925,18842.5,18660.83,18632.08,18766,60192.8,74513.7,29737.83,22523.32
2022-04-19,14:25:00,18650,18800,18650,18800,18850,18925,18827.5,18656.67,18630,38333,78948,73793.55,29609.18,22405.71
2022-04-19,14:24:00,18850,18950,18650,18650,18910,18940,18815,18654.17,18628.33,74041,113310.6,72115.6,29014.5,22123.74
2022-04-19,14:23:00,18850,18900,18800,18850,19020,18970,18810,18654.17,18627.92,37494,142292.4,68638.8,27993.68,21566.89
2022-04-19,14:22:00,19050,19100,18800,18900,19060,18970,18797.5,18650,18625.83,132330,166539.4,66862.55,27974.23,21302.43
2022-04-19,14:21:00,19150,19250,19000,19050,19040,18965,18782.5,18647.5,18623.33,112542,148172.8,60812.9,25926.32,20279.17
2022-04-19,14:20:00,19150,19400,19100,19100,19000,18925,18757.5,18642.5,18619.58,210146,135090.4,55416.05,24388.75,19403.67
2022-04-19,14:19:00,19050,19250,19050,19200,18970,18880,18730,18637.5,18615.42,218950,108299.8,45143.35,21014.52,17679.25
2022-04-19,14:18:00,18800,19100,18800,19050,18920,18825,18697.5,18630.83,18610.83,158729,78915,34339.3,17851.35,15882.1
2022-04-19,14:17:00,18800,18900,18800,18800,18880,18780,18675,18627.5,18607.08,40497,72045,26984.3,16670.15,14589.78
2022-04-19,14:16:00,18950,18950,18850,18850,18890,18760,18660,18626.67,18605.83,47130,78828.6,25369.7,16565.12,14387.26
2022-04-19,14:15:00,18950,18950,18800,18950,18850,18730,18642.5,18622.5,18604.17,76193,71206.4,23394.85,15854.88,14074.23
