날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-19,15:35:00,15400,15400,15400,15400,15450,15450,15447.5,15333.33,15304.58,6269,9290,5502.65,2994.8,2596.658
2022-04-19,15:30:00,15400,15400,15400,15400,15460,15455,15447.5,15329.17,15303.75,19571,8742.6,5209.5,2909.95,2575.617
2022-04-19,15:19:00,15450,15550,15450,15550,15470,15460,15447.5,15325.83,15303.33,13430,5160.2,4461.7,2590.683,2481.225
2022-04-19,15:18:00,15450,15500,15400,15450,15450,15455,15440,15320.83,15301.67,4578,2655.6,3874.25,2374.7,2405.525
2022-04-19,15:17:00,15450,15500,15450,15450,15450,15460,15437.5,15315.83,15301.25,2602,2008.8,3672.85,2331,2371.733
2022-04-19,15:16:00,15450,15450,15400,15450,15450,15465,15435,15311.67,15301.25,3532,1898.6,3558,2290.767,2367.175
2022-04-19,15:15:00,15400,15450,15400,15450,15450,15460,15432.5,15307.5,15300.83,1659,2712,3463.55,2281.233,2349.933
2022-04-19,15:14:00,15450,15450,15400,15450,15450,15455,15430,15303.33,15300.42,907,3772.2,3611.1,2300.05,2346.942
2022-04-19,15:13:00,15450,15450,15400,15450,15460,15450,15427.5,15299.17,15299.58,1344,4136.8,3596.7,2290.65,2381.758
2022-04-19,15:12:00,15450,15450,15400,15450,15470,15450,15422.5,15295,15300,2051,6135,3842.05,2281.35,2384
2022-04-19,15:11:00,15500,15500,15400,15450,15480,15445,15417.5,15291.67,15300,7599,7990.4,4060.25,2318.3,2381.467
2022-04-19,15:10:00,15500,15550,15450,15450,15470,15440,15410,15288.33,15300.83,6960,7135.6,3707.75,2203.3,2345.1
2022-04-19,15:09:00,15500,15500,15450,15500,15460,15435,15402.5,15284.17,15300.83,2730,6186,3381.4,2436.533,2311.725
2022-04-19,15:08:00,15500,15500,15450,15500,15440,15425,15390,15280,15300.83,11335,6241,3257.25,2397.4,2305.958
2022-04-19,15:07:00,15450,15500,15400,15500,15430,15415,15377.5,15275.83,15300.83,11328,4212.2,2769,2221.033,2222.05
2022-04-19,15:06:00,15400,15450,15400,15400,15410,15405,15365,15271.67,15300.42,3325,2831.6,2312.45,2090.633,2132.725
