날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-19,15:35:00,971,971,971,971,971,971,971,965.1,944.5333,9808,20182,21852.5,834409.4,1020233
2022-04-19,15:30:00,971,971,971,971,971,971,971,964.95,943.8833,31901,22050,23944.7,1052651,1023062
2022-04-19,15:19:00,971,971,971,971,971,971,971,964.95,943.2083,26448,17475.6,23430.3,1070208,1026477
2022-04-19,15:18:00,971,971,971,971,971,971,971,964.95,942.5,24874,16189.6,30257.35,1080443,1036926
2022-04-19,15:17:00,971,971,971,971,971,971,971,964.95,941.8,7879,23992.8,36494.05,1082904,1043066
2022-04-19,15:16:00,971,971,971,971,971,971,971,964.95,941.075,19148,24444.6,59945.1,1084445,1069391
2022-04-19,15:15:00,971,971,971,971,971,971,971,964.95,940.4833,9029,25313.8,125767.2,1089842,1071886
2022-04-19,15:14:00,971,971,971,971,971,971,970.65,964.95,939.8917,20018,25310.6,170300.3,1091815,1079616
2022-04-19,15:13:00,971,971,971,971,971,971,970.35,964.95,939.325,63890,26186.6,350488.8,1096369,1081955
2022-04-19,15:12:00,971,971,971,971,971,971,970.35,964.95,938.725,10138,14541.6,426347.6,1103831,1088591
2022-04-19,15:11:00,971,971,971,971,971,971,970.35,964.95,938.1167,23494,14185.8,613384.8,1122942,1103478
2022-04-19,15:10:00,971,971,971,971,971,971,970.2,964.95,937.5667,9013,13034.2,634814.4,1356785,1110169
2022-04-19,15:09:00,971,971,971,971,971,971,970,964.7333,937.025,24398,20927.8,701897.5,1389798,1125302
2022-04-19,15:08:00,971,971,971,971,971,971,969.8,964.3667,936.5333,5665,19646.2,732337.8,1423486,1141991
2022-04-19,15:07:00,971,971,971,971,971,971,969.55,964.0167,936.125,8359,22633.4,781226.9,1448062,1144882
2022-04-19,15:06:00,971,971,971,971,971,971,969.15,963.65,935.7,17736,28597.6,793633.3,1471812,1152335
2022-04-19,15:05:00,971,971,971,971,971,971,968.7,963.2833,935.2917,48481,35380.8,808051.5,1502183,1159895
2022-04-19,15:04:00,971,971,971,971,971,970.3,968.2,962.9333,934.9083,17990,30007.2,851030.7,1567697,1170786
2022-04-19,15:03:00,971,971,971,971,971,969.7,967.75,962.45,934.5083,20601,59007,867923.1,1640655,1179436
2022-04-19,15:02:00,971,971,971,971,971,969.7,967.35,961.6667,934.1833,38180,84808.4,902590.6,1645845,1195307
2022-04-19,15:01:00,971,971,971,971,971,969.7,967,960.85,933.85,51652,172552.4,949063.2,1654748,1221254
2022-04-19,15:00:00,971,971,971,971,971,969.4,966.7,960.0667,933.475,21613,429339.8,1050037,1664866,1236238
2022-04-19,14:59:00,971,971,971,971,969.6,969,966.2,959.3167,933.0667,162989,604955.6,1093351,1685875,1249310
2022-04-19,14:58:00,971,971,971,971,968.4,968.6,965.55,958.6,932.65,149608,1297115,1103618,1705590,1287054
2022-04-19,14:57:00,971,971,971,971,968.4,968.1,964.85,957.8333,932.0583,476900,1583407,1111510,1749084,1286670
2022-04-19,14:56:00,966,971,964,971,968.4,967.3,964.15,957.1167,931.475,1335589,2238203,1114103,1769732,1284355
2022-04-19,14:55:00,966,966,961,964,967.8,966.4,963.3,956.3,930.8917,899692,2061503,1088640,1788162,1274305
2022-04-19,14:54:00,971,971,963,965,968.4,966.1,962.65,955.3667,930.3833,3623787,2151699,1089356,1777868,1267602
2022-04-19,14:53:00,971,971,971,971,968.8,965.8,962.1,954.35,929.85,1581066,1553583,1009909,1722377,1238685
2022-04-19,14:52:00,968,971,967,971,967.8,965,961.4,953.25,929.275,3750882,1434059,958138.7,1701399,1226511
2022-04-19,14:51:00,967,968,965,968,966.2,964.3,960.8,952.2,928.7,452086,735179.8,810442.5,1642964,1196626
2022-04-19,14:50:00,966,970,964,967,965,964,960.45,951.2,928.1417,1350675,705982.6,852803.2,1638397,1194008
2022-04-19,14:49:00,966,967,964,967,963.8,963.4,960.1,950.2167,927.6,633205,617460.8,812242.2,1619041,1183254
2022-04-19,14:48:00,963,968,962,966,962.8,962.5,959.7,949.2667,927.05,983447,561987.2,824128.5,1611909,1179129
2022-04-19,14:47:00,962,964,961,963,962.2,961.6,959.3,948.3167,926.4833,256486,508088.2,802263.7,1598556,1172153
2022-04-19,14:46:00,961,963,960,962,962.4,961,959.1,947.4167,925.95,306100,650317.4,824291.7,1597961,1172632
2022-04-19,14:45:00,962,962,958,961,963,960.2,958.9,946.5333,925.4417,908066,1003324,908585.5,1596098,1170633
2022-04-19,14:44:00,963,963,960,962,963,959.2,958.75,945.7,924.9333,355837,999286.4,940743.9,1592674,1163839
