날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-19,15:35:00,42750,42750,42750,42750,42420,42160,41952.5,41577.5,42138.33,16485,22327.8,14009.75,13867.47,10818.37
2022-04-19,15:30:00,42750,42750,42750,42750,42290,42045,41917.5,41570.83,42139.17,58709,26175.8,13671.9,13917.33,10728
2022-04-19,15:19:00,42100,42300,42050,42300,42110,41940,41885,41560.83,42140,19510,15154,11272.5,13291.22,10283.54
2022-04-19,15:18:00,42150,42250,42100,42150,42020,41885,41872.5,41546.67,42143.33,9029,12618.4,10756.95,13185.52,10235.81
2022-04-19,15:17:00,42300,42350,42100,42150,41960,41860,41875,41530,42148.33,7906,11933.4,11300.05,13550.87,10293.26
2022-04-19,15:16:00,41850,42400,41850,42100,41900,41825,41887.5,41521.67,42153.75,35725,11861.2,11948.5,13679.42,10341.83
2022-04-19,15:15:00,41800,41900,41800,41850,41800,41780,41882.5,41521.67,42161.67,3600,5562.2,11193.65,13200.78,10067.56
2022-04-19,15:14:00,41850,41900,41700,41850,41770,41745,41890,41525.83,42171.67,6832,5521.6,11748.25,13424.82,10067.95
2022-04-19,15:13:00,41850,41900,41750,41850,41750,41730,41882.5,41523.33,42182.5,5604,5487.6,11894.75,13864.87,10049.53
2022-04-19,15:12:00,41600,41900,41550,41850,41760,41725,41855,41528.33,42193.33,7545,5969.8,11887.95,13965.1,10022.81
2022-04-19,15:11:00,41650,41650,41550,41600,41750,41745,41825,41540.83,42205,4230,6022.2,11878.3,13891.78,9987.075
2022-04-19,15:10:00,41750,41800,41600,41700,41760,41790,41800,41554.17,42217.92,3397,7813,11953.75,13902.43,9968.508
2022-04-19,15:09:00,41900,41900,41700,41750,41720,41830,41770,41565.83,42229.58,6662,8447,12052.4,13980.92,9986.125
2022-04-19,15:08:00,41800,41900,41750,41900,41710,41860,41742.5,41575,42241.67,8015,10291.6,12238.25,13944.58,9965.783
2022-04-19,15:07:00,41650,41850,41600,41800,41690,41890,41707.5,41583.33,42254.58,7807,15374.6,12205.25,13936.9,9946.433
