날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-20,15:35:00,7460,7460,7460,7460,7398,7396,7378.5,7477.333,7406.5,40951,183163.4,142428.3,132095.6,223864.7
2022-04-20,15:30:00,7460,7460,7460,7460,7380,7383,7379.5,7478.833,7400.667,398923,189459.2,147597.4,132052,233875.3
2022-04-20,15:19:00,7330,7380,7310,7380,7360,7370,7380.5,7480.333,7394.333,145099,128104.4,130617.1,127362.4,238711
2022-04-20,15:18:00,7330,7360,7290,7330,7362,7355,7387,7483.5,7387.583,175038,112484.4,127777,126507.9,243161.9
2022-04-20,15:17:00,7370,7390,7310,7360,7376,7348,7394.5,7487.833,7379.583,155806,102436.4,122313.9,125304.3,246433.2
2022-04-20,15:16:00,7360,7400,7360,7370,7394,7348,7403.5,7491.333,7370.083,72430,104263,119616,125637.8,246850.1
2022-04-20,15:15:00,7380,7390,7350,7360,7386,7345,7409,7493.833,7360.583,92149,100558.6,127540.2,126030.8,248961.4
2022-04-20,15:14:00,7390,7420,7370,7390,7380,7353,7417.5,7497,7350.833,66999,107710.2,127579.6,128006.6,251830.5
2022-04-20,15:13:00,7450,7460,7370,7400,7348,7358,7426.5,7499.833,7340.833,124798,147731,127776.2,129804.1,256784.9
2022-04-20,15:12:00,7310,7450,7310,7450,7320,7364,7435,7502.5,7330.333,164939,160067.4,125276,134164.5,259272.4
2022-04-20,15:11:00,7320,7330,7300,7330,7302,7361,7440,7504.833,7319,53908,156679.4,121075.4,163163,259860
2022-04-20,15:10:00,7230,7350,7220,7330,7304,7376,7451,7507.667,7308.083,127907,199990.2,122387.6,166668.6,259766.4
2022-04-20,15:09:00,7260,7400,7200,7230,7326,7391,7463,7509.833,7296.667,267103,193076.8,123605.8,167411.6,258966.2
2022-04-20,15:08:00,7360,7380,7260,7260,7368,7419,7480,7513.333,7286.167,186480,149581.4,113249.4,169003.9,256961.8
2022-04-20,15:07:00,7330,7400,7320,7360,7408,7441,7496,7516.167,7275.667,147999,131125.8,115280.6,172426.2,255681
2022-04-20,15:06:00,7420,7430,7330,7340,7420,7459,7509.5,7516.667,7264.25,270462,125607.2,116198.1,172261.8,254583.1
