날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-29,15:35:00,4890,4890,4890,4890,4884,4889.5,4883.5,4884.083,4920.083,30388,131455,64095.55,43077.53,69774.07
2022-03-29,15:30:00,4890,4890,4890,4890,4885,4889,4882.5,4884.083,4920.917,272701,133609.2,64764.95,42982.48,71865.92
2022-03-29,15:19:00,4875,4880,4865,4875,4885,4888.5,4881.75,4883.833,4921.375,151399,86712.8,52915.5,40133.42,70082.97
2022-03-29,15:18:00,4885,4890,4870,4875,4889,4889.5,4882,4884,4922,99573,72203.2,46952.95,38639.03,69604.92
2022-03-29,15:17:00,4900,4905,4880,4890,4894,4890,4882.5,4884.417,4922.708,103214,60313.2,43867.6,37707.98,70510.18
2022-03-29,15:16:00,4890,4900,4890,4895,4895,4888.5,4882.25,4884.75,4923.292,41159,46145.6,40343.2,36220.45,70987.37
2022-03-29,15:15:00,4895,4895,4890,4890,4893,4887,4881.75,4885.083,4923.667,38219,44213.4,41426.55,36057.23,71953.55
2022-03-29,15:14:00,4900,4910,4890,4895,4892,4885,4881,4885.333,4924.125,78851,48934,40663.85,35694.27,72744.32
2022-03-29,15:13:00,4895,4900,4890,4900,4890,4882,4879.75,4885.583,4924.167,40123,45357.4,37128.3,35045.45,72527.02
2022-03-29,15:12:00,4885,4895,4885,4895,4886,4879.5,4878.5,4885.833,4924.292,32376,45370,36221.75,34536.08,72595.13
2022-03-29,15:11:00,4885,4890,4880,4885,4882,4877.5,4877.25,4886.167,4924.417,31498,46609.6,35918.45,34227.1,72779.93
2022-03-29,15:10:00,4880,4895,4880,4885,4881,4876,4876.75,4886.5,4924.583,61822,45685.6,36047.45,34738.55,72782.5
2022-03-29,15:09:00,4880,4890,4875,4885,4878,4875,4876,4887.167,4924.583,60968,41932.4,34650.45,33977.53,72407.18
2022-03-29,15:08:00,4875,4880,4870,4880,4874,4874.5,4875.5,4888,4924.583,40186,36062.2,32678.95,33139.07,72071.85
2022-03-29,15:07:00,4880,4880,4870,4875,4873,4875,4875.5,4888.75,4924.625,38574,33699.6,32578,32888.97,71867.82
2022-03-29,15:06:00,4870,4885,4870,4880,4873,4876,4875.5,4889.667,4924.708,26878,32172,31974.55,32686.58,71908.63
2022-03-29,15:05:00,4870,4875,4865,4870,4871,4876.5,4875,4890.667,4924.792,43056,35551.6,32238.75,33317.52,71793.25
2022-03-29,15:04:00,4870,4875,4865,4865,4872,4877,4875.5,4891.917,4924.958,31617,34082.8,31568.35,33499.22,71780.65
2022-03-29,15:03:00,4875,4875,4865,4875,4875,4877.5,4876.5,4892.75,4925.042,28373,34189,31854.35,33472.98,71916.93
2022-03-29,15:02:00,4870,4875,4865,4875,4877,4877.5,4876.5,4893.25,4924.958,30936,36087.6,32893.2,33349.93,72585.51
2022-03-29,15:01:00,4875,4880,4870,4870,4879,4877,4876.25,4893.917,4925.042,43776,36445.6,34039.05,33227.95,72448.26
2022-03-29,15:00:00,4885,4885,4875,4875,4882,4877.5,4876.75,4894.667,4925.292,35712,40255.6,34728.35,33635.27,72220.31
2022-03-29,14:59:00,4880,4890,4880,4880,4882,4877,4877.5,4895.167,4925.333,32148,37706.2,34310.3,33865.73,72249.21
2022-03-29,14:58:00,4890,4895,4880,4885,4880,4876.5,4878,4895.917,4925.458,37866,32904.6,33994.8,34173.07,72414.86
2022-03-29,14:57:00,4880,4890,4875,4885,4878,4876,4878.75,4896.833,4925.583,32726,29729.8,33634.5,35150.12,72276.11
2022-03-29,14:56:00,4870,4885,4870,4885,4875,4875,4879.25,4898.25,4925.833,62826,28446.6,34046.45,37139.73,72211.61
2022-03-29,14:55:00,4875,4875,4870,4875,4873,4873.5,4879.5,4899.5,4926.042,22965,22697,32472.35,38379.58,71810.98
2022-03-29,14:54:00,4875,4875,4870,4870,4872,4874,4880,4900.75,4926.25,8140,24880.4,32755.8,39058.75,71819.05
2022-03-29,14:53:00,4875,4875,4870,4875,4873,4875.5,4881,4901.583,4926.542,21992,27560,33458.65,39467.92,71941.08
2022-03-29,14:52:00,4875,4880,4870,4870,4874,4875.5,4882,4902.083,4926.833,26310,30795,33308.7,39981.7,72127.34
2022-03-29,14:51:00,4875,4885,4870,4875,4875,4875.5,4883.25,4902.583,4927.167,34078,30834,33733.65,40079.97,72071.38
