날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-29,15:35:00,5230,5230,5230,5230,5242,5243,5242,5242.5,5250.75,6223,12755.2,6363.5,4168.916667,3313.108333
2022-03-29,15:30:00,5230,5230,5230,5230,5242,5245,5242,5243,5251.083333,44195,12493,6395.75,4076.816667,3268.175
2022-03-29,15:19:00,5250,5250,5230,5250,5244,5247,5242.5,5243.333333,5251.5,3841,6198.4,4255.7,3375.8,2903.15
2022-03-29,15:18:00,5230,5250,5230,5250,5242,5247,5242,5243.5,5251.75,170,5735.4,4089.2,3328.683333,2887.066667
2022-03-29,15:17:00,5240,5260,5230,5250,5244,5249,5241,5243.5,5252.083333,9347,5896,4090,3366.6,2900.341667
2022-03-29,15:16:00,5240,5250,5220,5230,5244,5246,5240.5,5243.666667,5252.416667,4912,4375.6,3630,3216.533333,2822.991667
2022-03-29,15:15:00,5250,5260,5230,5240,5248,5246,5241,5244,5252.833333,12722,3491.2,3622.05,3144.583333,2783.066667
2022-03-29,15:14:00,5260,5260,5240,5240,5250,5245,5240.5,5244.166667,5253.25,1526,1032.8,3105.6,2938.666667,2703.291667
2022-03-29,15:13:00,5250,5260,5250,5260,5252,5245,5240.5,5244.5,5253.75,973,872.8,3147.9,2913.6,2695.166667
2022-03-29,15:12:00,5250,5250,5240,5250,5254,5242,5239.5,5244.5,5254.083333,1745,2492.2,3144.75,2901.8,2698.233333
2022-03-29,15:11:00,5250,5260,5250,5250,5248,5241,5239,5244.5,5254.416667,490,4167,3078.7,2909.616667,2691.841667
2022-03-29,15:10:00,5250,5260,5250,5250,5244,5239,5238.5,5244.5,5254.666667,430,4977.6,3062.35,2905.783333,2687.766667
2022-03-29,15:09:00,5250,5250,5250,5250,5240,5238,5238,5244.5,5254.916667,726,6033,3404.55,2913.183333,2745.883333
2022-03-29,15:08:00,5240,5270,5240,5270,5238,5237,5237,5244.333333,5255.333333,9070,5891,3495.7,2908.383333,2749.208333
2022-03-29,15:07:00,5240,5240,5220,5220,5230,5233,5235.5,5244,5255.583333,10119,5374.8,3198.25,2875.866667,2678.341667
2022-03-29,15:06:00,5230,5230,5220,5230,5234,5235,5236.5,5244.5,5256.25,4543,4156.2,2697.95,2707.45,2614.291667
2022-03-29,15:05:00,5240,5240,5230,5230,5234,5236,5236.5,5245,5256.666667,5707,4621.2,2782.1,2638.8,2643.108333
2022-03-29,15:04:00,5240,5240,5230,5240,5236,5236,5236.5,5245.5,5257.166667,16,3758.6,2632.4,2545.766667,2596.066667
2022-03-29,15:03:00,5230,5240,5230,5230,5236,5236,5236,5245.833333,5257.666667,6489,3857.6,2712.55,2551.85,2599.533333
2022-03-29,15:02:00,5230,5240,5230,5240,5236,5237,5236,5246.166667,5258.166667,4026,2597,2768.9,2450.7,2554.933333
2022-03-29,15:01:00,5230,5240,5230,5230,5236,5237,5236,5246.5,5258.666667,6868,1821.2,3394,2440.45,2525.066667
2022-03-29,15:00:00,5230,5240,5230,5240,5238,5238,5236.5,5247,5259.25,1394,1398.2,3531.6,2333.433333,2477.15
2022-03-29,14:59:00,5230,5240,5230,5240,5236,5238,5236.5,5247.166667,5259.666667,511,1598,3469.9,2311.216667,2479.5
2022-03-29,14:58:00,5240,5240,5230,5230,5236,5237,5236.5,5247.5,5260.083333,186,1970.2,3581.85,2308.3,2495.675
2022-03-29,14:57:00,5240,5240,5230,5240,5238,5238,5237.5,5248,5260.666667,147,2115,3578.75,2305.766667,2496.508333
2022-03-29,14:56:00,5230,5240,5220,5240,5238,5238,5238.5,5248.166667,5261.166667,4753,2170.4,3595,2306.083333,2515.216667
2022-03-29,14:55:00,5230,5240,5230,5230,5238,5237,5238.5,5248.5,5261.583333,2393,1252.4,3416.6,2250.983333,2491.025
