날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-30,15:35:00,7460,7460,7460,7460,7228,6750,6396,6062.5,5950.75,295726,245840,89404.7,31070.73,15663.88
2022-03-30,15:30:00,7460,7460,7460,7460,7024,6614,6323,6036.167,5937.083,144782,247513,75206.7,26146.03,13199.63
2022-03-30,15:19:00,7190,7460,7080,7460,6804,6477,6250,6010,5923.417,434285,229437,68424.05,23739.22,11993.3
2022-03-30,15:17:00,6570,7190,6570,7190,6554,6332,6178.5,5983.833,5909.75,261066,152150.8,47332.65,16502.92,8374.408
2022-03-30,15:16:00,6420,6640,6420,6570,6352,6213,6118.5,5962.167,5898.333,93341,102144,35024.2,12152.3,6199.117
2022-03-30,15:15:00,6540,6770,6320,6440,6272,6159,6087,5951,5892.083,304091,91768.6,30423.95,10599.72,5421.333
2022-03-30,15:12:00,6220,6360,6180,6360,6204,6115,6061.5,5942.167,5887,54402,39657.8,15227.7,5535.533,2888.4
2022-03-30,15:11:00,6170,6270,6160,6210,6150,6081,6040.5,5934.667,5882.5,47854,30517.4,12561.7,4630.117,2435.1
2022-03-30,15:10:00,6150,6180,6120,6180,6110,6064,6025,5929.667,5879.333,11032,20949.4,10202.3,3843.317,2036.717
2022-03-30,15:09:00,6100,6200,6090,6170,6074,6052,6011,5925,5876.333,41464,19249.2,9658.55,3665.933,1945.025
2022-03-30,15:08:00,6090,6190,6030,6100,6046,6042,5998.5,5920.5,5873.417,43537,12372.2,7614.85,2978.817,1599.567
2022-03-30,15:07:00,6020,6090,6010,6090,6026,6032,5989,5917.333,5871.083,8700,4228.6,5481.6,2258.35,1240.1
2022-03-30,15:06:00,6010,6010,6010,6010,6012,6023,5980.5,5914,5868.833,14,3870.6,5445.8,2140.85,1167.833
2022-03-30,15:05:00,6030,6030,6000,6000,6018,6025,5975.5,5912,5867.25,2531,5961.6,5788.1,2140.85,1167.792
2022-03-30,15:04:00,6000,6040,5980,6030,6030,6024,5969,5910.167,5865.75,7079,6747.4,5697.05,2167.2,1146.767
2022-03-30,15:03:00,6020,6020,5970,6000,6038,6015,5961,5907.5,5864,2819,7638,5343.25,2050.05,1087.842
2022-03-30,15:02:00,6040,6070,6020,6020,6038,6008,5954,5905.333,5862.5,6910,9427.4,5221.95,2006.583,1068.708
2022-03-30,15:01:00,6060,6090,6040,6040,6034,6000,5946,5903.167,5860.833,10469,9871.2,4876.5,1891.917,1011.242
2022-03-30,15:00:00,6060,6060,6020,6060,6032,5986,5937,5900,5859,6460,10268.8,4387.55,1717.767,924.0083
2022-03-30,14:59:00,6000,6070,6000,6070,6018,5970,5927.5,5896.333,5857,11532,11956.2,4089.55,1613.8,870.4167
2022-03-30,14:58:00,6020,6040,6000,6000,5992,5955,5917,5893.167,5855,11766,9917,3513.55,1460.167,774.7333
2022-03-30,14:57:00,6030,6050,6000,6000,5978,5946,5911,5890.833,5853.5,9129,7597,2925.75,1280.217,676.7417
2022-03-30,14:56:00,5930,6040,5930,6030,5966,5938,5905,5888.333,5852,12457,5987.6,2470.8,1129.45,600.725
2022-03-30,14:55:00,5940,6000,5940,5990,5940,5926,5896.5,5885,5850.25,14897,3629.4,1850.1,931.3667,497.4083
2022-03-30,14:54:00,5930,5940,5920,5940,5922,5914,5891,5882.167,5848.833,1336,681.4,1105.6,684.5333,373.925
2022-03-30,14:53:00,5940,5940,5920,5930,5918,5907,5887,5880,5847.833,166,532.2,1067,662.4333,362.9083
2022-03-30,14:52:00,5920,5940,5920,5940,5914,5900,5883.5,5878,5846.917,1082,673.4,1058.75,660,361.8917
2022-03-30,14:50:00,5910,5910,5900,5900,5910,5892,5880.5,5875.667,5845.917,666,2053.8,1013.35,643.6333,353.2667
2022-03-30,14:49:00,5920,5920,5900,5900,5912,5888,5878.5,5874,5845.333,157,3292.6,988.55,632.7,349.5083
2022-03-30,14:48:00,5910,5920,5910,5920,5906,5885,5877,5872.333,5844.667,590,3403.2,989.1,633.6333,348.8083
2022-03-30,14:47:00,5920,5920,5910,5910,5896,5879,5874.5,5870.333,5843.833,872,3285.8,960.85,624.3,344.1333
2022-03-30,14:46:00,5910,5940,5900,5920,5886,5876,5872.5,5868.5,5843.083,7984,3190,930.3,609.7833,337.1583
2022-03-30,14:45:00,5870,5910,5870,5910,5874,5872,5870,5866.5,5842.25,6860,1593.4,607.4,476.8333,271.1167
2022-03-30,14:44:00,5870,5870,5870,5870,5864,5867,5868.5,5864.667,5841.5,710,359.4,267.4,377.4333,214.15
2022-03-30,14:43:00,5870,5870,5870,5870,5864,5868,5869,5863.667,5841.083,3,317.4,233.95,365.85,208.85
2022-03-30,14:42:00,5860,5860,5860,5860,5862,5867,5869.5,5862.667,5840.75,393,319.2,306.75,366.05,209.2167
2022-03-30,14:37:00,5860,5860,5860,5860,5866,5867,5870.5,5861.833,5840.417,1,242.6,291.9,359.65,206.0167
2022-03-30,14:36:00,5870,5870,5860,5860,5870,5869,5871.5,5861,5840.083,690,248.4,292.1,359.75,206.5417
2022-03-30,14:31:00,5870,5870,5870,5870,5870,5869,5873.5,5860.167,5839.75,500,119,295.55,348.6167,201.2
2022-03-30,14:22:00,5860,5860,5860,5860,5872,5869,5873.5,5859.167,5839.333,12,20.4,294.05,340.4333,197.5
2022-03-30,14:19:00,5880,5880,5880,5880,5872,5870,5874.5,5858.333,5839,10,130.8,293.95,340.45,197.8667
2022-03-30,14:16:00,5880,5880,5880,5880,5868,5869,5874.5,5857.5,5838.5,30,129,305.65,340.3167,198.2
2022-03-30,14:13:00,5860,5860,5860,5860,5868,5868,5875,5856.333,5838,43,157.8,322.8,340.2,206.3667
2022-03-30,14:12:00,5880,5880,5880,5880,5868,5870,5876.5,5855.5,5837.667,7,183.2,326,339.7333,206.2667
2022-03-30,14:10:00,5860,5860,5860,5860,5866,5870,5877,5854.333,5837.167,564,215.4,327.1,339.75,206.775
2022-03-30,14:09:00,5860,5860,5860,5860,5868,5872,5879,5853.5,5836.833,1,107.6,308.2,330.7167,202.425
2022-03-30,14:08:00,5860,5880,5860,5880,5870,5874,5881.5,5852.667,5836.5,174,159.6,320.15,330.8333,202.6333
2022-03-30,14:07:00,5870,5870,5860,5860,5868,5874,5883,5851.5,5836,170,430,315.3,328.0667,201.7
2022-03-30,14:04:00,5870,5870,5870,5870,5872,5878,5885.5,5850.667,5835.667,168,408,339.1,325.35,200.525
2022-03-30,14:03:00,5870,5870,5870,5870,5874,5878,5887,5849.667,5835.25,25,382.6,350.15,322.95,199.6
2022-03-30,14:01:00,5870,5870,5870,5870,5876,5879,5888.5,5848.833,5834.833,261,669.4,360.75,322.8167,199.8
2022-03-30,14:00:00,5870,5870,5870,5870,5878,5880,5890.5,5848,5834.417,1526,636.4,363.15,320.2667,197.7833
2022-03-30,13:59:00,5880,5880,5880,5880,5880,5882,5891.5,5847.167,5834,60,332.2,369.35,294.85,185.5833
