날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-30,15:35:00,67500,67500,67500,67500,67600,67830,67880,67038.33,66555,13693,38336.2,32683.6,18530.18,22308.15
2022-03-30,15:30:00,67500,67500,67500,67500,67700,67860,67845,67028.33,66537.5,68963,39276.8,32461.05,18660.18,22473.87
2022-03-30,15:19:00,67800,68000,67600,67600,67840,67910,67820,67023.33,66521.67,34067,29773.6,29118.6,17703.98,22285.08
2022-03-30,15:18:00,67500,67900,67200,67800,67960,67900,67785,67018.33,66502.5,31390,27322,27720.65,17234.78,22907.88
2022-03-30,15:17:00,68000,68100,67500,67600,68040,67900,67745,67006.67,66480,43568,28770.4,26506.55,16809.57,22992.79
2022-03-30,15:16:00,68200,68300,68000,68000,68060,67940,67720,67000,66460,18396,21428.8,24737.65,16313.12,23492.28
2022-03-30,15:15:00,68100,68300,68100,68200,68020,67890,67665,66991.67,66442.5,21447,20414,24511.3,16340.75,23566.85
2022-03-30,15:14:00,68300,68400,68100,68200,67980,67880,67605,66981.67,66425,21809,19152.6,23972.5,16236.73,23492.13
2022-03-30,15:13:00,67800,68300,67700,68200,67840,67930,67560,66963.33,66410,38632,19511.2,23593,16006.93,23461.54
2022-03-30,15:12:00,67800,67800,67700,67700,67760,67920,67500,66943.33,66396.67,6860,13878.6,23061.8,15501.23,23357.96
2022-03-30,15:11:00,67900,68000,67800,67800,67820,67930,67460,66930,66385.83,13322,15294.8,23298.65,15531.63,23414.53
2022-03-30,15:10:00,67400,68000,67400,68000,67760,67830,67420,66918.33,66371.67,15140,22957.4,23350.1,15496.12,23824.86
2022-03-30,15:09:00,67800,67900,67400,67500,67780,67730,67350,66906.67,66357.5,23602,31997.6,22748.4,15719.88,24027.91
2022-03-30,15:08:00,68000,68000,67700,67800,68020,67670,67305,66900,66345,10469,38823,22135.9,15541.25,24882.83
2022-03-30,15:07:00,67500,68000,67500,68000,68080,67590,67240,66881.67,66333.33,13941,48856,22120.95,15485.85,25082.38
2022-03-30,15:06:00,68100,68200,67400,67500,68040,67500,67185,66865,66324.17,51635,55674.6,21657.95,15446.03,25170.64
2022-03-30,15:05:00,68600,68700,67800,68100,67900,67440,67140,66851.67,66317.5,60341,47196,19513.35,14732.12,25243.73
2022-03-30,15:04:00,68100,68700,68000,68700,67680,67330,67070,66823.33,66307.5,57729,35550.6,16744.45,13977.72,25098.37
2022-03-30,15:03:00,67700,68100,67600,68100,67320,67190,66970,66786.67,66297.5,60634,25226.4,14457.3,13146.07,24646.86
2022-03-30,15:02:00,66800,67800,66800,67800,67100,67080,66920,66760,66293.33,48034,14521.2,12953.3,12399.63,24240.53
2022-03-30,15:01:00,67000,67000,66700,66800,66960,66990,66885,66741.67,66293.33,9242,6552.4,11354.95,11901.45,23889.75
2022-03-30,15:00:00,66900,67000,66900,67000,66980,67010,66880,66745,66300,2114,7477.8,11873.45,12174.52,23947.13
2022-03-30,14:59:00,67100,67100,66900,66900,66980,66970,66835,66736.67,66305,6108,9189.2,12093.55,12578.07,24080.13
