날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-30,15:35:00,2180,2180,2180,2180,2172,2176,2182,2167.833,2164.542,61327,143150.4,113344.1,64845.15,51455.66
2022-03-30,15:30:00,2180,2180,2180,2180,2171,2176,2183,2167.167,2164.5,361722,141528,113542.1,64996.43,51343.05
2022-03-30,15:19:00,2165,2170,2150,2160,2168,2176,2183.5,2166.417,2164.417,176025,118295,98407.4,61970.83,48583.38
2022-03-30,15:18:00,2175,2180,2160,2165,2174,2177,2185.75,2166.25,2164.5,46555,91285.8,103751.7,59218.15,47529.83
2022-03-30,15:17:00,2175,2185,2160,2175,2179,2178.5,2188,2166,2164.458,70123,100563.4,113583.3,59043.83,47702.37
2022-03-30,15:16:00,2160,2180,2155,2175,2180,2179,2188,2165.583,2164.417,53215,93352.2,114494,59331.57,47443.22
2022-03-30,15:15:00,2190,2190,2155,2165,2181,2178.5,2187.25,2165.167,2164.333,245557,88670.8,112113.7,59030.33,48369.41
2022-03-30,15:14:00,2190,2195,2185,2190,2184,2183,2186.75,2165.083,2164.5,40979,49111,100754.1,55159.82,46619.7
2022-03-30,15:13:00,2180,2190,2175,2190,2180,2185,2185,2164.5,2164.5,92943,72149.8,99441.2,54802.03,46643.26
2022-03-30,15:12:00,2180,2180,2175,2180,2178,2186,2183.25,2163.917,2164.458,34067,62278.6,95131.05,53426.63,46346.85
2022-03-30,15:11:00,2175,2185,2175,2180,2178,2188,2182.25,2163.5,2164.5,29808,72472.6,95328.7,53622.5,46595.71
2022-03-30,15:10:00,2175,2180,2170,2180,2176,2190,2181,2163.25,2164.625,47758,110837,94229.4,53299.23,46544.89
2022-03-30,15:09:00,2180,2185,2165,2170,2182,2191,2179.75,2162.917,2164.708,156173,135733,92512,52866.25,46500.68
2022-03-30,15:08:00,2180,2190,2175,2180,2190,2194.5,2179.25,2162.667,2164.833,43587,134627.2,85207.6,50365.47,45434.78
2022-03-30,15:07:00,2170,2185,2170,2180,2194,2197.5,2178.25,2162.333,2164.917,85037,142074.8,84619.35,49776.12,45914.48
2022-03-30,15:06:00,2215,2215,2170,2170,2198,2197,2177.25,2161.917,2164.875,221630,144401.2,81692.9,48714.28,45709.28
2022-03-30,15:05:00,2210,2215,2200,2210,2204,2196,2177,2161.667,2164.958,172238,113132.4,72161.2,45231.55,44803.43
2022-03-30,15:04:00,2200,2210,2195,2210,2200,2190.5,2174.5,2160.833,2164.708,150644,90490.6,64394.45,42515.78,44961.3
2022-03-30,15:03:00,2200,2200,2195,2200,2199,2185,2171.75,2159.917,2164.708,80825,116943.8,57486.95,40591.43,45695.68
2022-03-30,15:02:00,2200,2205,2190,2200,2201,2180.5,2169.25,2159.167,2164.75,96669,149416.4,56775.35,39627.52,47416.73
