날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-30,15:35:00,6110,6110,6110,6110,6114,6114,6132,6136.333,6157.917,36060,46898,29550.15,15893.43,20505
2022-03-30,15:30:00,6110,6110,6110,6110,6118,6116,6134.5,6136.833,6158.583,124504,42880.4,28330,15653.5,20427.43
2022-03-30,15:19:00,6120,6120,6100,6120,6120,6120,6137.5,6137.167,6159.167,47809,20449.4,23995.5,14247.03,19554.81
2022-03-30,15:18:00,6120,6130,6110,6110,6118,6124,6137.5,6137.5,6159.667,14937,21947.2,22222,13816.08,19557.09
2022-03-30,15:17:00,6120,6130,6110,6120,6114,6128,6138,6138.333,6160.333,11180,39572.4,21923.2,13740.78,19992.12
2022-03-30,15:16:00,6110,6130,6110,6130,6114,6131,6139,6138.833,6160.75,15972,43016.6,21504.6,13925.05,20234.08
2022-03-30,15:15:00,6100,6120,6100,6120,6114,6132,6139,6139.5,6160.667,12349,46392.6,21024,13810.55,20188.24
2022-03-30,15:14:00,6090,6120,6080,6110,6120,6136,6139.5,6140.167,6160.5,55298,49888.6,21101.75,14095.92,20138.28
2022-03-30,15:13:00,6120,6130,6090,6090,6130,6140,6139.5,6141.667,6160.5,103063,41064,19542.75,13574.3,19738.35
2022-03-30,15:12:00,6130,6130,6110,6120,6142,6147,6141.5,6143.333,6160.583,28401,22469.4,15016.6,12137.9,18950.67
2022-03-30,15:11:00,6150,6160,6120,6130,6148,6150,6141.5,6144.5,6160.5,32852,17833.6,14191.2,11918,18744.28
2022-03-30,15:10:00,6150,6160,6140,6150,6150,6153,6141.5,6145.5,6160.417,29829,14290.8,12855.15,11855.68,18525.62
2022-03-30,15:09:00,6160,6160,6150,6160,6152,6155,6141,6146.5,6160.167,11175,10603.8,11516.85,11956.53,18306.73
2022-03-30,15:08:00,6140,6160,6140,6150,6150,6151,6140.5,6147.167,6159.833,10090,10767.8,11229.05,12374.35,18240.88
2022-03-30,15:07:00,6150,6150,6140,6150,6152,6148,6141,6147.667,6159.583,5222,9775.2,11301.2,12385.73,18222.65
