날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-31,15:35:00,1850,1850,1850,1850,1850,1850,1850,1843.5,1816.833,28564,59767.8,50531.7,554994.4,473652
2022-03-31,15:30:00,1850,1850,1850,1850,1850,1850,1850,1842.917,1816.292,177296,57814.4,52308.7,557975.2,475142.3
2022-03-31,15:19:00,1850,1850,1850,1850,1850,1850,1850,1842.333,1815.792,24356,32638.2,46462.05,564847.5,478166.8
2022-03-31,15:18:00,1850,1850,1850,1850,1850,1850,1850,1841.75,1815.333,25471,44082.4,49845.55,578353.9,479548.9
2022-03-31,15:17:00,1850,1850,1850,1850,1850,1850,1850,1841,1814.833,43152,68197,50561.3,591253.7,486481.5
2022-03-31,15:16:00,1850,1850,1850,1850,1850,1850,1850,1840.167,1814.25,18797,64630.6,53780.2,626167.1,498247.8
2022-03-31,15:15:00,1850,1850,1850,1850,1850,1850,1850,1839.25,1813.583,51415,66403.8,56381.8,631534.9,502533.9
2022-03-31,15:14:00,1850,1850,1850,1850,1850,1850,1850,1838.333,1812.958,81577,65135,58351.8,651163,508771.3
2022-03-31,15:13:00,1850,1850,1850,1850,1850,1850,1850,1837.25,1812.375,146044,54455.4,58754,655183.2,510680.2
2022-03-31,15:12:00,1850,1850,1850,1850,1850,1850,1850,1836.083,1811.833,25320,43463.6,54004.55,654591.4,512212.6
2022-03-31,15:11:00,1850,1850,1850,1850,1850,1850,1850,1834.917,1811.25,27663,45373.4,59018.1,657216.3,513270.8
2022-03-31,15:10:00,1850,1850,1850,1850,1850,1850,1850,1833.75,1810.708,45071,46004,64154.3,659754,515485
2022-03-31,15:09:00,1850,1850,1850,1850,1850,1850,1850,1832.667,1810.125,28179,44317.6,72140.35,677798.4,519683.1
2022-03-31,15:08:00,1850,1850,1850,1850,1850,1850,1850,1831.5,1809.542,91085,43513,83251.8,686024.2,523665.1
2022-03-31,15:07:00,1850,1850,1850,1850,1850,1850,1850,1830.333,1808.958,34869,29712,87152.35,688913.3,528633.2
2022-03-31,15:06:00,1850,1850,1850,1850,1850,1850,1850,1829.167,1808.458,30816,32355,109232.7,690749.9,531352.4
2022-03-31,15:05:00,1850,1850,1850,1850,1850,1850,1850,1828,1807.958,36639,39012.6,115350.5,691807.5,538805.3
2022-03-31,15:04:00,1850,1850,1850,1850,1850,1850,1850,1826.917,1807.417,24156,43757.4,125639.3,693562.3,544501
2022-03-31,15:03:00,1850,1850,1850,1850,1850,1850,1850,1825.833,1806.833,22080,57331.4,155808.1,695222.4,545949.1
2022-03-31,15:02:00,1850,1850,1850,1850,1850,1850,1850,1824.75,1806.208,48084,60872.6,760503.6,697977.3,549639.8
2022-03-31,15:01:00,1850,1850,1850,1850,1850,1850,1849.25,1823.667,1805.583,64104,72761.8,794224,701134.7,552618.6
2022-03-31,15:00:00,1850,1850,1850,1850,1850,1850,1848.5,1822.583,1804.958,60363,74106.8,801312.9,707324.4,561400.5
2022-03-31,14:59:00,1850,1850,1850,1850,1850,1850,1847.75,1821.5,1804.375,92026,80197.2,813767.9,707476,566080.2
2022-03-31,14:58:00,1850,1850,1850,1850,1850,1850,1847,1820.417,1803.708,39786,79716.2,823239.6,707403.2,570185.5
2022-03-31,14:57:00,1850,1850,1850,1850,1850,1850,1846.25,1819.417,1803.042,107530,81970,842201.5,707698.5,583657.3
2022-03-31,14:56:00,1850,1850,1850,1850,1850,1850,1845.25,1818.417,1802.375,70829,85582.2,849285.2,713829.6,588324.8
