날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-03-31,15:35:00,13650,13650,13650,13650,13730,13790,13795,13845,13919.17,607,8039,3799.9,2809.217,2171.275
2022-03-31,15:30:00,13650,13650,13650,13650,13770,13805,13802.5,13850.83,13923.33,25991,8069.2,3998.65,2806.617,2170.742
2022-03-31,15:19:00,13800,13800,13750,13750,13810,13820,13805,13856.67,13927.5,6704,3142.8,3039.8,2375.2,1954.492
2022-03-31,15:18:00,13750,13850,13750,13800,13830,13825,13805,13860,13930.83,3492,2266.6,2807.6,2292.617,1904.117
2022-03-31,15:17:00,13800,13850,13750,13800,13840,13825,13800,13862.5,13933.75,3401,1914.6,2859.5,2307.733,1875.375
2022-03-31,15:16:00,13850,13850,13800,13850,13850,13825,13797.5,13865,13936.67,758,2213.6,2832.05,2255.383,1849.717
2022-03-31,15:15:00,13800,13850,13800,13850,13840,13820,13792.5,13865.83,13939.17,1359,2318.6,3205.95,2246.967,1852.267
2022-03-31,15:14:00,13800,13850,13800,13850,13830,13815,13782.5,13867.5,13941.25,2323,3855.2,3486.1,2231.133,1871.742
2022-03-31,15:13:00,13850,13850,13800,13850,13820,13810,13775,13869.17,13943.75,1732,3788.2,3960.15,2194.383,1934.3
2022-03-31,15:12:00,13850,13850,13800,13850,13810,13805,13767.5,13870.83,13946.67,4896,3485.8,4297.45,2167.067,1920.917
2022-03-31,15:11:00,13850,13850,13800,13800,13800,13800,13765,13872.5,13949.58,1283,2703.8,4209.15,2088.45,1883.35
2022-03-31,15:10:00,13800,13800,13750,13800,13800,13800,13767.5,13874.17,13952.5,9042,2577.4,4171.2,2091.517,1873.517
2022-03-31,15:09:00,13800,13800,13700,13800,13800,13790,13770,13876.67,13955.83,1988,991,3755.2,1945.083,1799.108
2022-03-31,15:08:00,13800,13800,13750,13800,13800,13785,13772.5,13878.33,13959.17,220,1415,3766.05,1912.767,1807.025
2022-03-31,15:07:00,13800,13800,13750,13800,13800,13775,13775,13880.83,13962.5,986,1434.8,3861.4,1941.717,1810.383
2022-03-31,15:06:00,13750,13800,13750,13800,13800,13770,13780,13883.33,13965.42,651,2243.2,3854.15,1943.75,1805.383
2022-03-31,15:05:00,13750,13800,13700,13800,13800,13765,13785,13885.83,13968.33,1110,3029.4,3862.95,1935.55,1814.958
2022-03-31,15:04:00,13800,13800,13700,13800,13780,13750,13790,13887.5,13971.67,4108,4170.2,3842.45,1924.333,1810.675
2022-03-31,15:03:00,13800,13800,13700,13800,13770,13740,13792.5,13890,13975,319,3760.6,3687.15,1865.967,1777.333
2022-03-31,15:02:00,13800,13800,13750,13800,13750,13730,13795,13891.67,13977.92,5028,4602.8,3679,1862.567,1790.542
2022-03-31,15:01:00,13750,13800,13750,13800,13740,13730,13800,13893.33,13981.25,4582,4167.6,3511,1804.9,1750.658
2022-03-31,15:00:00,13700,13750,13650,13700,13730,13735,13805,13894.17,13985,6814,4898.4,3298.55,1776.217,1713.467
2022-03-31,14:59:00,13700,13750,13700,13750,13720,13750,13815,13896.67,13989.58,2060,4928,3024.1,1740.45,1658.283
2022-03-31,14:58:00,13750,13750,13650,13700,13710,13760,13822.5,13899.17,13993.75,4530,6876.8,3038.1,1827.567,1645.408
2022-03-31,14:57:00,13750,13750,13700,13750,13710,13775,13832.5,13903.33,13998.33,2852,7666.4,2826.25,1773.7,1609.717
2022-03-31,14:56:00,13700,13750,13650,13750,13720,13790,13842.5,13906.67,14002.5,8236,7722,2726.85,1759.583,1594.642
2022-03-31,14:55:00,13750,13750,13650,13650,13740,13805,13850,13910,14006.67,6962,6179.6,2555.05,1678.117,1528
2022-03-31,14:54:00,13700,13750,13650,13700,13780,13830,13865,13915,14011.25,11804,4931.6,2215.35,1605.933,1478.092
2022-03-31,14:53:00,13850,13850,13700,13700,13810,13845,13877.5,13919.17,14015.83,8478,3011.8,1629.85,1415.683,1381.992
2022-03-31,14:52:00,13850,13850,13800,13800,13840,13860,13890,13923.33,14020.42,3130,1741.6,1249.3,1286.1,1321.075
2022-03-31,14:51:00,13850,13850,13800,13850,13860,13870,13897.5,13925.83,14023.75,524,1283.8,1188.65,1261.05,1298.333
2022-03-31,14:50:00,13800,13850,13800,13850,13870,13875,13902.5,13926.67,14026.67,722,1344.4,1169.7,1265.05,1295.842
2022-03-31,14:49:00,13800,13850,13800,13850,13880,13880,13905,13928.33,14028.75,2205,1340,1156.9,1261.333,1292.108
2022-03-31,14:48:00,13850,13900,13800,13850,13880,13885,13910,13930,14030.83,2127,1099.4,1061.15,1233.767,1285.108
2022-03-31,14:47:00,13850,13900,13850,13900,13880,13890,13915,13931.67,14032.92,841,705.2,966.95,1260.85,1269.583
2022-03-31,14:46:00,13900,13900,13850,13900,13880,13895,13917.5,13932.5,14034.58,827,870.6,926.75,1262.6,1271.975
2022-03-31,14:45:00,13900,13900,13850,13900,13880,13895,13920,13933.33,14035.83,700,771.8,904.35,1301.933,1274.833
2022-03-31,14:44:00,13850,13900,13850,13850,13880,13900,13925,13935,14037.5,1002,896.8,1138.9,1304.3,1276.317
2022-03-31,14:43:00,13900,13900,13850,13850,13890,13910,13930,13936.67,14039.58,156,1164.4,1115.5,1377.35,1351.067
