날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-01,15:35:00,1280,1280,1280,1280,1285,1286,1285.5,1291.5,1290.292,21248,23133,11027.75,8169.1,6949.125
2022-04-01,15:30:00,1280,1280,1280,1280,1286,1287,1285.75,1291.75,1290.375,50703,21026.4,10228.9,8046.15,6855.325
2022-04-01,15:19:00,1280,1290,1280,1290,1287,1287.5,1286,1291.833,1290.458,18419,12963.2,7790.35,7203.867,6433.083
2022-04-01,15:18:00,1290,1290,1280,1285,1287,1286.5,1285.75,1291.667,1290.417,9661,9342.8,7260.5,7051.75,6294.292
2022-04-01,15:17:00,1285,1290,1285,1290,1287,1286.5,1286,1291.667,1290.458,15634,8332.8,6825.8,7114.95,6306.458
2022-04-01,15:16:00,1285,1290,1280,1285,1287,1286,1285.75,1291.5,1290.417,10715,5611.2,6175.25,7211.367,6358.233
2022-04-01,15:15:00,1285,1290,1285,1285,1288,1286,1286,1291.583,1290.458,10387,5689.8,5654.85,7074.967,6349.75
2022-04-01,15:14:00,1290,1290,1290,1290,1288,1286.5,1286.25,1291.667,1290.542,317,3904.2,5647.45,6904.45,6309.817
2022-04-01,15:13:00,1290,1290,1285,1285,1286,1285.5,1286.5,1291.583,1290.5,4611,5043.2,5908.9,6990.733,6311.925
2022-04-01,15:12:00,1290,1290,1285,1290,1286,1285.5,1286.75,1291.583,1290.583,2026,5353.8,5993.1,6921.067,6278.008
2022-04-01,15:11:00,1285,1290,1285,1290,1285,1285,1286.75,1291.5,1290.583,11108,5094.8,5968.4,6948.167,6382.25
2022-04-01,15:10:00,1280,1285,1280,1285,1284,1284.5,1287,1291.417,1290.583,1459,3844.2,5618.05,6815.783,6297.292
2022-04-01,15:09:00,1280,1285,1280,1280,1285,1284.5,1287.5,1291.5,1290.625,6012,4560,5710.1,6981.733,6285.967
2022-04-01,15:08:00,1290,1290,1280,1285,1285,1285,1288,1291.667,1290.708,6164,9773.4,5469.8,6885.183,6257.675
2022-04-01,15:07:00,1290,1290,1285,1285,1285,1285.5,1288.5,1291.75,1290.792,731,10175,5422.35,6858.85,6216.25
2022-04-01,15:06:00,1290,1290,1285,1285,1285,1285.5,1289,1291.833,1290.875,4855,10272,6203.4,6900.4,6224.192
2022-04-01,15:05:00,1280,1290,1280,1290,1285,1286,1289.5,1291.917,1290.917,5038,10355.2,5973.9,6885.833,6236.308
2022-04-01,15:04:00,1285,1285,1280,1280,1284,1286,1289.75,1291.917,1290.958,32079,9734,5970.8,6802.033,6204.642
2022-04-01,15:03:00,1290,1290,1285,1285,1285,1287.5,1290.5,1292.083,1291.083,8172,4882.6,4372.5,6271.633,6007.042
2022-04-01,15:02:00,1285,1290,1285,1285,1286,1288,1291,1292.167,1291.167,1216,3441.6,4025.25,6142.517,5987.342
2022-04-01,15:01:00,1285,1290,1285,1285,1286,1288.5,1291.25,1292.25,1291.292,5271,3723,4274.5,6124.383,5977.55
2022-04-01,15:00:00,1285,1290,1285,1285,1287,1289.5,1291.5,1292.333,1291.417,1932,2730.2,4119.8,6060.567,5953.358
2022-04-01,14:59:00,1290,1290,1285,1285,1288,1290.5,1291.75,1292.5,1291.5,7822,4391.6,4143.25,6073.817,5945.033
2022-04-01,14:58:00,1285,1290,1285,1290,1290,1291,1292.25,1292.5,1291.625,967,3936.4,3890.05,5994.45,5880.408
2022-04-01,14:57:00,1290,1290,1285,1285,1290,1291.5,1292,1292.5,1291.708,2623,5002,5581.9,5989.783,5882.975
2022-04-01,14:56:00,1290,1290,1290,1290,1291,1292.5,1292.75,1292.5,1291.833,307,4783.8,5485.1,5946.2,5871.525
2022-04-01,14:55:00,1295,1295,1290,1290,1292,1293,1293,1292.5,1291.875,10239,5542.6,5532.75,5948.383,5911.325
2022-04-01,14:54:00,1295,1295,1290,1295,1293,1293.5,1293.25,1292.417,1291.958,5546,4154.8,5238.4,5803.8,5892.858
2022-04-01,14:53:00,1295,1300,1290,1290,1292,1293.5,1293.25,1292.333,1291.958,6295,3286.8,5116.1,5886.917,5857.733
2022-04-01,14:52:00,1295,1295,1290,1290,1293,1294,1293.5,1292.333,1292,1532,3070.8,5096.2,5789.867,5812.375
2022-04-01,14:51:00,1295,1295,1295,1295,1294,1294,1294,1292.25,1292.042,4101,6034.8,5816.65,5790.183,5813.717
2022-04-01,14:50:00,1290,1295,1290,1295,1294,1293.5,1294.25,1292.083,1292.042,3300,5267.6,5665.95,5749.117,5939.392
2022-04-01,14:49:00,1295,1295,1290,1290,1294,1293,1294.5,1291.917,1292.042,1206,5602.8,5797.7,5798.317,5950.967
2022-04-01,14:48:00,1295,1295,1290,1295,1295,1293.5,1295,1291.833,1292.083,5215,5384.2,5821.2,5878.267,5975.633
2022-04-01,14:47:00,1295,1300,1290,1295,1295,1292.5,1295.25,1291.667,1292.083,16352,4586.6,6276.75,5935.6,5994.342
2022-04-01,14:46:00,1295,1295,1295,1295,1294,1293,1295.75,1291.583,1292.042,265,2556.4,5627.05,5673.6,5890.058
2022-04-01,14:45:00,1290,1295,1290,1295,1293,1293,1296,1291.417,1291.958,4976,2938.8,5914.45,5689.217,5888.175
2022-04-01,14:44:00,1295,1295,1295,1295,1292,1293,1296.5,1291.333,1291.875,113,2423.8,5701.7,5618.417,5850.883
