날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-01,15:35:00,7890,7890,7890,7890,7838,7828,7843.5,7845.167,7852.167,12330,17034.8,8159.5,6270.067,5377.758
2022-04-01,15:30:00,7890,7890,7890,7890,7824,7821,7841.5,7843.833,7852,46837,14829.2,7628.5,6266.75,5287.758
2022-04-01,15:19:00,7790,7810,7780,7800,7810,7816,7838.5,7843.167,7851.75,13355,6230.6,5864.2,5512.417,4916.575
2022-04-01,15:18:00,7800,7820,7790,7800,7812,7818,7839,7844,7852.25,8802,5718.6,6101.95,5341.5,4815.1
2022-04-01,15:17:00,7820,7820,7800,7810,7816,7824,7842,7844.667,7852.75,3850,4887.6,5757.05,5224.583,4753.733
2022-04-01,15:16:00,7830,7830,7810,7820,7818,7831,7844,7845.167,7853.5,1302,5154,5786.75,5264.917,4741.717
2022-04-01,15:15:00,7820,7830,7810,7820,7818,7839,7846,7845.667,7854,3844,5827.2,5805,5263.783,4742.5
2022-04-01,15:14:00,7820,7820,7790,7810,7822,7845,7848,7845.833,7854.5,10795,7982,5850.65,5265.6,4717.333
2022-04-01,15:13:00,7820,7840,7810,7820,7824,7851,7851,7846.333,7854.917,4647,7397,5345.8,5087.717,4638.95
2022-04-01,15:12:00,7820,7830,7820,7820,7832,7855,7853,7846.833,7855.25,5182,7060,5305.8,5106.15,4602.908
2022-04-01,15:11:00,7840,7870,7810,7820,7844,7859,7855,7847.667,7855.583,4668,6679.2,5160.25,5055.4,4590.017
2022-04-01,15:10:00,7820,7840,7800,7840,7860,7862,7856,7848.5,7856,14618,6509.4,5033.4,5057.383,4568.333
2022-04-01,15:09:00,7870,7870,7820,7820,7868,7861,7857,7849.167,7856.25,7870,5593.4,4591.9,5058.333,4453.792
2022-04-01,15:08:00,7880,7890,7850,7860,7878,7860,7858.5,7850,7856.667,2962,4415.8,4284.25,5014.1,4400.617
2022-04-01,15:07:00,7900,7900,7880,7880,7878,7860,7858.5,7849.333,7856.667,3278,4029.4,4322.65,5053.9,4381.367
2022-04-01,15:06:00,7880,7900,7880,7900,7874,7857,7858,7848.167,7856.583,3819,3770,4231.45,5022.783,4398.983
2022-04-01,15:05:00,7870,7890,7860,7880,7864,7853,7857,7846.833,7856.25,10038,3348.2,4195.6,4966.1,4381.708
2022-04-01,15:04:00,7860,7870,7860,7870,7854,7851,7856.5,7846,7855.833,1982,3650.8,3766.25,4838.417,4423.825
2022-04-01,15:03:00,7850,7860,7850,7860,7842,7851,7855.5,7845.333,7855.667,1030,6876.4,3835.25,5133.65,4441.183
2022-04-01,15:02:00,7850,7860,7850,7860,7842,7851,7856,7844.667,7855.667,1981,7051.2,3830.5,5147.65,4463.267
