날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-01,15:35:00,3660,3660,3660,3660,3663,3665.5,3672.25,3727.417,3726.042,5476,18554,9300.7,60047.77,32773.12
2022-04-01,15:30:00,3660,3660,3660,3660,3663,3667,3673,3728.5,3726.042,44458,19752.2,9264.05,59963.1,32744.79
2022-04-01,15:19:00,3670,3670,3650,3660,3667,3668.5,3673.25,3729.583,3726.042,32476,11742.4,7912.75,59244.63,32375.38
2022-04-01,15:18:00,3665,3670,3665,3670,3667,3670,3674,3730.833,3726.042,4838,8795.2,7525.35,58708.53,32107.71
2022-04-01,15:17:00,3660,3665,3660,3665,3667,3669.5,3674,3731.667,3725.875,5522,9142,7755.9,58685.83,32069.24
2022-04-01,15:16:00,3675,3675,3660,3660,3668,3671,3674.75,3732.667,3725.833,11467,8220.8,8698.45,58595.3,32023.27
2022-04-01,15:15:00,3665,3680,3660,3680,3671,3673.5,3675.5,3733.75,3725.833,4409,6517.2,9442.4,58445.95,31933.23
2022-04-01,15:14:00,3670,3670,3660,3660,3670,3673,3676,3734.5,3725.667,17740,6171,9581.35,58382.68,31900.09
2022-04-01,15:13:00,3675,3675,3670,3670,3673,3675.5,3677.75,3735.667,3725.708,6572,2936,9205.45,58093.68,31755.88
2022-04-01,15:12:00,3675,3675,3670,3670,3672,3677.5,3678.5,3736.667,3725.458,916,3896.8,10399.3,58015.32,31777.78
2022-04-01,15:11:00,3675,3680,3670,3675,3674,3679,3680.25,3737.667,3725.25,2949,5254.4,10743.45,58078.25,31792.73
2022-04-01,15:10:00,3670,3680,3670,3675,3676,3679,3681.75,3738.25,3725.042,2678,5843.4,11750.85,58085.55,31776.51
2022-04-01,15:09:00,3665,3685,3665,3675,3676,3678,3683.75,3739.167,3724.917,1565,6774.4,12527.1,58197.23,31785.33
2022-04-01,15:08:00,3680,3680,3665,3665,3678,3678,3686.5,3740.083,3724.75,11376,7178.6,13198.55,58245.42,31782.47
2022-04-01,15:07:00,3685,3685,3680,3680,3683,3678.5,3689.25,3741.333,3724.667,7704,5010.8,15537.3,58105.05,31769.3
2022-04-01,15:06:00,3675,3695,3670,3685,3684,3678.5,3690.25,3742.25,3724.333,5894,5173.6,18452.6,58013.98,31705.18
2022-04-01,15:05:00,3685,3690,3670,3675,3682,3677.5,3693,3743.25,3723.958,7333,4943.4,19910.15,57958.93,31658.64
2022-04-01,15:04:00,3690,3690,3680,3685,3680,3679,3696.5,3744.5,3723.667,3586,6963.2,20291.45,57848.13,31608.48
2022-04-01,15:03:00,3685,3695,3685,3690,3678,3680,3699.25,3745.5,3723.208,537,11191.6,21800.25,57946.67,31578.62
2022-04-01,15:02:00,3675,3685,3670,3685,3674,3679.5,3702,3746.583,3722.708,8518,12974,22698.05,57952.93,31580.93
2022-04-01,15:01:00,3665,3685,3665,3675,3673,3681.5,3704.5,3747.75,3722.292,4743,16145,24559.95,57963.93,31509.95
2022-04-01,15:00:00,3680,3685,3665,3665,3673,3684.5,3708.25,3749.167,3722,17432,20465.6,28031.3,57941.07,31502.17
2022-04-01,14:59:00,3670,3680,3665,3675,3678,3689.5,3712.75,3750.833,3721.833,24728,18416.8,30728.9,57707.4,31368.13
2022-04-01,14:58:00,3685,3685,3670,3670,3682,3695,3716.75,3752.25,3721.542,9449,15515.6,35318.4,57388.08,31205.08
2022-04-01,14:57:00,3675,3690,3665,3680,3685,3700,3719.75,3753.667,3721.292,24373,19715.6,48520.55,57303.72,31130.32
2022-04-01,14:56:00,3690,3695,3675,3675,3690,3702,3725.5,3754.917,3720.917,26346,16400.8,61402.1,56898.53,30951.4
2022-04-01,14:55:00,3695,3700,3690,3690,3696,3708.5,3738.5,3756.25,3720.583,7188,15751,79271.25,56581.27,30744.52
2022-04-01,14:54:00,3695,3700,3685,3695,3701,3714,3752.25,3757.167,3720.125,10222,17954,108678.6,56474.88,30691.08
2022-04-01,14:53:00,3705,3705,3685,3685,3708,3718.5,3760.75,3758.083,3719.667,30449,18908.4,112122.6,56355.65,30605.93
2022-04-01,14:52:00,3705,3705,3700,3705,3715,3724.5,3768,3759.083,3719.292,7799,24448.8,114918.4,55866,30387.49
2022-04-01,14:51:00,3715,3730,3705,3705,3714,3727.5,3774.75,3759.75,3718.75,23097,36091,119685.7,55855.18,30322.51
2022-04-01,14:50:00,3730,3730,3715,3715,3721,3732,3780.75,3760.417,3718.125,18203,38480.6,124418.5,55520.72,30135.71
2022-04-01,14:49:00,3720,3755,3715,3730,3727,3736,3788.5,3760.833,3717.5,14994,37831.8,137872.9,55378.88,29984.03
2022-04-01,14:48:00,3700,3720,3685,3720,3729,3738.5,3795.75,3761.083,3716.625,58151,41585.4,145234.4,55182.18,29859.09
