날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-01,15:35:00,85900,85900,85900,85900,85760,85730,85685,85798.33,85890,2246,5449.8,3510.7,2502.3,2079.758
2022-04-01,15:30:00,85900,85900,85900,85900,85720,85690,85680,85806.67,85890.83,18104,5383.6,3464.05,2479.133,2066.767
2022-04-01,15:19:00,85600,85700,85500,85700,85680,85650,85670,85813.33,85892.5,2666,2138,2726.4,2191.217,1937.967
2022-04-01,15:18:00,85600,85700,85600,85700,85680,85620,85675,85821.67,85895.83,1811,1869.8,2755.65,2169.55,1931.017
2022-04-01,15:17:00,85700,85800,85600,85600,85660,85610,85685,85833.33,85898.33,2422,2053.2,2755.7,2167.567,1933.567
2022-04-01,15:16:00,85700,85800,85600,85700,85700,85610,85700,85846.67,85903.33,1915,1894,2699.35,2190.4,1917.933
2022-04-01,15:15:00,85800,85800,85600,85700,85660,85590,85710,85856.67,85907.5,1876,2289.8,2639.05,2177.05,1907.392
2022-04-01,15:14:00,85700,85800,85700,85700,85620,85600,85725,85863.33,85911.67,1325,2332.4,2605.25,2173.417,1900.417
2022-04-01,15:13:00,85800,85800,85600,85600,85560,85610,85745,85875,85915,2728,3202.8,2666.3,2169.067,1893.167
2022-04-01,15:12:00,85500,85800,85500,85800,85560,85640,85765,85886.67,85920,1626,3651.4,2821.4,2166.5,1894.117
2022-04-01,15:11:00,85500,85600,85400,85500,85520,85640,85765,85895,85922.5,3894,4699.4,2812.45,2166.217,1892.4
2022-04-01,15:10:00,85400,85600,85400,85500,85520,85670,85775,85908.33,85927.5,2089,5000,2653.2,2148.633,1864.642
2022-04-01,15:09:00,85600,85600,85400,85400,85580,85690,85795,85921.67,85933.33,5677,4923.6,2613.9,2172.85,1852.633
2022-04-01,15:08:00,85600,85700,85400,85600,85660,85730,85820,85935,85940,4971,4046.8,2359.6,2091.633,1812.217
2022-04-01,15:07:00,85600,85700,85400,85600,85720,85760,85830,85943.33,85947.5,6866,3214.6,2183.2,2031.5,1774.983
2022-04-01,15:06:00,85800,85800,85500,85500,85760,85790,85845,85950,85954.17,5397,1999.6,1893.3,1941.85,1766.425
2022-04-01,15:05:00,85700,85800,85600,85800,85820,85830,85860,85960,85961.67,1707,1182.8,1727.05,1864.25,1753.833
2022-04-01,15:04:00,85800,85900,85700,85800,85800,85850,85850,85965,85967.5,1293,1511.6,1700,1889.4,1751.9
2022-04-01,15:03:00,85800,85900,85800,85900,85800,85880,85840,85968.33,85973.33,810,1903.2,1674.95,1943.567,1820.6
2022-04-01,15:02:00,85800,85900,85700,85800,85800,85890,85825,85965,85976.67,791,2103.6,1692.85,1955,1825.117
2022-04-01,15:01:00,85700,85800,85700,85800,85820,85890,85810,85963.33,85982.5,1313,2204.4,1766.5,1957.667,1834.833
2022-04-01,15:00:00,85800,85800,85600,85700,85840,85880,85800,85963.33,85985.83,3351,2083.6,1808.85,1957.05,1833.9
2022-04-01,14:59:00,85900,85900,85600,85800,85900,85900,85795,85963.33,85990.83,3251,1653.4,2290.05,1915.833,1819.825
2022-04-01,14:58:00,86000,86000,85700,85900,85960,85910,85795,85963.33,85995.83,1812,1512.4,2212.05,1896.033,1806.292
2022-04-01,14:57:00,86000,86000,85900,85900,85980,85900,85795,85961.67,85999.17,1295,2316,2217.45,1914.167,1807.725
2022-04-01,14:56:00,85900,86000,85900,85900,85960,85900,85795,85956.67,86003.33,709,2346.4,2241.25,1930.217,1807.8
2022-04-01,14:55:00,86000,86100,85900,86000,85920,85890,85790,85948.33,86007.5,1200,2346.4,2255.5,2020.05,1831.25
2022-04-01,14:54:00,86000,86100,85900,86100,85900,85850,85780,85945,86010.83,2546,2367,2270.95,2009.933,1847.175
2022-04-01,14:53:00,85800,86100,85800,86000,85860,85800,85765,85941.67,86014.17,5830,1976,2305.65,1984.15,1852.192
2022-04-01,14:52:00,85700,85900,85700,85800,85820,85760,85755,85936.67,86018.33,1447,1098.6,2062.05,1940.733,1828.075
2022-04-01,14:51:00,85900,85900,85700,85700,85840,85730,85755,85938.33,86023.33,709,1022.8,2016.05,1926.933,1835.425
2022-04-01,14:50:00,85800,85900,85700,85900,85860,85720,85760,85943.33,86029.17,1303,1295.4,2017.05,1928.25,1861.325
2022-04-01,14:49:00,85800,85900,85700,85900,85800,85690,85760,85943.33,86033.33,591,1268,2015.55,1916.15,1887.65
2022-04-01,14:48:00,85900,86000,85700,85800,85740,85680,85755,85945,86035,1443,1308.2,2134.6,1920.05,1894.833
2022-04-01,14:47:00,85800,85900,85700,85900,85700,85690,85765,85948.33,86036.67,1068,1253.2,2163.7,1920.683,1888.033
2022-04-01,14:46:00,85500,85800,85500,85800,85620,85690,85775,85950,86037.5,2072,1492.4,2187.4,1928.383,1885.108
2022-04-01,14:45:00,85600,85600,85500,85600,85580,85690,85795,85953.33,86040,1166,1510,2154.3,1904.8,1873.158
2022-04-01,14:44:00,85500,85700,85500,85600,85580,85710,85820,85961.67,86045,792,3871.8,2145.35,1897.833,1870.333
2022-04-01,14:43:00,85600,85700,85500,85600,85620,85730,85840,85968.33,86050,1168,4051.6,2163.3,1899.35,1871.458
2022-04-01,14:42:00,85400,85600,85400,85500,85680,85750,85870,85975,86055.83,2264,4202,2185.45,1921.4,1874.325
2022-04-01,14:41:00,85700,85800,85400,85600,85760,85780,85900,85980,86061.67,2160,4103.4,2229.7,1892.95,1870.467
2022-04-01,14:40:00,85700,85800,85200,85600,85800,85800,85940,85985,86065.83,12975,3870.2,2164.5,1907.35,1859.442
2022-04-01,14:39:00,85900,85900,85600,85800,85840,85830,85975,85988.33,86070,1691,1577,1557.2,1714.983,1757.017
2022-04-01,14:38:00,86000,86000,85700,85900,85840,85830,85995,85988.33,86072.5,1920,1886.8,1540.95,1706.55,1771.317
2022-04-01,14:37:00,85800,85900,85700,85900,85820,85840,86020,85990,86072.5,1771,1694.4,1529.55,1685.883,1780.208
2022-04-01,14:36:00,85700,85900,85700,85800,85800,85860,86045,85991.67,86070.83,994,1445.6,1630.6,1672.833,1812.758
2022-04-01,14:35:00,85700,85900,85700,85800,85800,85900,86070,85995,86071.67,1509,1392.6,1636.6,1665.267,1820.208
2022-04-01,14:34:00,85800,85900,85700,85800,85820,85930,86085,85996.67,86074.17,3240,1345.4,1644.05,1652.567,1821.192
2022-04-01,14:33:00,85800,85900,85700,85800,85820,85950,86115,86000,86077.5,958,1291.8,1535.25,1647.733,1806.35
2022-04-01,14:32:00,85900,86000,85800,85800,85860,85990,86140,85996.67,86080.83,527,1505.2,1616.05,1668.6,1813.283
2022-04-01,14:31:00,85800,86000,85800,85800,85920,86020,86165,85996.67,86085,729,1708.2,1670.15,1680.183,1830.675
2022-04-01,14:30:00,85800,85900,85700,85900,86000,86080,86190,85996.67,86088.33,1273,1844.4,1775.65,1691.367,1843.992
2022-04-01,14:29:00,86000,86100,85800,85800,86040,86120,86210,85996.67,86090.83,2972,1787.2,1889.1,1717.483,1847.308
2022-04-01,14:28:00,86100,86200,85900,86000,86080,86160,86230,85993.33,86093.33,2025,1423,1780.7,1746.983,1856.492
2022-04-01,14:27:00,86200,86200,86000,86100,86120,86200,86235,85991.67,86095,1542,1340.2,1747.6,1727.733,1850.217
2022-04-01,14:26:00,86100,86300,86100,86200,86120,86230,86230,85990,86095,1410,1661.6,1744.85,1727.867,1859.142
2022-04-01,14:25:00,86100,86200,86100,86100,86160,86240,86225,85986.67,86094.17,987,1550.8,1711.4,1715,1869.3
2022-04-01,14:24:00,86200,86300,86000,86000,86200,86240,86225,85983.33,86094.17,1151,1519.2,1822.85,1709.533,1871.017
2022-04-01,14:23:00,86100,86200,86000,86200,86240,86280,86225,85983.33,86095,1611,1562.2,1992.45,1715.317,1865.65
2022-04-01,14:22:00,86300,86400,86000,86100,86280,86290,86200,85980,86093.33,3149,1578.4,1986.7,1696.117,1859.992
2022-04-01,14:21:00,86300,86400,86200,86400,86340,86310,86180,85981.67,86092.5,856,1707,1876.8,1657.217,1837.833
2022-04-01,14:20:00,86300,86400,86200,86300,86320,86300,86150,85975,86090,829,1758.6,1897.8,1654.4,1840.058
2022-04-01,14:19:00,86300,86400,86200,86200,86280,86300,86120,85971.67,86086.67,1366,1924.4,1900.25,1684.717,1843.525
2022-04-01,14:18:00,86400,86500,86300,86400,86320,86300,86100,85970,86084.17,1692,1864,1935.1,1692.483,1836.783
2022-04-01,14:17:00,86300,86500,86300,86400,86300,86270,86070,85963.33,86080,3792,2040.4,1995.5,1699.567,1830.592
2022-04-01,14:16:00,86100,86300,86100,86300,86280,86230,86030,85960,86076.67,1114,1603.8,1918.8,1645.467,1823.783
2022-04-01,14:15:00,86300,86400,86100,86100,86280,86210,85985,85958.33,86075.83,1658,1948.8,2168.05,1637.733,1823.058
