날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-01,15:35:00,8230,8230,8230,8230,8184,8222,8235.5,8369.333,8246.833,12506,50807.8,37367,52880.93,44725.63
2022-04-01,15:30:00,8230,8230,8230,8230,8188,8211,8240.5,8371.167,8245.667,98058,54696.8,37337.15,54162.7,44766.74
2022-04-01,15:19:00,8140,8150,8100,8140,8200,8207,8245,8372,8244.167,71089,41361.8,34650.15,53211.62,44465.97
2022-04-01,15:18:00,8200,8240,8100,8120,8236,8209,8259.5,8373.333,8244.333,49615,38056,32523.5,52346.67,43929.35
2022-04-01,15:17:00,8220,8250,8190,8200,8258,8216,8274.5,8375.167,8244.417,22771,33725.4,31515.35,52101.55,43750.06
2022-04-01,15:16:00,8280,8290,8210,8250,8260,8224,8284.5,8376,8244.167,31951,34658,32012,52160.9,43700.53
2022-04-01,15:15:00,8310,8320,8250,8290,8234,8227,8290,8375.333,8243.75,31383,38278.4,31467.35,52773.65,43795.83
2022-04-01,15:14:00,8230,8340,8210,8320,8214,8228,8291.5,8375.5,8242.5,54560,40037.8,31407.65,53299.02,43633.68
2022-04-01,15:13:00,8230,8240,8200,8230,8182,8229,8292.5,8375.5,8240.75,27962,37705.6,31192.8,53010.92,43349.97
2022-04-01,15:12:00,8110,8250,8100,8210,8174,8237,8298.5,8376.167,8240.083,27434,42854.8,31505.2,52858.72,43158.02
2022-04-01,15:11:00,8200,8200,8110,8120,8188,8249,8308,8377.667,8239.5,50053,46514.4,32298.35,52825.87,43034.78
2022-04-01,15:10:00,8160,8200,8130,8190,8220,8270,8318,8380.333,8239.5,40180,39067.2,34948.1,52556.98,42721.72
2022-04-01,15:09:00,8190,8200,8160,8160,8242,8283,8328,8383.167,8239.333,42899,32650.8,36165.75,52433.98,42513.93
2022-04-01,15:08:00,8280,8300,8190,8190,8276,8310,8340,8385.333,8239.25,53708,30721.4,37934,52628.95,42257.79
