날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-01,15:35:00,5810,5810,5810,5810,5820,5815,5804.5,5505.667,5434.333,88984,367479,545542.8,215898.8,109361
2022-04-01,15:30:00,5810,5810,5810,5810,5816,5832,5793,5497.833,5430.583,459323,388110.4,551200.3,214460.6,108649.2
2022-04-01,15:19:00,5780,5900,5670,5870,5816,5837,5783.5,5490.167,5426.917,642859,377127.6,551226.8,207027,104846.8
2022-04-01,15:18:00,5830,5850,5740,5780,5802,5841,5767.5,5481.667,5422.833,285916,332153.6,540073.2,196390.1,99493.26
2022-04-01,15:17:00,5780,5880,5750,5830,5788,5854,5760,5474.667,5419.5,360313,492425.6,558264.9,191626.6,97134.94
2022-04-01,15:16:00,5810,5820,5750,5790,5810,5863,5737.5,5467,5415.667,192141,600872.4,540826.3,185634.6,94142.66
2022-04-01,15:15:00,5800,5840,5730,5810,5848,5859,5717,5459.833,5412.167,404409,744206,531996.5,182477.5,92550.12
2022-04-01,15:14:00,5710,5830,5680,5800,5858,5850,5696,5452.5,5408.5,417989,723167.6,513280.9,175758.7,89186.24
2022-04-01,15:13:00,5950,5950,5550,5710,5880,5834,5675,5445.333,5404.833,1087276,743247,493122.7,168860.5,85736.87
2022-04-01,15:12:00,5970,6060,5910,5940,5920,5826,5656.5,5439.5,5402.083,902547,684358.4,439090.1,150786.2,76730.12
2022-04-01,15:11:00,5860,6000,5860,5980,5916,5794,5626.5,5430,5397.5,908809,763863.6,394100.2,135832.9,69247.93
2022-04-01,15:10:00,5900,5910,5830,5860,5870,5754,5594,5419.833,5392.5,299217,682536,349277.7,120704.8,61766.33
2022-04-01,15:09:00,5900,5920,5810,5910,5842,5730,5566,5411.667,5388.583,518386,760556.2,334986.1,115789.5,59345.64
2022-04-01,15:08:00,5910,5940,5840,5910,5788,5694,5535.5,5402.833,5384.083,792833,693102.2,309082.8,107151.6,55076.68
2022-04-01,15:07:00,5750,5930,5740,5920,5732,5666,5505,5393.833,5379.5,1300073,632646.6,269463.5,94007.32,48487.44
2022-04-01,15:06:00,5720,5750,5690,5750,5672,5612,5475,5384.833,5374.75,502171,449956.2,204948.9,72370.7,37688.48
2022-04-01,15:05:00,5640,5740,5630,5720,5638,5575,5452.5,5378.5,5371.417,689318,389948.6,179944.7,64039.47,33525.15
2022-04-01,15:04:00,5630,5680,5630,5640,5618,5542,5432.5,5372.833,5368.333,181116,344055.8,147107.6,52628.95,27788.94
2022-04-01,15:03:00,5620,5700,5610,5630,5600,5516,5415,5368.333,5365.917,490555,391789.8,138194.3,49646.1,26316.18
2022-04-01,15:02:00,5580,5670,5520,5620,5600,5487,5399,5364,5363.583,386621,423628.8,114980.3,41504.95,22232.63
2022-04-01,15:01:00,5620,5630,5550,5580,5552,5459,5383,5360,5361.333,202133,348612.8,96629.1,35116.2,19031.24
2022-04-01,15:00:00,5550,5650,5530,5620,5512,5434,5370,5356.667,5359.333,459854,311295.4,86856.85,31815.15,17365.39
2022-04-01,14:59:00,5650,5700,5490,5550,5466,5402,5355.5,5352.333,5357.083,419786,225344,64083.55,24226.45,13610.24
2022-04-01,14:58:00,5380,5670,5380,5630,5432,5377,5344.5,5349.333,5355.25,649750,144351.6,43314.6,17249.23,10115.03
2022-04-01,14:57:00,5380,5380,5370,5380,5374,5344,5329.5,5345,5352.833,11541,15726.4,11266.35,6450.717,4729.45
2022-04-01,14:56:00,5390,5390,5380,5380,5366,5338,5327.5,5344.667,5352.583,15546,13968.2,10733.3,6322.567,4654.225
2022-04-01,14:55:00,5370,5390,5370,5390,5356,5330,5325,5344.667,5352.167,30097,13330.6,10075.25,6182.367,4528.15
2022-04-01,14:54:00,5350,5380,5340,5380,5338,5323,5322,5344.5,5351.667,14824,9988.4,8618.7,5701.633,4288.825
2022-04-01,14:53:00,5340,5340,5320,5340,5322,5314,5319.5,5344.5,5351.25,6624,7087.4,8265.05,5476.467,4193.45
2022-04-01,14:52:00,5330,5340,5310,5340,5314,5311,5318.5,5345.167,5351.167,2750,5852.2,8033.1,5371.117,4161.767
2022-04-01,14:51:00,5300,5330,5290,5330,5310,5307,5318,5345.833,5351.083,12358,7258.2,8479.15,5340.383,4152.95
2022-04-01,14:50:00,5300,5310,5280,5300,5304,5306,5318.5,5346.667,5351.167,13386,5204.2,7924.15,5266,4060.517
2022-04-01,14:49:00,5310,5310,5300,5300,5308,5309,5320,5347.833,5351.333,319,9042.2,7391.55,5055.117,3970.242
2022-04-01,14:48:00,5320,5320,5300,5300,5306,5312,5322,5349,5351.5,448,9548.2,7458.25,5087.417,3993.192
2022-04-01,14:47:00,5300,5320,5290,5320,5308,5315,5323.5,5350,5351.75,9780,14713.8,7888.7,5109.133,3995.025
2022-04-01,14:46:00,5310,5320,5300,5300,5304,5317,5324,5350.5,5351.75,2088,16677.2,7717.15,5008.383,3925.808
2022-04-01,14:45:00,5290,5320,5280,5320,5308,5320,5325.5,5351.667,5352,32576,17597.2,7938.2,4989.517,3911.533
2022-04-01,14:44:00,5300,5300,5290,5290,5310,5321,5326,5352.5,5352.167,2849,11959.6,6416.75,4452.117,3662.567
2022-04-01,14:43:00,5300,5310,5290,5310,5318,5325,5327.5,5353.833,5352.5,26276,12271.2,6393.5,4460.983,3668.733
2022-04-01,14:42:00,5320,5320,5300,5300,5322,5326,5328.5,5354.833,5352.75,19597,8773,5251.75,4100.783,3474.75
2022-04-01,14:41:00,5320,5330,5320,5320,5330,5329,5329.5,5355.833,5353.083,6688,5029.6,5524.35,3793.333,3331.183
2022-04-01,14:40:00,5320,5330,5320,5330,5332,5331,5330.5,5356.5,5353.333,4388,4169,5324.65,3744.083,3289.058
2022-04-01,14:39:00,5330,5330,5310,5330,5332,5331,5331.5,5357,5353.583,4407,3484.6,5770.5,3693.683,3256.058
2022-04-01,14:38:00,5340,5340,5330,5330,5332,5332,5333,5357.333,5353.833,8785,4153.4,5782.45,3631.333,3227.558
2022-04-01,14:37:00,5330,5340,5330,5340,5330,5332,5334.5,5357.833,5354.083,880,2793.4,5348.6,3497.617,3171.65
2022-04-01,14:36:00,5340,5340,5330,5330,5328,5331,5336,5358.167,5354.167,2385,4951.6,5344.1,3515.45,3194.625
2022-04-01,14:35:00,5330,5340,5320,5330,5330,5331,5337.5,5358.667,5354.25,966,4726.2,5360.7,3524.117,3194.625
2022-04-01,14:34:00,5330,5330,5320,5330,5330,5331,5339.5,5359,5354.25,7751,5079.8,5376.5,3528.783,3368.383
