날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-04,15:35:00,3410,3410,3410,3410,3410,3411,3411.75,3402.917,3398.292,118874,175130.8,87621.85,54585.05,44357.61
2022-04-04,15:30:00,3410,3410,3410,3410,3411,3411,3412,3402.583,3398.333,505624,157585.6,84408.1,53007.68,43664.28
2022-04-04,15:19:00,3410,3415,3405,3410,3412,3411,3412.75,3402.25,3398.458,125663,72924.6,74432.45,44943.92,40471.48
2022-04-04,15:18:00,3415,3415,3405,3410,3413,3412,3412.5,3401.917,3398.667,94957,60602.2,69063.7,43188.85,39932.85
2022-04-04,15:17:00,3410,3415,3410,3410,3412,3413,3412.25,3401.583,3398.833,30536,58723,65103.95,41801.72,39427.26
2022-04-04,15:16:00,3415,3415,3410,3415,3412,3413,3412,3401.167,3398.958,31148,64167.6,65483.55,41864.1,39317.95
2022-04-04,15:15:00,3415,3420,3405,3415,3411,3412,3411.25,3400.667,3399.042,82319,75583,65940.25,41431.95,39273.38
2022-04-04,15:14:00,3405,3420,3400,3415,3410,3411,3410.5,3400.167,3399.125,64051,76244.6,62582.4,40348.52,38902.12
2022-04-04,15:13:00,3410,3410,3400,3405,3411,3411,3409.5,3399.667,3399.167,85561,74095.6,61889.45,39514.58,38633.29
2022-04-04,15:12:00,3410,3415,3405,3410,3414,3412,3409,3399.417,3399.333,57759,77006.8,58663.35,38243.15,38086.03
2022-04-04,15:11:00,3415,3415,3405,3410,3414,3412.5,3408.5,3399.083,3399.417,88225,74625.6,56666.05,37434.53,38399.96
2022-04-04,15:10:00,3420,3420,3410,3410,3413,3413,3408,3398.667,3399.542,85627,63446.2,52670.8,36087.4,37966.21
2022-04-04,15:09:00,3420,3420,3415,3420,3412,3414.5,3407.5,3398.25,3399.667,53306,56326.8,50393.9,35053.75,37638.68
2022-04-04,15:08:00,3410,3420,3405,3420,3411,3413,3406.5,3397.667,3399.708,100117,57952.2,50211.25,34407.63,38051.38
2022-04-04,15:07:00,3405,3415,3405,3410,3410,3411.5,3405.25,3397.167,3399.75,45853,42624,45879.65,32939.12,38555.54
2022-04-04,15:06:00,3405,3410,3400,3405,3411,3411,3404.75,3396.75,3399.875,32328,36563.4,46193.15,32352.42,38989.58
2022-04-04,15:05:00,3410,3410,3400,3405,3413,3410.5,3404.75,3396.667,3400,50030,41017.6,45204.15,33186.98,41051.43
2022-04-04,15:04:00,3415,3420,3410,3415,3417,3410,3404.75,3396.5,3400.083,61433,92233.8,42953.85,32623.67,41149.93
2022-04-04,15:03:00,3415,3415,3410,3415,3415,3408,3404.25,3396.167,3399.958,23476,83604.8,43813.85,31839.87,40909.95
2022-04-04,15:02:00,3415,3415,3410,3415,3413,3406,3403.5,3395.833,3399.75,15550,82062,43576.15,31666.58,40899.81
2022-04-04,15:01:00,3425,3425,3415,3415,3411,3404.5,3403,3395.5,3399.583,54599,86577.6,44701.15,31541.03,41031.3
2022-04-04,15:00:00,3405,3430,3405,3425,3408,3403,3402.75,3395,3399.417,306111,83714.2,43945.5,31247.8,40753.73
2022-04-04,14:59:00,3405,3405,3400,3405,3403,3400.5,3402.25,3394.5,3399.167,18288,25524.4,30739.25,26858.88,38343.85
2022-04-04,14:58:00,3400,3405,3395,3405,3401,3400,3402.5,3394.417,3399.125,15762,31905.2,36811.5,26879.5,38293.43
2022-04-04,14:57:00,3400,3405,3400,3405,3399,3399,3402.25,3394.5,3399.042,38128,32960.6,36456.5,26870.47,38314.73
2022-04-04,14:56:00,3395,3405,3395,3400,3398,3398.5,3401.75,3394.583,3399,40282,28897.6,35516.1,26521.82,38222.08
2022-04-04,14:55:00,3395,3400,3390,3400,3398,3399,3401.25,3394.75,3398.958,15162,22505.2,34172.3,26042.32,38034.78
2022-04-04,14:54:00,3395,3400,3390,3395,3398,3399.5,3401,3394.917,3398.875,50192,27490.6,34603.7,26162.52,38055.54
2022-04-04,14:53:00,3400,3400,3395,3395,3399,3400.5,3400.75,3395.25,3398.792,21039,27382.8,33693.15,25789.12,37755.65
2022-04-04,14:52:00,3405,3405,3400,3400,3399,3401,3400.5,3395.667,3398.75,17813,25872,32990.85,26849.32,37789.49
2022-04-04,14:51:00,3405,3405,3400,3400,3399,3401.5,3400.25,3396.083,3398.667,8320,32734,32298.25,28448.67,37877.6
2022-04-04,14:50:00,3395,3405,3390,3400,3400,3402.5,3399.75,3396.167,3398.583,40089,33579.6,32889.15,28916.72,37972.65
2022-04-04,14:49:00,3400,3400,3390,3400,3401,3404,3399.25,3396.083,3398.542,49653,26566.6,33299.75,28328.02,37925.25
