날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-04,15:35:00,769,769,769,769,770,770,770.05,771.0333,771.3833,14903,33832.8,14681.85,9186.6,9383.583
2022-04-04,15:30:00,769,769,769,769,770.2,770.2,770.15,771.05,771.375,73765,34234,14152.85,8939.333,9259.65
2022-04-04,15:19:00,773,773,770,770,770.2,770.3,770.3,771.0667,771.375,17306,26316.6,11046.5,7809.933,8994.525
2022-04-04,15:18:00,772,773,771,771,770,770.4,770.4,771.0333,771.35,18494,23014.2,10628.8,7554.833,8922.325
2022-04-04,15:17:00,769,772,769,771,770,770.3,770.5,770.9667,771.3083,44696,19628.6,10505.2,7513.417,8855.042
2022-04-04,15:16:00,769,770,769,770,770,770.1,770.65,770.95,771.25,16909,11010.2,8333.65,6774,8616.458
2022-04-04,15:15:00,769,769,769,769,770.2,770,770.8,770.9,771.2167,34178,8587,7916.2,6567.117,8494.75
2022-04-04,15:14:00,770,771,769,769,770.4,770,771,770.9167,771.1833,794,2525.8,6722.15,7093.817,8741.992
2022-04-04,15:13:00,771,771,770,771,770.8,770.1,771.15,770.9333,771.1667,1566,3571,6731.7,7178.567,8875.308
2022-04-04,15:12:00,770,771,770,771,770.6,770.1,771.15,770.9333,771.1417,1604,3362,6865.05,7154.75,8867.592
2022-04-04,15:11:00,771,771,771,771,770.2,770.1,771.2,770.95,771.1167,4793,4721.6,7070.35,7139.8,8857.35
2022-04-04,15:10:00,771,771,770,770,769.8,770.1,771.25,770.9667,771.0917,3872,4268,7582.8,7098.017,9059.942
2022-04-04,15:09:00,770,771,770,771,769.6,770.3,771.35,771.0167,771.1167,6020,4599.2,7455.25,7069.7,9123.7
2022-04-04,15:08:00,770,770,770,770,769.4,770.4,771.45,771.0167,771.1083,521,4263.2,9215.2,7018.117,9080.458
2022-04-04,15:07:00,770,770,769,769,769.6,770.7,771.6,771.05,771.125,8402,5834.6,9209.25,7027.183,9104.9
2022-04-04,15:06:00,770,770,769,769,770,771.2,771.75,771.1167,771.1333,2525,9162.8,8790.6,7602.867,9076.975
2022-04-04,15:05:00,770,770,769,769,770.4,771.6,771.9,771.2,771.1417,5528,9522.4,8743.35,7824.95,9062.508
2022-04-04,15:04:00,769,770,769,770,771,772,772.05,771.2833,771.1417,4340,10744.4,11102.65,7747.533,9020.608
2022-04-04,15:03:00,771,771,769,771,771.4,772.2,772.2,771.35,771.1417,8378,11666.8,11243.3,7891.933,9002.758
2022-04-04,15:02:00,771,772,770,771,771.8,772.2,772.25,771.4,771.1333,25043,13195.6,10831.6,7767.767,8935.108
2022-04-04,15:01:00,771,772,771,771,772.4,772.3,772.35,771.4667,771.125,4323,8440,9919.1,7352.533,8835.033
2022-04-04,15:00:00,772,772,772,772,772.8,772.4,772.45,771.5333,771.1167,11638,9287.4,10667.65,7626.717,8849.725
2022-04-04,14:59:00,772,773,772,772,773,772.4,772.45,771.5833,771.1,8952,9019.2,10108.7,7798,8771.933
2022-04-04,14:58:00,774,774,772,773,773,772.5,772.5,771.6167,771.0833,16022,7425.8,10119.45,7650.467,8697.35
2022-04-04,14:57:00,773,774,773,774,772.6,772.5,772.45,771.6333,771.0583,1265,5068,9383.75,7457.7,8568.425
2022-04-04,14:56:00,773,773,772,773,772.2,772.3,772.3,771.6333,771.025,8560,5957,9321.55,7590.817,8558.975
2022-04-04,14:55:00,772,773,772,773,772,772.2,772.15,771.65,771,10297,7253.4,8935.65,8524.8,8511.108
2022-04-04,14:54:00,772,772,772,772,771.8,772.1,772.05,771.6667,770.975,985,5458.2,8490.05,8387.683,8434.158
2022-04-04,14:53:00,772,772,771,771,772,772.2,772,771.7,770.9583,4233,13505,8441.6,8872.25,8426.567
2022-04-04,14:52:00,772,773,772,772,772.4,772.3,771.95,771.7667,770.95,5710,12738.8,8492.2,8977.783,8411.058
2022-04-04,14:51:00,773,774,772,772,772.4,772.4,771.9,771.8167,770.9417,15042,11602.6,8742.65,9225.7,8430.625
2022-04-04,14:50:00,771,773,771,772,772.4,772.5,771.85,771.85,770.9333,1321,8910.2,7995.7,8975.05,8386.175
